FileType=PCF
NHL=14
Date=08/22/17	14:43:03
Facility=APL
Serial=16328-2
Customer=NASA
NP=6
Mach=0.200000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 19.60535	 10.08541	  9.79742	  9.99965	 10.06853	  0.15813	 19.58182	706.31598	 23.70	
  1.691	128.401	 19.65759	  9.47870	 10.40259	 10.85197	  9.32460	  0.15394	 19.63516	706.73700	 23.60	
  1.692	 77.194	 19.59864	 10.28558	  9.51531	 11.00962	  9.10991	  0.14194	 19.57969	706.71503	 23.60	
  1.699	 26.182	 19.63595	 10.95203	  8.87502	 10.45611	  9.63730	  0.14586	 19.61608	706.33899	 23.60	
  1.699	-26.182	 19.63182	 10.92649	  8.91100	  9.58913	 10.51832	  0.12901	 19.60863	706.70502	 23.60	
  1.692	-77.194	 19.61426	 10.16033	  9.55242	  9.07472	 10.99592	  0.11746	 19.58702	706.78497	 23.60	
  1.691	-128.401	 19.59266	  9.39867	 10.39461	  9.24447	 10.78311	  0.12335	 19.56053	706.72998	 23.60	
  1.700	180.000	 19.58361	  9.03172	 10.78646	 10.01073	 10.03621	  0.12757	 19.55448	706.71600	 23.60	
  3.400	180.000	 19.60975	  8.01538	 11.78314	  9.97163	  9.99886	  0.06251	 19.60334	706.70502	 23.60	
  3.388	-152.325	 19.61871	  8.21713	 11.56397	  9.09186	 10.87181	  0.06975	 19.61325	706.19800	 23.60	
  3.397	-124.529	 19.58716	  8.80429	 10.88776	  8.37445	 11.63524	  0.08627	 19.58506	706.14899	 23.60	
  3.399	-96.763	 19.59869	  9.69757	  9.90928	  8.04918	 12.00344	  0.07812	 19.60554	704.93103	 23.60	
  3.394	-69.283	 19.58467	 10.64145	  9.03297	  8.14742	 11.86820	  0.06276	 19.58661	706.23700	 23.60	
  3.400	-41.398	 19.56665	 11.47820	  8.22540	  8.64032	 11.28282	  0.07981	 19.57823	706.77197	 23.60	
  3.401	-14.021	 19.56547	 11.96101	  7.78867	  9.45405	 10.47021	  0.08911	 19.58104	706.73297	 23.60	
  3.401	 14.021	 19.59516	 11.99155	  7.75319	 10.43073	  9.53648	  0.09052	 19.61558	706.43701	 23.60	
  3.400	 41.398	 19.55446	 11.51789	  8.14271	 11.28640	  8.70200	  0.09907	 19.57433	706.71301	 23.60	
  3.394	 69.283	 19.55787	 10.66296	  8.91879	 11.84605	  8.18451	  0.09074	 19.57611	705.00403	 23.60	
  3.399	 96.763	 19.53845	  9.74038	  9.84814	 11.96422	  8.06920	  0.10510	 19.54275	705.27502	 23.60	
  3.397	124.529	 19.39623	  8.77497	 10.72635	 11.53724	  8.29521	  0.09598	 19.39830	706.86200	 23.60	
  3.388	152.325	 19.52623	  8.21240	 11.48899	 10.86639	  9.05291	  0.09114	 19.52439	706.27600	 23.60	
  5.099	161.165	 19.42926	  6.99113	 12.46095	 10.77146	  8.87162	  0.00091	 19.51419	706.68500	 23.60	
  5.109	142.013	 19.42304	  7.44105	 11.94431	 11.68512	  8.02034	 -0.02066	 19.51419	705.12903	 23.70	
  5.095	123.033	 19.42628	  8.23182	 11.15415	 12.36587	  7.37561	 -0.02191	 19.51742	705.00500	 23.70	
  5.105	104.191	 19.42338	  9.12903	 10.13541	 12.79856	  6.98843	 -0.02391	 19.52817	706.25403	 23.70	
  5.093	 85.207	 19.39745	 10.09137	  9.16013	 12.85307	  6.92322	 -0.01566	 19.50893	705.09399	 23.70	
  5.104	 66.290	 19.38203	 11.02722	  8.23155	 12.58437	  7.12399	 -0.02456	 19.50594	706.29102	 23.70	
  5.094	 47.331	 19.37065	 11.89316	  7.43075	 12.00928	  7.66001	 -0.03266	 19.49615	706.51300	 23.70	
  5.089	 28.397	 19.39168	 12.51980	  6.83581	 11.19753	  8.41601	 -0.03608	 19.50888	705.03900	 23.70	
  5.096	  9.576	 19.38701	 12.84977	  6.55230	 10.19764	  9.29509	 -0.01917	 19.50651	705.05200	 23.70	
  5.096	 -9.576	 19.38452	 12.82476	  6.56676	  9.24372	 10.27300	 -0.05261	 19.49958	705.07202	 23.70	
  5.089	-28.397	 19.36583	 12.45901	  6.89568	  8.35102	 11.16268	 -0.06556	 19.47797	705.96997	 23.70	
  5.094	-47.331	 19.38015	 11.82309	  7.51595	  7.59494	 12.00211	 -0.08474	 19.48351	706.77502	 23.70	
  5.104	-66.290	 19.39739	 10.91292	  8.34048	  7.05975	 12.60578	 -0.09292	 19.48761	706.58801	 23.70	
  5.093	-85.207	 19.40741	  9.98665	  9.16913	  6.84932	 12.87768	 -0.06507	 19.49021	706.47101	 23.70	
  5.105	-104.191	 19.41365	  8.99901	 10.22226	  6.91260	 12.81183	 -0.03543	 19.49079	705.13898	 23.70	
  5.095	-123.033	 19.39211	  8.10432	 11.20455	  7.31512	 12.34659	 -0.06992	 19.47161	705.54498	 23.70	
  5.109	-142.013	 19.42217	  7.36439	 11.99537	  7.97878	 11.66176	 -0.06403	 19.49969	706.82599	 23.70	
  5.099	-161.165	 19.41385	  6.92751	 12.47320	  8.83910	 10.70587	 -0.06231	 19.48424	705.12000	 23.70	
  5.100	180.000	 19.40536	  6.80964	 12.63507	  9.77184	  9.80036	 -0.05718	 19.48230	705.15698	 23.70	
  6.800	180.000	 19.26258	  5.67793	 13.57721	  9.59283	  9.63770	 -0.16999	 19.49748	705.03900	 23.70	
  6.796	-166.229	 19.25107	  5.70796	 13.46925	  8.66174	 10.54098	 -0.18542	 19.48826	705.13599	 23.70	
  6.808	-152.311	 19.25192	  5.99991	 13.09713	  7.76443	 11.47948	 -0.19106	 19.49091	705.07202	 23.70	
  6.795	-138.383	 19.28997	  6.52636	 12.50414	  6.96554	 12.36182	 -0.18923	 19.53273	705.12598	 23.70	
  6.792	-124.591	 19.26834	  7.23663	 11.72022	  6.27225	 13.06298	 -0.19989	 19.51082	705.30298	 23.70	
  6.787	-110.754	 19.26497	  8.13960	 10.78911	  5.84987	 13.55204	 -0.21564	 19.51475	706.87097	 23.70	
  6.800	-96.985	 19.25234	  9.04835	  9.73909	  5.64477	 13.79451	 -0.22927	 19.50225	705.03497	 23.70	
