FileType=PCF
NHL=14
Date=03/19/19	15:47:02
Facility=APL
Serial=16071-7
Customer=NASA
NP=6
Mach=0.036000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  0.67258	  0.29802	  0.30941	  0.31185	  0.30380	  0.04534	  0.66843	712.29999	 23.00	
  1.691	128.401	  0.67470	  0.28158	  0.32571	  0.33405	  0.27969	  0.04382	  0.67063	712.27002	 23.00	
  1.692	 77.194	  0.66929	  0.30425	  0.29733	  0.33801	  0.27257	  0.04864	  0.66507	712.38000	 23.10	
  1.699	 26.182	  0.66871	  0.32572	  0.27941	  0.31927	  0.28792	  0.04625	  0.66464	712.35999	 23.00	
  1.699	-26.182	  0.67182	  0.32625	  0.28277	  0.29552	  0.31598	  0.04526	  0.66723	712.29999	 23.00	
  1.692	-77.194	  0.66963	  0.30410	  0.30216	  0.28198	  0.33135	  0.04293	  0.66500	712.33002	 23.00	
  1.691	-128.401	  0.67390	  0.28248	  0.32719	  0.28872	  0.32694	  0.04160	  0.66981	712.32001	 23.00	
  1.700	180.000	  0.67360	  0.27038	  0.33867	  0.30824	  0.30195	  0.04214	  0.66799	712.40997	 23.00	
  3.400	180.000	  0.66968	  0.23611	  0.37126	  0.30689	  0.29837	  0.04072	  0.66663	712.28003	 23.00	
  3.388	-152.325	  0.67437	  0.24399	  0.36600	  0.28038	  0.32959	  0.04003	  0.67061	712.32001	 23.00	
  3.397	-124.529	  0.67347	  0.26138	  0.34421	  0.25884	  0.35311	  0.03581	  0.66950	712.19000	 23.00	
  3.399	-96.763	  0.67263	  0.28873	  0.31593	  0.24953	  0.36613	  0.03685	  0.66928	712.31000	 23.00	
  3.394	-69.283	  0.66455	  0.31497	  0.28324	  0.24932	  0.35837	  0.03827	  0.66101	712.28998	 23.00	
  3.400	-41.398	  0.67089	  0.34502	  0.26091	  0.26596	  0.34266	  0.04000	  0.66727	712.28998	 23.00	
  3.401	-14.021	  0.67102	  0.36091	  0.24796	  0.28929	  0.31616	  0.04269	  0.66672	712.26001	 23.00	
  3.401	 14.021	  0.67191	  0.36257	  0.24568	  0.31970	  0.28501	  0.04479	  0.66838	712.28998	 23.00	
  3.400	 41.398	  0.66991	  0.34607	  0.25640	  0.34854	  0.25808	  0.04731	  0.66623	712.41998	 23.00	
  3.394	 69.283	  0.66459	  0.31678	  0.27772	  0.36575	  0.23900	  0.04812	  0.66075	712.40997	 23.00	
  3.399	 96.763	  0.66884	  0.28807	  0.30797	  0.37351	  0.23612	  0.04617	  0.66522	712.34998	 23.00	
  3.397	124.529	  0.67208	  0.26061	  0.33974	  0.36254	  0.24598	  0.04300	  0.66973	712.28998	 23.00	
  3.388	152.325	  0.66829	  0.24070	  0.36142	  0.33701	  0.26621	  0.04143	  0.66602	712.33002	 23.00	
  5.099	161.165	  0.66954	  0.20355	  0.39833	  0.33740	  0.26033	  0.03703	  0.66877	712.22998	 23.00	
  5.109	142.013	  0.66675	  0.21744	  0.37912	  0.36683	  0.23221	  0.03929	  0.66798	712.27002	 23.00	
  5.095	123.033	  0.66844	  0.24010	  0.35361	  0.39108	  0.21325	  0.04202	  0.66781	712.31000	 23.00	
  5.105	104.191	  0.66134	  0.26715	  0.31737	  0.39995	  0.20160	  0.04443	  0.66145	712.27002	 23.00	
  5.093	 85.207	  0.66280	  0.29920	  0.28584	  0.40241	  0.20005	  0.04557	  0.66373	712.21002	 23.00	
  5.104	 66.290	  0.66498	  0.33277	  0.25639	  0.39412	  0.20839	  0.04594	  0.66400	712.29999	 23.00	
  5.094	 47.331	  0.66824	  0.36342	  0.23259	  0.37714	  0.22504	  0.04497	  0.66656	712.33002	 23.00	
  5.089	 28.397	  0.66688	  0.38392	  0.21685	  0.34801	  0.24987	  0.04540	  0.66521	712.28003	 23.00	
  5.096	  9.576	  0.66695	  0.39551	  0.20755	  0.31519	  0.28040	  0.04414	  0.66602	712.21002	 23.00	
  5.096	 -9.576	  0.67619	  0.39984	  0.21243	  0.28694	  0.31766	  0.03942	  0.67486	712.23999	 23.00	
  5.089	-28.397	  0.67227	  0.38300	  0.22288	  0.25894	  0.34375	  0.03852	  0.67044	712.15002	 23.00	
  5.094	-47.331	  0.67081	  0.36037	  0.24106	  0.23654	  0.37026	  0.03538	  0.66885	712.19000	 23.00	
  5.104	-66.290	  0.67150	  0.33179	  0.26727	  0.22193	  0.38907	  0.02907	  0.67079	712.19000	 23.00	
  5.093	-85.207	  0.66892	  0.29860	  0.29554	  0.21516	  0.39602	  0.02938	  0.66861	712.10999	 23.00	
  5.105	-104.191	  0.67193	  0.26891	  0.32847	  0.21757	  0.39449	  0.02704	  0.67087	712.12000	 23.00	
  5.095	-123.033	  0.66921	  0.24067	  0.35755	  0.22718	  0.37915	  0.02823	  0.66844	712.16998	 23.00	
  5.109	-142.013	  0.66888	  0.21725	  0.38369	  0.24752	  0.35374	  0.02868	  0.66936	712.22998	 23.00	
  5.099	-161.165	  0.65987	  0.20118	  0.39463	  0.27136	  0.31805	  0.02967	  0.65987	712.27002	 23.00	
  5.100	180.000	  0.66704	  0.19716	  0.40360	  0.30282	  0.29141	  0.03215	  0.66758	712.25000	 23.00	
  6.800	180.000	  0.66205	  0.16044	  0.43635	  0.29864	  0.28458	  0.02544	  0.66726	712.20001	 23.00	
  6.796	-166.229	  0.65939	  0.16352	  0.43125	  0.26612	  0.31582	  0.02457	  0.66673	712.32001	 23.00	
  6.808	-152.311	  0.65517	  0.17361	  0.41710	  0.23717	  0.34548	  0.02254	  0.66111	712.26001	 23.00	
  6.795	-138.383	  0.65868	  0.19107	  0.39893	  0.21422	  0.37591	  0.02194	  0.66389	712.19000	 23.00	
  6.792	-124.591	  0.65779	  0.21162	  0.37463	  0.19433	  0.40112	  0.02266	  0.66316	712.22998	 23.00	
  6.787	-110.754	  0.66009	  0.23829	  0.34630	  0.18321	  0.41893	  0.02067	  0.66619	712.20001	 23.00	
  6.800	-96.985	  0.65624	  0.26632	  0.31225	  0.17481	  0.42520	  0.01993	  0.66166	712.17999	 23.00	
  6.800	-83.015	  0.66107	  0.30058	  0.28261	  0.17475	  0.43022	  0.02028	  0.66659	712.27002	 23.00	
  6.787	-69.246	  0.66450	  0.33259	  0.25323	  0.18124	  0.42354	  0.02232	  0.66889	712.34998	 23.00	
  6.792	-55.409	  0.66608	  0.36503	  0.22629	  0.19358	  0.40996	  0.02470	  0.67124	712.37000	 22.90	
  6.795	-41.617	  0.66525	  0.39136	  0.20324	  0.21189	  0.38620	  0.02759	  0.66965	712.21997	 22.90	
  6.808	-27.689	  0.65876	  0.40863	  0.18398	  0.23311	  0.35430	  0.02818	  0.66334	712.37000	 22.90	
  6.796	-13.771	  0.66684	  0.42788	  0.17583	  0.26414	  0.32715	  0.03321	  0.67298	712.35999	 22.90	
  6.800	  0.000	  0.66549	  0.43082	  0.17118	  0.29295	  0.29397	  0.03429	  0.66946	712.33002	 22.90	
  6.796	 13.771	  0.66506	  0.42731	  0.17264	  0.32563	  0.26148	  0.03899	  0.67068	712.39001	 22.90	
  6.808	 27.689	  0.65993	  0.41333	  0.17941	  0.35639	  0.22927	  0.04042	  0.66557	712.27002	 22.90	
  6.795	 41.617	  0.65927	  0.39260	  0.19496	  0.38428	  0.20472	  0.04290	  0.66480	712.19000	 22.90	
  6.792	 55.409	  0.66242	  0.36856	  0.21596	  0.41043	  0.18677	  0.04235	  0.66817	712.21997	 22.90	
  6.787	 69.246	  0.66177	  0.33579	  0.24304	  0.42629	  0.17216	  0.04189	  0.66738	712.40002	 22.90	
  6.800	 83.015	  0.65899	  0.30315	  0.27262	  0.43530	  0.16493	  0.04309	  0.66466	712.26001	 22.90	
  6.800	 96.985	  0.65712	  0.27051	  0.30146	  0.43663	  0.16027	  0.04016	  0.66317	712.39001	 22.90	
  6.787	110.754	  0.65881	  0.24039	  0.33534	  0.42805	  0.16865	  0.04015	  0.66453	712.23999	 22.90	
  6.792	124.591	  0.66143	  0.21457	  0.36838	  0.41481	  0.18173	  0.03812	  0.66730	712.28003	 22.90	
  6.795	138.383	  0.66112	  0.19024	  0.39610	  0.38992	  0.20005	  0.03465	  0.66748	712.21002	 22.90	
  6.808	152.311	  0.65921	  0.17399	  0.41555	  0.36152	  0.22329	  0.03187	  0.66548	712.12000	 22.90	
  6.796	166.229	  0.66188	  0.16412	  0.43092	  0.32975	  0.25443	  0.02838	  0.66747	712.17999	 22.90	
  8.491	168.704	  0.65301	  0.12672	  0.46056	  0.32397	  0.24472	  0.02148	  0.66655	712.10999	 22.90	
  8.502	157.493	  0.65446	  0.13427	  0.44964	  0.35796	  0.21408	  0.02435	  0.66774	712.22998	 22.90	
  8.494	146.194	  0.65270	  0.14909	  0.43020	  0.38748	  0.18933	  0.02707	  0.66618	712.19000	 22.90	
  8.495	135.039	  0.65428	  0.16795	  0.40816	  0.41570	  0.16710	  0.03020	  0.66807	712.23999	 22.90	
  8.487	123.723	  0.65141	  0.19069	  0.37699	  0.43724	  0.14808	  0.03227	  0.66501	712.15997	 22.90	
  8.492	112.575	  0.65386	  0.21679	  0.34781	  0.45524	  0.13499	  0.03373	  0.66694	712.33002	 22.90	
  8.510	101.220	  0.65784	  0.25038	  0.31564	  0.46795	  0.12856	  0.03561	  0.67161	712.33002	 22.90	
  8.500	 90.000	  0.65378	  0.28102	  0.28046	  0.46721	  0.12588	  0.03682	  0.66696	712.27002	 22.90	
  8.510	 78.780	  0.65431	  0.31520	  0.24857	  0.46405	  0.13008	  0.03982	  0.66696	712.15002	 22.90	
  8.492	 67.425	  0.65542	  0.34928	  0.21887	  0.45252	  0.13899	  0.03802	  0.66813	712.21997	 22.90	
  8.487	 56.277	  0.65412	  0.37948	  0.19295	  0.43424	  0.15301	  0.03843	  0.66675	712.25000	 22.90	
  8.495	 44.961	  0.65279	  0.40640	  0.17061	  0.40998	  0.17093	  0.03763	  0.66470	712.20001	 22.90	
  8.494	 33.806	  0.65272	  0.42932	  0.15413	  0.38164	  0.19541	  0.03773	  0.66513	712.26001	 22.90	
  8.502	 22.507	  0.65662	  0.44742	  0.14078	  0.35171	  0.22224	  0.03331	  0.66994	712.20001	 22.90	
  8.491	 11.296	  0.64670	  0.45147	  0.13344	  0.31523	  0.25092	  0.03187	  0.65918	712.20001	 22.90	
  8.500	  0.000	  0.65079	  0.45752	  0.13241	  0.28327	  0.28479	  0.02908	  0.66354	712.27002	 22.90	
  8.491	-11.296	  0.65218	  0.45475	  0.13601	  0.25309	  0.31846	  0.02613	  0.66503	712.27002	 22.90	
  8.502	-22.507	  0.65661	  0.44564	  0.14566	  0.22515	  0.35371	  0.02517	  0.66985	712.25000	 22.90	
  8.494	-33.806	  0.65604	  0.42655	  0.16066	  0.19862	  0.38360	  0.02065	  0.66866	712.28998	 22.90	
  8.495	-44.961	  0.65546	  0.40285	  0.18007	  0.17703	  0.41045	  0.01864	  0.66756	712.19000	 22.90	
