FileType=PCF
NHL=14
Date=03/14/19	16:28:21
Facility=APL
Serial=16071-2
Customer=NASA
NP=6
Mach=0.380000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 66.69507	 27.07121	 31.41352	 29.16472	 28.57278	  1.52850	 66.63683	707.26001	 41.70	
  1.691	128.401	 66.63316	 24.67034	 33.56236	 31.69609	 25.75230	  1.46067	 66.61613	707.28003	 41.60	
  1.692	 77.194	 66.69646	 27.72543	 30.60503	 32.50637	 25.12278	  1.56572	 66.63964	707.29999	 41.60	
  1.699	 26.182	 66.66840	 30.20973	 28.21798	 30.72541	 26.94160	  1.59538	 66.59691	707.35999	 41.50	
  1.699	-26.182	 66.71223	 30.26721	 28.18108	 27.66531	 30.07993	  1.54637	 66.63332	707.28003	 41.50	
  1.692	-77.194	 66.68301	 27.81567	 30.48203	 25.66173	 31.99825	  1.43746	 66.62363	707.40002	 41.40	
  1.691	-128.401	 66.63822	 24.76999	 33.43346	 26.22911	 31.24632	  1.37095	 66.61534	707.56000	 41.40	
  1.700	180.000	 66.59262	 23.33168	 34.84687	 28.91304	 28.41436	  1.37830	 66.59801	707.34003	 41.40	
  3.400	180.000	 66.36650	 19.43311	 38.22120	 28.52104	 28.10897	  1.12338	 66.60330	707.27002	 41.30	
  3.388	-152.325	 66.34284	 20.29218	 37.32461	 25.27031	 31.45394	  1.09945	 66.54812	707.37000	 41.30	
  3.397	-124.529	 66.45462	 22.65314	 35.06594	 22.83567	 34.14743	  1.12345	 66.60764	707.35999	 41.30	
  3.399	-96.763	 66.50728	 25.96815	 31.83747	 21.72966	 35.42491	  1.18890	 66.60529	707.41998	 41.20	
  3.394	-69.283	 66.53813	 29.33726	 28.53814	 22.29086	 34.99339	  1.27545	 66.55897	707.40002	 41.20	
  3.400	-41.398	 66.58021	 32.26400	 25.78163	 24.34989	 33.00037	  1.39672	 66.55223	707.35999	 41.20	
