FileType=PCF
NHL=14
Date=03/13/19	11:13:17
Facility=APL
Serial=16071-4
Customer=NASA
NP=6
Mach=0.450000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 91.49322	 43.50843	 38.62791	 42.57311	 39.05562	  2.02615	 91.32995	711.65002	 37.90	
  1.691	128.401	 91.46319	 40.49571	 41.33681	 46.36842	 35.60926	  1.95305	 91.30091	711.48999	 38.00	
  1.692	 77.194	 91.43458	 44.42698	 37.19819	 47.08638	 34.76448	  2.07106	 91.29855	711.53998	 38.10	
  1.699	 26.182	 91.44550	 47.66483	 34.15526	 44.39632	 37.21616	  2.13373	 91.34897	711.59003	 38.20	
  1.699	-26.182	 91.54492	 47.69173	 34.34368	 40.47156	 40.82248	  2.04893	 91.40034	711.58002	 38.30	
  1.692	-77.194	 91.61985	 44.46472	 37.71229	 38.20516	 43.61083	  1.91177	 91.44803	711.64001	 38.40	
  1.691	-128.401	 91.62847	 40.49354	 41.80445	 39.17150	 42.59164	  1.80621	 91.46126	711.57001	 38.50	
  1.700	180.000	 91.61890	 38.72811	 43.56522	 42.75507	 39.00157	  1.82075	 91.46614	711.53003	 38.60	
  3.400	180.000	 91.57373	 33.86890	 48.23504	 42.57252	 38.74049	  1.48768	 91.46371	711.50000	 38.70	
  3.388	-152.325	 91.59385	 34.83313	 47.21159	 38.49005	 42.93512	  1.47013	 91.45817	711.56000	 38.80	
  3.397	-124.529	 91.62134	 37.68387	 44.15068	 35.29064	 46.67534	  1.45713	 91.47841	711.53998	 38.90	
  3.399	-96.763	 91.61836	 41.86412	 39.73173	 33.54239	 48.47362	  1.51653	 91.49648	711.46997	 39.00	
  3.394	-69.283	 91.58437	 46.39920	 35.20243	 33.91012	 47.84435	  1.65993	 91.53667	711.59998	 39.10	
  3.400	-41.398	 91.52472	 50.27050	 31.74324	 36.25472	 44.98952	  1.80920	 91.54663	711.59003	 39.20	
  3.401	-14.021	 91.40826	 52.39812	 29.47244	 39.80710	 40.68629	  1.95564	 91.51430	711.58002	 39.30	
  3.401	 14.021	 91.35025	 52.42476	 29.20105	 44.13018	 36.72172	  2.04768	 91.55419	711.51001	 39.30	
  3.400	 41.398	 91.34779	 50.30429	 31.22990	 48.25598	 32.83797	  2.06210	 91.56819	711.53998	 39.40	
  3.394	 69.283	 91.40942	 46.51410	 34.46985	 51.55593	 30.33952	  1.99156	 91.62471	711.60999	 39.50	
  3.399	 96.763	 91.47365	 42.05360	 38.76552	 52.36773	 29.78097	  1.87992	 91.59356	711.50000	 39.60	
  3.397	124.529	 91.56156	 37.82816	 43.36107	 50.84073	 31.24444	  1.71795	 91.59176	711.57001	 39.70	
  3.388	152.325	 91.71489	 34.93013	 46.83066	 47.08621	 34.64024	  1.57850	 91.66960	711.53003	 39.70	
  5.099	161.165	 91.35470	 29.58157	 51.57285	 46.75127	 33.73307	  1.08045	 91.60185	711.53998	 39.80	
  5.109	142.013	 91.22675	 31.69705	 48.97186	 51.45488	 29.64249	  1.20368	 91.63264	711.56000	 39.90	
  5.095	123.033	 91.11225	 34.87402	 45.09186	 54.74568	 26.74781	  1.33989	 91.61916	711.58002	 39.90	
  5.105	104.191	 90.98800	 39.07735	 40.44070	 56.48591	 25.15380	  1.51625	 91.65092	711.59003	 40.00	
  5.093	 85.207	 90.92398	 43.74386	 35.78134	 56.63044	 24.94135	  1.68235	 91.69019	711.52002	 40.10	
  5.104	 66.290	 90.84176	 48.37181	 31.63458	 55.25316	 25.92817	  1.78798	 91.69283	711.57001	 40.10	
  5.094	 47.331	 90.75049	 52.25450	 27.39505	 52.30957	 28.32158	  1.87532	 91.65993	711.58002	 40.20	
  5.089	 28.397	 90.76392	 55.37926	 24.88521	 47.89701	 31.89439	  1.89807	 91.66641	711.59998	 40.30	
  5.096	  9.576	 90.82612	 57.10010	 23.59189	 43.41876	 36.12548	  1.85501	 91.70744	711.46002	 40.30	
  5.096	 -9.576	 90.91280	 57.08988	 23.75340	 39.15976	 40.54633	  1.72281	 91.66844	711.50000	 40.40	
  5.089	-28.397	 91.06741	 55.36391	 25.39790	 35.03081	 44.91555	  1.55110	 91.70592	711.56000	 40.40	
  5.094	-47.331	 91.18787	 52.20215	 28.30359	 31.64295	 49.00755	  1.40742	 91.67486	711.50000	 40.50	
  5.104	-66.290	 91.31523	 48.11510	 32.78383	 29.45012	 52.13630	  1.24251	 91.65635	711.53003	 40.60	
  5.093	-85.207	 91.49323	 43.52971	 37.02859	 28.59764	 53.37337	  1.08094	 91.69686	711.53998	 40.60	
  5.105	-104.191	 91.57972	 38.97058	 41.87075	 29.13579	 52.94520	  1.00930	 91.74144	711.58002	 40.70	
  5.095	-123.033	 91.67247	 34.81699	 46.26489	 31.10512	 50.74511	  0.94238	 91.75442	711.53998	 40.70	
  5.109	-142.013	 91.61437	 31.66145	 49.83556	 34.22435	 46.89940	  0.92149	 91.69077	711.57001	 40.80	
  5.099	-161.165	 91.62204	 29.67853	 52.05135	 38.27518	 42.35317	  0.93084	 91.71898	711.50000	 40.90	
  5.100	180.000	 91.59782	 28.93946	 52.72599	 42.36898	 38.13901	  1.00603	 91.75362	711.40997	 40.90	
  6.800	180.000	 90.97765	 23.45969	 57.36960	 41.98809	 37.27817	  0.42411	 91.77112	711.53998	 41.00	
  6.796	-166.229	 91.05652	 24.18195	 56.92845	 37.84628	 41.32727	  0.38234	 91.76078	711.59003	 41.00	
  6.808	-152.311	 91.09350	 25.67671	 55.30333	 33.63414	 46.07395	  0.35472	 91.73991	711.40997	 41.10	
  6.795	-138.383	 91.16257	 28.09772	 52.38313	 30.03532	 50.27821	  0.36225	 91.78098	711.53003	 41.10	
  6.792	-124.591	 91.14607	 31.29623	 48.79441	 27.17524	 53.92888	  0.34416	 91.78108	711.44000	 41.20	
  6.787	-110.754	 91.10549	 35.07409	 44.61600	 25.13608	 56.32293	  0.34158	 91.79973	711.53998	 41.30	
  6.800	-96.985	 91.00673	 39.37458	 39.98146	 23.91202	 57.66225	  0.41782	 91.79765	711.44000	 41.30	
  6.800	-83.015	 90.91148	 43.91066	 35.32388	 23.70663	 57.71933	  0.51592	 91.83286	711.47998	 41.40	
  6.787	-69.246	 90.82790	 48.35488	 31.23479	 24.53713	 56.57055	  0.60238	 91.85992	711.45001	 41.40	
  6.792	-55.409	 90.65973	 52.59240	 26.70991	 26.21128	 54.29485	  0.72536	 91.86682	711.46997	 41.40	
  6.795	-41.617	 90.49562	 56.29319	 23.33502	 28.74270	 50.64943	  0.89834	 91.87033	711.46002	 41.40	
  6.808	-27.689	 90.33023	 59.22422	 20.77972	 32.15055	 46.41196	  1.04001	 91.85526	711.46002	 41.50	
  6.796	-13.771	 90.14272	 61.03770	 19.19420	 36.23830	 41.72465	  1.20419	 91.82504	711.42999	 41.50	
  6.800	  0.000	 90.03298	 61.63703	 18.55590	 40.51392	 37.67656	  1.33486	 91.82851	711.45001	 41.60	
  6.796	 13.771	 89.95565	 61.05323	 18.76770	 44.61708	 33.27067	  1.44684	 91.86524	711.40997	 41.60	
  6.808	 27.689	 89.92962	 59.29866	 20.07974	 49.15838	 29.09465	  1.50157	 91.89385	711.50000	 41.70	
  6.795	 41.617	 89.87363	 56.35634	 22.34222	 53.70925	 25.55652	  1.39349	 91.84837	711.56000	 41.70	
  6.792	 55.409	 89.92801	 52.76309	 25.40679	 57.08437	 22.83927	  1.38015	 91.87749	711.41998	 41.70	
  6.787	 69.246	 90.03457	 48.62102	 29.36094	 59.44762	 21.07896	  1.29447	 91.88663	711.46997	 41.80	
  6.800	 83.015	 90.11259	 44.07077	 33.90378	 60.86086	 20.01614	  1.17991	 91.89668	711.47998	 41.80	
  6.800	 96.985	 90.22958	 39.48275	 38.28022	 61.13226	 19.92538	  1.05059	 91.91295	711.46997	 41.80	
  6.787	110.754	 90.34665	 35.12012	 42.96379	 60.14481	 20.86987	  0.93499	 91.85221	711.50000	 41.80	
  6.792	124.591	 90.50925	 31.39620	 47.37598	 58.19767	 22.61087	  0.78733	 91.86524	711.41998	 41.80	
  6.795	138.383	 90.68051	 27.87411	 51.13966	 55.21285	 25.28332	  0.67784	 91.88866	711.45001	 41.90	
  6.808	152.311	 90.83814	 25.38171	 54.32998	 50.80231	 28.82822	  0.57256	 91.88293	711.44000	 41.90	
  6.796	166.229	 91.02694	 23.88680	 56.60546	 46.28379	 33.04911	  0.48997	 91.92653	711.45001	 41.90	
  8.491	168.704	 90.04379	 18.81677	 60.95521	 45.61655	 31.72082	 -0.21130	 91.91457	711.42999	 42.00	
  8.502	157.493	 89.89415	 19.84685	 59.14016	 50.16825	 27.53141	 -0.14234	 91.88284	711.42999	 42.00	
  8.494	146.194	 89.77109	 21.82379	 56.39763	 54.98699	 23.82951	 -0.01025	 91.93909	711.56000	 42.10	
  8.495	135.039	 89.60944	 24.50282	 52.76690	 58.61013	 20.71957	  0.09077	 91.94518	711.46002	 42.10	
  8.487	123.723	 89.39617	 27.88832	 48.72227	 61.57266	 18.14948	  0.20984	 91.91029	711.48999	 42.10	
  8.492	112.575	 89.24215	 31.93373	 44.28609	 63.71500	 16.31354	  0.30724	 91.94932	711.53003	 42.20	
  8.510	101.220	 89.07687	 36.17594	 39.38757	 65.01005	 15.18103	  0.40693	 91.95715	711.57001	 42.20	
  8.500	 90.000	 88.92434	 40.70918	 34.81218	 65.20996	 14.86196	  0.52095	 91.94650	711.46997	 42.30	
  8.510	 78.780	 88.78664	 45.30373	 30.18132	 64.47989	 15.25370	  0.59553	 91.92793	711.53998	 42.30	
  8.492	 67.425	 88.71836	 50.02291	 25.77826	 62.75026	 16.55265	  0.56684	 91.93616	711.52002	 42.30	
  8.487	 56.277	 88.65140	 54.18839	 22.09176	 60.17183	 18.51267	  0.43430	 91.93069	711.51001	 42.40	
  8.495	 44.961	 88.56160	 58.04252	 18.87235	 56.81780	 21.03946	  0.72082	 91.88686	711.58002	 42.40	
  8.494	 33.806	 88.58114	 61.25824	 16.45456	 52.48577	 24.18209	  0.72706	 91.91295	711.57001	 42.40	
  8.502	 22.507	 88.56128	 63.71558	 14.70944	 48.04560	 27.90744	  0.83803	 91.87970	711.54999	 42.50	
  8.491	 11.296	 88.64223	 65.23973	 13.80221	 43.28436	 32.15582	  0.85726	 91.91014	711.57001	 42.50	
  8.500	  0.000	 88.75592	 65.73154	 13.65108	 39.26757	 36.70357	  0.78922	 91.92363	711.45001	 42.50	
  8.491	-11.296	 88.86240	 65.19321	 14.16982	 34.76531	 41.30459	  0.62694	 91.87993	711.48999	 42.50	
  8.502	-22.507	 89.05106	 63.70191	 15.54520	 30.66551	 45.60276	  0.44135	 91.93377	711.58002	 42.60	
  8.494	-33.806	 89.21323	 61.13043	 17.51914	 27.10382	 49.97506	  0.18869	 91.86708	711.46002	 42.60	
  8.495	-44.961	 89.44854	 57.98616	 20.19872	 24.09392	 54.39401	 -0.12321	 91.96288	711.48999	 42.60	
  8.487	-56.277	 89.63434	 54.01459	 23.66460	 21.50578	 57.77884	 -0.10493	 91.94984	711.58002	 42.60	
  8.492	-67.425	 89.77734	 49.88452	 27.65079	 19.96932	 60.08474	 -0.13466	 91.91386	711.53003	 42.60	
  8.510	-78.780	 89.91376	 45.25677	 32.50488	 18.81321	 61.59355	 -0.23952	 91.94406	711.62000	 42.70	
  8.500	-90.000	 90.04824	 40.60487	 36.91092	 18.66701	 62.02908	 -0.27885	 91.92525	711.45001	 42.70	
  8.510	-101.220	 90.18822	 36.07772	 41.68056	 19.29201	 61.51049	 -0.34855	 91.90364	711.42999	 42.70	
  8.492	-112.575	 90.26468	 31.90391	 46.28948	 20.70654	 59.88746	 -0.40680	 91.89752	711.64001	 42.70	
  8.487	-123.723	 90.38004	 27.76651	 50.54467	 22.78953	 57.45547	 -0.35860	 91.94396	711.45001	 42.80	
  8.495	-135.039	 90.43063	 24.39660	 54.51688	 25.57726	 54.15248	 -0.27679	 91.94083	711.45001	 42.80	
  8.494	-146.194	 90.41657	 21.72698	 57.77841	 28.84139	 49.77986	 -0.30057	 91.95193	711.46002	 42.80	
  8.502	-157.493	 90.37959	 20.00730	 60.16582	 32.77578	 45.25351	 -0.30240	 91.96097	711.44000	 42.80	
  8.491	-168.704	 90.27373	 18.91288	 61.39746	 37.03914	 40.80125	 -0.25452	 91.92248	711.51001	 42.80	
  8.500	180.000	 90.18998	 18.46961	 61.71884	 41.41751	 36.19677	 -0.21176	 91.93247	711.47998	 42.80	
 10.200	180.000	 88.98100	 13.22127	 65.68390	 40.32833	 34.93090	 -0.99279	 92.00169	711.50000	 42.90	
 10.191	-170.497	 89.05830	 13.62796	 65.46545	 36.04488	 39.64032	 -0.98381	 91.96971	711.44000	 42.90	
 10.210	-161.034	 89.06767	 14.55451	 64.40326	 31.50517	 44.03721	 -1.02825	 91.92056	711.56000	 42.90	
 10.194	-151.526	 89.16628	 16.13534	 62.51033	 27.49465	 48.74440	 -1.05167	 91.94829	711.40002	 42.90	
 10.190	-142.105	 89.19329	 18.18159	 59.76830	 24.06045	 53.17673	 -1.43005	 91.92594	711.53998	 42.90	
 10.215	-132.646	 89.17229	 20.82065	 56.23284	 20.82983	 57.45238	 -1.43380	 91.95083	711.50000	 42.90	
 10.203	-123.092	 89.12887	 24.22618	 52.13655	 18.19581	 60.68766	 -1.53914	 91.97552	711.65002	 42.90	
 10.192	-113.678	 89.04734	 28.22355	 47.80215	 16.25355	 63.15501	 -1.25711	 91.94589	711.59998	 43.00	
 10.208	-104.249	 88.95942	 32.61361	 43.14700	 14.76749	 64.88734	 -1.11060	 91.92165	711.52002	 43.00	
