FileType=PCF
NHL=14
Date=05/29/19	14:19:03
Facility=APL
Serial=16071-3
Customer=NASA
NP=6
Mach=0.550000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	160.83630	 73.19079	 77.81317	 75.83319	 75.64150	  6.63784	160.71356	701.34998	 42.80	
  1.691	128.401	160.85010	 68.14315	 82.42210	 81.52369	 69.25809	  6.53957	160.74731	701.41998	 42.80	
  1.692	 77.194	160.87738	 74.88985	 75.74780	 83.07690	 67.80986	  6.56566	160.76572	701.39001	 42.80	
  1.699	 26.182	160.87849	 80.27121	 70.51966	 79.14445	 72.05599	  6.50098	160.74278	701.28998	 42.80	
  1.699	-26.182	160.89142	 80.31548	 70.65321	 72.30476	 79.08047	  6.49344	160.77283	701.28998	 42.90	
  1.692	-77.194	160.85759	 74.78246	 75.99157	 68.23194	 83.35799	  6.43563	160.76323	701.33002	 42.90	
  1.691	-128.401	160.90762	 67.90887	 82.77749	 69.69254	 81.77397	  6.43668	160.81854	701.26001	 42.90	
  1.700	180.000	160.88376	 65.02699	 85.64301	 75.62317	 75.46937	  6.45719	160.80321	701.34003	 42.90	
  3.400	180.000	160.52565	 56.83060	 93.24423	 75.01376	 74.84943	  5.96051	160.80519	701.28003	 43.00	
  3.388	-152.325	160.58890	 58.62059	 91.38878	 68.03371	 82.29996	  6.00752	160.88190	701.33002	 43.00	
  3.397	-124.529	160.62157	 63.44426	 86.33765	 62.59132	 88.29583	  6.00942	160.88078	701.37000	 43.00	
  3.399	-96.763	160.68657	 70.67473	 79.19953	 60.11037	 91.57317	  6.01326	160.89813	701.34998	 43.00	
  3.394	-69.283	160.78261	 78.36930	 71.71917	 61.06114	 90.50293	  6.04535	160.90372	701.35999	 43.00	
  3.400	-41.398	160.88251	 84.79467	 65.72748	 65.17212	 85.64420	  6.03129	160.94817	701.27002	 43.00	
  3.401	-14.021	160.84143	 88.28237	 62.32275	 71.59622	 78.92402	  6.08826	160.83258	701.33002	 43.10	
  3.401	 14.021	160.92720	 88.42227	 62.17028	 79.16492	 71.22518	  6.15860	160.90926	701.33002	 43.10	
  3.400	 41.398	160.89316	 84.76037	 65.28992	 85.49490	 64.61011	  6.21413	160.88922	701.33002	 43.20	
  3.394	 69.283	160.86159	 78.36626	 71.27393	 89.66521	 60.41666	  6.29353	160.88240	701.21997	 43.20	
  3.399	 96.763	160.84181	 70.66782	 78.79198	 90.62419	 59.54729	  6.22688	160.90431	701.28998	 43.30	
  3.397	124.529	160.78807	 63.56883	 86.02490	 87.76104	 62.11826	  6.19318	160.93069	701.32001	 43.30	
  3.388	152.325	160.78372	 58.86002	 91.24200	 82.14432	 67.62922	  6.06997	160.99187	701.16998	 43.30	
  5.099	161.165	159.95247	 50.24729	 99.29273	 81.49557	 66.27836	  5.35677	160.97191	701.14001	 43.30	
  5.109	142.013	160.06209	 53.84092	 95.26239	 88.28606	 59.74869	  5.48837	160.98296	701.22998	 43.40	
  5.095	123.033	160.13380	 59.14272	 88.91063	 93.90508	 54.84575	  5.61766	160.95479	701.26001	 43.40	
  5.105	104.191	160.23129	 66.03131	 81.66015	 96.94566	 51.88401	  5.69599	160.95023	701.20001	 43.50	
  5.093	 85.207	160.27571	 73.90849	 73.66297	 97.50762	 51.28718	  5.72925	160.88597	701.22998	 43.50	
  5.104	 66.290	160.46587	 81.86624	 66.29770	 95.87577	 53.19275	  5.74641	161.02177	701.29999	 43.50	
  5.094	 47.331	160.46773	 88.45606	 60.38823	 91.49780	 57.30470	  5.67412	160.98454	701.21997	 43.50	
  5.089	 28.397	160.53040	 93.52063	 56.18850	 85.49372	 63.13033	  5.65543	161.01071	701.19000	 43.50	
  5.096	  9.576	160.47845	 96.22484	 53.99940	 78.43089	 70.30302	  5.56683	160.98073	701.19000	 43.60	
  5.096	 -9.576	160.50529	 96.04604	 54.23081	 70.78983	 78.36044	  5.54450	161.00278	701.22998	 43.60	
  5.089	-28.397	160.42088	 93.27810	 56.69439	 63.73480	 85.70561	  5.49208	160.99590	701.28003	 43.70	
  5.094	-47.331	160.34427	 88.18427	 61.07851	 57.69837	 92.89452	  5.43237	161.01474	701.22998	 43.70	
  5.104	-66.290	160.24857	 81.58408	 67.04154	 53.46377	 97.57468	  5.43892	161.02876	701.25000	 43.70	
  5.093	-85.207	160.14832	 73.93111	 74.52055	 51.63343	 99.16634	  5.40767	161.04581	701.28998	 43.60	
  5.105	-104.191	160.00011	 65.68456	 82.44915	 52.25238	 98.62686	  5.37677	161.01611	701.15997	 43.60	
  5.095	-123.033	159.97672	 58.74267	 89.65787	 55.53331	 95.10190	  5.40093	161.05144	701.26001	 43.60	
  5.109	-142.013	159.94002	 53.43672	 95.71668	 60.36288	 88.84637	  5.39079	161.09697	701.20001	 43.60	
  5.099	-161.165	159.97858	 50.12518	 99.61005	 66.93311	 81.72034	  5.36351	161.10168	701.27002	 43.70	
  5.100	180.000	159.99237	 48.93535	100.82545	 74.25866	 74.07193	  5.32986	161.09682	701.20001	 43.80	
  6.800	180.000	158.64101	 40.84409	107.62356	 73.03200	 72.66322	  4.73230	161.04649	701.15997	 43.90	
  6.796	-166.229	158.62004	 41.56358	106.82053	 65.84063	 80.17586	  4.82623	161.07588	701.15002	 44.00	
  6.808	-152.311	158.61815	 44.16565	104.00756	 59.03625	 87.41607	  4.86245	161.10016	701.27002	 44.00	
  6.795	-138.383	158.64954	 48.01257	 99.63733	 52.86593	 94.80553	  4.87902	161.12508	701.12000	 44.00	
  6.792	-124.591	158.77487	 53.16777	 93.54539	 47.46481	100.48619	  4.85649	161.19202	701.20001	 44.00	
  6.787	-110.754	158.88245	 59.25687	 86.73981	 44.08620	103.58782	  4.88867	161.20212	701.20001	 43.90	
  6.800	-96.985	158.91473	 66.47059	 79.47511	 42.33030	105.69522	  4.89949	161.15648	701.13000	 43.90	
  6.800	-83.015	159.06573	 74.85528	 71.27529	 42.39502	105.79335	  4.90885	161.19484	701.17999	 44.00	
  6.787	-69.246	159.21722	 82.18401	 64.45840	 44.07667	103.83637	  4.96779	161.19812	701.23999	 44.00	
  6.792	-55.409	159.37231	 89.01735	 58.32222	 47.33076	100.10871	  4.95411	161.22810	701.09998	 44.10	
  6.795	-41.617	159.43794	 95.07044	 53.14232	 52.48421	 95.68044	  4.94357	161.16699	701.14001	 44.20	
  6.808	-27.689	159.54164	 99.88332	 49.15536	 59.21754	 88.05041	  5.05849	161.17038	701.13000	 44.20	
  6.796	-13.771	159.65862	102.75416	 46.54474	 66.24759	 80.90077	  5.05864	161.20065	701.16998	 44.20	
  6.800	  0.000	159.71346	103.81992	 45.54038	 73.59908	 73.31120	  5.06017	161.22179	701.17999	 44.20	
  6.796	 13.771	159.77380	102.87742	 46.29836	 81.03243	 65.69933	  5.04657	161.24269	701.09998	 44.20	
  6.808	 27.689	159.74881	100.05318	 48.58838	 87.83977	 58.85901	  5.04541	161.24080	701.15002	 44.20	
  6.795	 41.617	159.68787	 95.41656	 52.43863	 94.13515	 52.96422	  5.04904	161.21260	701.15002	 44.10	
  6.792	 55.409	159.70659	 89.26837	 57.50612	 99.23155	 48.63638	  5.09823	161.25648	701.09003	 44.10	
