FileType=PCF
NHL=14
Date=03/15/19	11:25:02
Facility=APL
Serial=16071-3
Customer=NASA
NP=6
Mach=0.036000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  0.65609	  0.29697	  0.30282	  0.30443	  0.30398	  0.04611	  0.65665	703.73999	 21.30	
  1.691	128.401	  0.65862	  0.27912	  0.32333	  0.33020	  0.28050	  0.04758	  0.65838	703.78998	 21.30	
  1.692	 77.194	  0.65728	  0.30076	  0.29595	  0.33507	  0.27448	  0.04798	  0.65584	703.69000	 21.30	
  1.699	 26.182	  0.65579	  0.32110	  0.27897	  0.31722	  0.28755	  0.04690	  0.65540	703.66998	 21.30	
  1.699	-26.182	  0.66603	  0.32477	  0.28124	  0.29446	  0.31741	  0.04450	  0.66819	703.71002	 21.30	
  1.692	-77.194	  0.65554	  0.29920	  0.29610	  0.27563	  0.33099	  0.04031	  0.65792	703.65002	 21.30	
  1.691	-128.401	  0.66076	  0.27830	  0.32275	  0.28352	  0.32673	  0.04014	  0.66247	703.71002	 21.30	
  1.700	180.000	  0.65829	  0.26686	  0.33440	  0.30480	  0.30172	  0.04449	  0.65946	703.70001	 21.30	
  3.400	180.000	  0.65418	  0.23145	  0.36767	  0.30124	  0.29898	  0.04294	  0.65761	703.75000	 21.30	
  3.388	-152.325	  0.65852	  0.23825	  0.36028	  0.27344	  0.32968	  0.03771	  0.66280	703.71002	 21.30	
  3.397	-124.529	  0.65532	  0.25597	  0.33577	  0.25176	  0.35134	  0.03501	  0.66039	703.70001	 21.30	
  3.399	-96.763	  0.65343	  0.28190	  0.30659	  0.24098	  0.36180	  0.03568	  0.65869	703.67999	 21.30	
  3.394	-69.283	  0.65379	  0.31194	  0.27675	  0.24402	  0.35751	  0.03688	  0.65874	703.77002	 21.30	
  3.400	-41.398	  0.65110	  0.33778	  0.25161	  0.25856	  0.33781	  0.03981	  0.65559	703.75000	 21.30	
  3.401	-14.021	  0.65580	  0.35606	  0.24180	  0.28581	  0.31242	  0.04342	  0.65803	703.75000	 21.30	
  3.401	 14.021	  0.65168	  0.35565	  0.24220	  0.31572	  0.28128	  0.04785	  0.65267	703.77002	 21.30	
  3.400	 41.398	  0.66027	  0.34499	  0.25756	  0.34893	  0.26133	  0.04980	  0.65899	703.72998	 21.30	
