FileType=PCF
NHL=14
Date=03/15/19	15:39:45
Facility=APL
Serial=16071-3
Customer=NASA
NP=6
Mach=0.380000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 66.89600	 28.11975	 29.76345	 29.66963	 28.19753	  1.62445	 66.96619	702.20001	 33.50	
  1.691	128.401	 66.85098	 25.59428	 31.90877	 32.36199	 25.35930	  1.56701	 66.96909	702.15997	 33.50	
  1.692	 77.194	 66.86069	 28.67839	 28.80234	 33.08619	 24.72120	  1.63985	 66.94044	702.21002	 33.50	
  1.699	 26.182	 66.91339	 31.24110	 26.43893	 31.21713	 26.48662	  1.68342	 66.97884	702.28998	 33.60	
  1.699	-26.182	 66.93456	 31.42696	 26.49582	 27.86826	 29.68615	  1.61882	 66.99004	702.19000	 33.60	
  1.692	-77.194	 66.91072	 28.96081	 28.94987	 25.96341	 31.61377	  1.54017	 66.98013	702.09003	 33.70	
  1.691	-128.401	 66.88468	 25.80816	 31.97709	 26.60742	 30.84286	  1.48016	 66.97395	702.16998	 33.70	
  1.700	180.000	 66.86816	 24.32644	 33.30346	 29.55121	 28.03868	  1.49459	 66.99339	702.17999	 33.70	
  3.400	180.000	 66.66673	 20.47489	 36.70392	 29.19147	 27.76395	  1.24715	 66.95084	702.04999	 33.80	
  3.388	-152.325	 66.66061	 21.37986	 35.87796	 25.72272	 30.94128	  1.22490	 66.93267	702.14001	 33.80	
  3.397	-124.529	 66.74586	 23.69655	 33.63280	 23.24264	 34.00211	  1.23225	 66.98891	702.12000	 33.80	
  3.399	-96.763	 66.76408	 27.04604	 30.36277	 22.16215	 35.43151	  1.28148	 66.95920	702.17999	 33.90	
  3.394	-69.283	 66.80950	 30.59134	 26.95095	 22.59307	 34.96247	  1.36787	 66.94374	702.03003	 33.90	
  3.400	-41.398	 66.88989	 33.55544	 24.11528	 24.51087	 32.73574	  1.47047	 67.00952	702.01001	 33.90	
  3.401	-14.021	 66.88279	 35.08801	 22.51446	 27.48972	 29.58258	  1.56913	 66.97305	702.07001	 33.90	
  3.401	 14.021	 66.84692	 34.91266	 22.44495	 31.12993	 25.98882	  1.60631	 66.95034	702.08002	 34.00	
  3.400	 41.398	 66.83647	 33.18527	 23.95190	 34.22895	 23.05063	  1.61209	 66.98509	702.12000	 34.00	
  3.394	 69.283	 66.78290	 30.15726	 26.75382	 36.19702	 21.22306	  1.57960	 66.95616	702.13000	 34.00	
  3.399	 96.763	 66.76269	 26.69176	 30.13687	 36.60003	 20.84733	  1.50370	 66.98988	702.06000	 34.10	
  3.397	124.529	 66.69466	 23.39005	 33.44549	 35.29461	 21.99477	  1.40576	 66.96868	702.09998	 34.10	
  3.388	152.325	 66.66927	 21.17560	 35.76094	 32.63501	 24.49121	  1.29790	 66.96202	702.06000	 34.20	
  5.099	161.165	 66.23585	 17.04255	 39.30020	 32.26936	 23.95344	  0.94852	 66.94244	702.04999	 34.20	
  5.109	142.013	 66.25299	 18.56118	 37.50568	 35.52627	 20.83049	  1.02632	 66.96674	702.06000	 34.20	
  5.095	123.033	 66.28463	 21.09734	 34.78696	 38.02946	 18.48742	  1.14685	 66.95193	702.09003	 34.30	
  5.105	104.191	 66.35649	 24.32788	 31.43048	 39.57696	 17.13693	  1.23598	 66.96379	701.96997	 34.30	
  5.093	 85.207	 66.38094	 27.90789	 27.86075	 39.87809	 16.91647	  1.31668	 66.94521	702.04999	 34.30	
  5.104	 66.290	 66.44508	 31.47589	 24.50541	 38.99656	 17.75082	  1.38855	 66.93730	702.08002	 34.30	
  5.094	 47.331	 66.50886	 34.70521	 21.62966	 36.98458	 19.64985	  1.42401	 66.96272	702.02002	 34.40	
  5.089	 28.397	 66.57149	 37.07575	 19.61021	 34.13337	 22.32620	  1.43768	 66.97164	702.04999	 34.40	
  5.096	  9.576	 66.59366	 38.34824	 18.60364	 30.65445	 25.60845	  1.40826	 66.96543	702.03003	 34.40	
  5.096	 -9.576	 66.60380	 38.47401	 18.67102	 26.95305	 29.15344	  1.32859	 66.96203	702.08002	 34.40	
  5.089	-28.397	 66.63931	 37.32055	 19.81874	 23.70087	 32.78329	  1.25997	 66.99600	702.03998	 34.50	
  5.094	-47.331	 66.56931	 34.97585	 21.86242	 21.02745	 36.00137	  1.13702	 66.93716	702.21002	 34.50	
  5.104	-66.290	 66.53500	 31.92481	 24.75025	 19.19237	 38.15159	  1.03728	 66.91895	702.09998	 34.50	
  5.093	-85.207	 66.49902	 28.41897	 28.16418	 18.43955	 39.00169	  0.94044	 66.96364	702.26001	 34.60	
  5.105	-104.191	 66.46724	 24.75898	 31.74135	 18.68855	 38.78469	  0.88840	 66.97488	702.20001	 34.60	
  5.095	-123.033	 66.35850	 21.49800	 34.99231	 19.95130	 37.11845	  0.86306	 66.91965	702.03998	 34.60	
  5.109	-142.013	 66.30978	 18.92392	 37.69489	 22.05414	 34.26060	  0.83657	 66.94798	702.12000	 34.60	
  5.099	-161.165	 66.28259	 17.26533	 39.42916	 25.17185	 30.77494	  0.87165	 66.96507	702.21997	 34.60	
  5.100	180.000	 66.29459	 16.64785	 39.98946	 28.69081	 27.27955	  0.87935	 66.98579	702.16998	 34.70	
  6.800	180.000	 65.63158	 12.78794	 43.19301	 28.04426	 26.70238	  0.44976	 66.95045	702.19000	 34.70	
  6.796	-166.229	 65.65097	 13.24669	 42.78778	 24.65154	 30.17857	  0.42813	 66.93188	702.17999	 34.70	
  6.808	-152.311	 65.69612	 14.43140	 41.49797	 21.58102	 33.50939	  0.41279	 66.94397	702.17999	 34.70	
  6.795	-138.383	 65.79963	 16.34173	 39.40024	 19.00644	 36.71224	  0.41214	 66.98444	702.03003	 34.80	
  6.792	-124.591	 65.86774	 18.83108	 36.75606	 16.93525	 39.24868	  0.40593	 66.98721	702.15002	 34.80	
  6.787	-110.754	 65.85546	 21.80933	 33.56906	 15.42548	 41.28579	  0.42049	 66.92778	702.09003	 34.80	
  6.800	-96.985	 65.95325	 25.13793	 30.23379	 14.63003	 42.16479	  0.42131	 66.97237	702.15002	 34.80	
  6.800	-83.015	 65.98934	 28.71017	 26.72375	 14.58569	 42.14022	  0.48725	 66.94837	702.09998	 34.90	
  6.787	-69.246	 66.06163	 32.16359	 23.45105	 15.40889	 41.27711	  0.58500	 66.96235	702.13000	 34.90	
  6.792	-55.409	 66.08583	 35.36241	 20.49291	 16.91347	 39.72033	  0.64277	 66.95821	702.04999	 34.90	
  6.795	-41.617	 66.08621	 38.05713	 18.06773	 19.05617	 37.20575	  0.75893	 66.93427	702.03998	 34.90	
  6.808	-27.689	 66.10793	 40.20709	 16.27598	 21.68913	 33.74538	  0.86553	 66.95248	702.09003	 34.90	
  6.796	-13.771	 66.07250	 41.50943	 15.15392	 24.77747	 30.24351	  0.97410	 66.91000	702.09998	 35.00	
  6.800	  0.000	 66.09364	 41.91343	 14.65883	 28.19691	 26.73816	  1.05585	 66.95840	702.07001	 35.00	
  6.796	 13.771	 66.08981	 41.36081	 14.98663	 31.81334	 23.41927	  1.11977	 66.98828	702.09998	 35.00	
