FileType=PCF
NHL=14
Date=03/15/19	12:43:45
Facility=APL
Serial=16071-3
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 10.90765	  4.47862	  4.71419	  4.66135	  4.61888	  0.26888	 10.93706	702.76001	 23.70	
  1.691	128.401	 10.90485	  4.11121	  5.06508	  5.09992	  4.17441	  0.25832	 10.93707	702.82001	 23.70	
  1.692	 77.194	 10.91095	  4.59367	  4.58222	  5.21513	  4.06901	  0.27580	 10.93949	702.69000	 23.70	
  1.699	 26.182	 10.90426	  4.99284	  4.19524	  4.90653	  4.36222	  0.28107	 10.92991	702.67999	 23.70	
  1.699	-26.182	 10.90482	  4.98997	  4.19471	  4.39426	  4.86491	  0.26888	 10.93088	702.71997	 23.70	
  1.692	-77.194	 10.90178	  4.59627	  4.57918	  4.08836	  5.17358	  0.25164	 10.93265	702.75000	 23.70	
  1.691	-128.401	 10.89737	  4.11573	  5.06391	  4.19829	  5.05568	  0.24365	 10.93257	702.69000	 23.70	
  1.700	180.000	 10.89872	  3.89460	  5.28864	  4.65389	  4.59891	  0.24484	 10.93437	702.71997	 23.70	
  3.400	180.000	 10.87341	  3.30976	  5.85474	  4.61259	  4.55354	  0.20248	 10.93289	702.65002	 23.70	
  3.388	-152.325	 10.87607	  3.43363	  5.70659	  4.09196	  5.08258	  0.19170	 10.93359	702.56000	 23.70	
  3.397	-124.529	 10.87945	  3.77207	  5.32976	  3.69658	  5.49188	  0.17732	 10.93402	702.69000	 23.70	
  3.399	-96.763	 10.88095	  4.27684	  4.79781	  3.49965	  5.71316	  0.19699	 10.93284	702.77002	 23.70	
  3.394	-69.283	 10.88537	  4.84191	  4.25307	  3.57602	  5.64358	  0.21710	 10.92865	702.71997	 23.70	
  3.400	-41.398	 10.89822	  5.28957	  3.84430	  3.86884	  5.32909	  0.22129	 10.93445	702.71997	 23.70	
  3.401	-14.021	 10.89724	  5.58504	  3.59567	  4.34804	  4.80347	  0.26005	 10.93642	702.78003	 23.70	
  3.401	 14.021	 10.90032	  5.58912	  3.58785	  4.89504	  4.28666	  0.27200	 10.93513	702.79999	 23.70	
  3.400	 41.398	 10.89660	  5.29904	  3.83941	  5.38590	  3.84618	  0.26585	 10.93393	702.90002	 23.70	
  3.394	 69.283	 10.89351	  4.82100	  4.28151	  5.72651	  3.54753	  0.26803	 10.93593	702.76001	 23.70	
  3.399	 96.763	 10.88558	  4.27354	  4.80015	  5.79918	  3.47571	  0.25377	 10.93300	702.77002	 23.70	
  3.397	124.529	 10.87946	  3.78350	  5.31740	  5.58333	  3.65822	  0.23333	 10.93864	702.76001	 23.70	
  3.388	152.325	 10.87678	  3.44566	  5.70169	  5.14830	  4.05056	  0.21579	 10.93336	702.81000	 23.70	
  5.099	161.165	 10.81638	  2.78452	  6.29826	  5.09856	  3.93833	  0.14838	 10.93604	702.72998	 23.70	
  5.109	142.013	 10.81627	  3.03034	  5.99601	  5.63471	  3.45313	  0.14309	 10.94074	702.71997	 23.70	
  5.095	123.033	 10.82248	  3.42016	  5.55345	  6.06004	  3.10084	  0.18534	 10.93851	702.63000	 23.70	
  5.105	104.191	 10.83381	  3.91921	  5.02160	  6.31319	  2.89964	  0.20084	 10.93855	702.71997	 23.70	
  5.093	 85.207	 10.84042	  4.47175	  4.46340	  6.35439	  2.87019	  0.19496	 10.93674	702.73999	 23.70	
  5.104	 66.290	 10.85038	  5.03405	  3.93032	  6.21454	  2.99292	  0.20876	 10.94140	702.84998	 23.70	
  5.094	 47.331	 10.85828	  5.55102	  3.46947	  5.86565	  3.26895	  0.21898	 10.94231	702.82001	 23.70	
  5.089	 28.397	 10.86066	  5.95389	  3.14711	  5.39012	  3.69596	  0.23333	 10.94348	702.71997	 23.70	
  5.096	  9.576	 10.85594	  6.14571	  2.98218	  4.83243	  4.18757	  0.21232	 10.93730	702.83002	 23.70	
  5.096	 -9.576	 10.86152	  6.15864	  2.97936	  4.26589	  4.74543	  0.20964	 10.94119	702.79999	 23.70	
  5.089	-28.397	 10.85949	  5.94499	  3.13994	  3.73012	  5.30679	  0.17940	 10.94049	702.71997	 23.70	
  5.094	-47.331	 10.85382	  5.55775	  3.46053	  3.29749	  5.79574	  0.16183	 10.93826	702.77002	 23.70	
  5.104	-66.290	 10.84663	  5.06216	  3.89906	  3.02993	  6.13232	  0.14171	 10.94088	702.78998	 23.70	
  5.093	-85.207	 10.84205	  4.48015	  4.43885	  2.90311	  6.27624	  0.12521	 10.93713	702.88000	 23.70	
  5.105	-104.191	 10.83803	  3.92766	  5.01294	  2.93449	  6.22873	  0.11783	 10.94352	702.84003	 23.70	
  5.095	-123.033	 10.82787	  3.41613	  5.56428	  3.14107	  5.97482	  0.10906	 10.94055	702.76001	 23.70	
  5.109	-142.013	 10.81819	  3.02469	  6.01633	  3.49467	  5.56912	  0.12493	 10.93952	702.81000	 23.70	
  5.099	-161.165	 10.82033	  2.78945	  6.29921	  3.98276	  5.03646	  0.11200	 10.93857	702.76001	 23.70	
  5.100	180.000	 10.81852	  2.71022	  6.39711	  4.53773	  4.46911	  0.11750	 10.93629	702.79999	 23.70	
  6.800	180.000	 10.71355	  2.05089	  6.94307	  4.41432	  4.36415	  0.03088	 10.93797	702.81000	 23.70	
  6.796	-166.229	 10.71576	  2.11690	  6.87214	  3.86160	  4.93114	  0.02914	 10.93898	702.90002	 23.70	
  6.808	-152.311	 10.72193	  2.29350	  6.66134	  3.35536	  5.48472	  0.02645	 10.94420	702.83002	 23.70	
  6.795	-138.383	 10.71828	  2.58524	  6.30831	  2.94052	  5.96903	  0.02668	 10.93674	702.75000	 23.80	
  6.792	-124.591	 10.72389	  2.96839	  5.85989	  2.61073	  6.37191	  0.02290	 10.93361	702.81000	 23.70	
  6.787	-110.754	 10.73569	  3.44266	  5.33894	  2.39068	  6.66138	  0.02209	 10.94169	702.78998	 23.70	
  6.800	-96.985	 10.74507	  3.96783	  4.78322	  2.27373	  6.81563	  0.02707	 10.94152	702.83002	 23.70	
  6.800	-83.015	 10.75364	  4.53171	  4.21675	  2.27142	  6.82554	  0.03252	 10.94284	702.85999	 23.80	
  6.787	-69.246	 10.76494	  5.09681	  3.69157	  2.38893	  6.67291	  0.05053	 10.94734	702.81000	 23.80	
  6.792	-55.409	 10.75993	  5.62049	  3.22381	  2.60709	  6.37682	  0.06434	 10.93602	702.75000	 23.80	
  6.795	-41.617	 10.77155	  6.08176	  2.83780	  2.94016	  5.98156	  0.08383	 10.94489	702.82001	 23.80	
  6.808	-27.689	 10.77641	  6.44152	  2.55336	  3.36153	  5.49078	  0.10231	 10.94142	702.91998	 23.80	
  6.796	-13.771	 10.78135	  6.66092	  2.38731	  3.87791	  4.93719	  0.12335	 10.94457	702.87000	 23.80	
  6.800	  0.000	 10.78197	  6.73293	  2.31964	  4.42549	  4.37289	  0.13858	 10.94324	702.89001	 23.80	
  6.796	 13.771	 10.77916	  6.65345	  2.37485	  4.98691	  3.83838	  0.15733	 10.94337	702.82001	 23.80	
  6.808	 27.689	 10.77371	  6.42695	  2.54061	  5.54776	  3.32745	  0.15861	 10.93839	702.90002	 23.80	
  6.795	 41.617	 10.78075	  6.07299	  2.82426	  6.05506	  2.89950	  0.14910	 10.95060	702.78998	 23.80	
  6.792	 55.409	 10.77314	  5.60694	  3.20586	  6.45645	  2.57402	  0.14977	 10.94547	702.90997	 23.80	
  6.787	 69.246	 10.76158	  5.06870	  3.67652	  6.73184	  2.36230	  0.14491	 10.94087	702.94000	 23.80	
  6.800	 83.015	 10.75372	  4.50466	  4.19729	  6.88235	  2.22772	  0.12254	 10.94326	702.83002	 23.80	
  6.800	 96.985	 10.74635	  3.93404	  4.76039	  6.88181	  2.22027	  0.11055	 10.93999	702.98999	 23.80	
  6.787	110.754	 10.73618	  3.40645	  5.32038	  6.72389	  2.33834	  0.10444	 10.94100	702.96002	 23.80	
  6.792	124.591	 10.73044	  2.94337	  5.83768	  6.45162	  2.55108	  0.08195	 10.94478	702.96002	 23.80	
  6.795	138.383	 10.72544	  2.56185	  6.28675	  6.04113	  2.88469	  0.06847	 10.94546	702.95001	 23.80	
  6.808	152.311	 10.72119	  2.27334	  6.64410	  5.53795	  3.31899	  0.06148	 10.94310	702.90002	 23.80	
  6.796	166.229	 10.72035	  2.10654	  6.86700	  4.97620	  3.83141	  0.04519	 10.94511	702.90997	 23.80	
  8.491	168.704	 10.56892	  1.42080	  7.39720	  4.85040	  3.67181	 -0.05414	 10.94071	703.07001	 23.80	
  8.502	157.493	 10.56929	  1.55608	  7.21304	  5.43286	  3.14378	 -0.03480	 10.94383	703.01001	 23.80	
  8.494	146.194	 10.57685	  1.79117	  6.90516	  5.98308	  2.66969	 -0.03030	 10.94468	702.76001	 23.80	
  8.495	135.039	 10.58293	  2.10867	  6.50325	  6.45734	  2.27846	 -0.02753	 10.94510	702.94000	 23.80	
  8.487	123.723	 10.59117	  2.50984	  6.01818	  6.86242	  1.95425	 -0.01039	 10.94604	702.94000	 23.80	
  8.492	112.575	 10.59890	  2.97010	  5.49095	  7.16858	  1.72023	  0.01131	 10.94589	702.88000	 23.80	
  8.510	101.220	 10.60543	  3.50610	  4.90890	  7.36924	  1.56728	  0.01298	 10.94522	702.91998	 23.80	
  8.500	 90.000	 10.61932	  4.07192	  4.33521	  7.43458	  1.52903	  0.01652	 10.94574	702.96997	 23.80	
  8.510	 78.780	 10.62549	  4.65432	  3.77342	  7.37935	  1.57644	  0.03415	 10.94741	702.92999	 23.80	
  8.492	 67.425	 10.63306	  5.25121	  3.23964	  7.18040	  1.73865	  0.06345	 10.94356	702.95001	 23.80	
  8.487	 56.277	 10.64186	  5.79716	  2.77497	  6.88117	  1.96389	  0.06543	 10.94616	703.02002	 23.80	
  8.495	 44.961	 10.64314	  6.28462	  2.37686	  6.47612	  2.28868	  0.06353	 10.93804	703.08002	 23.80	
  8.494	 33.806	 10.65015	  6.69445	  2.06094	  6.00182	  2.68116	  0.07495	 10.94584	703.03003	 23.80	
  8.502	 22.507	 10.65589	  7.01291	  1.82972	  5.45678	  3.15802	  0.08858	 10.94685	702.91998	 23.80	
  8.491	 11.296	 10.65281	  7.20197	  1.69786	  4.87444	  3.68683	  0.08052	 10.94235	702.91998	 23.80	
  8.500	  0.000	 10.65701	  7.27420	  1.65776	  4.29785	  4.24378	  0.05662	 10.94882	703.00000	 23.80	
  8.491	-11.296	 10.64811	  7.20694	  1.71524	  3.72197	  4.82482	  0.03890	 10.93536	702.95001	 23.80	
  8.502	-22.507	 10.65118	  7.02657	  1.85685	  3.19176	  5.40374	  0.02479	 10.94550	703.03003	 23.80	
  8.494	-33.806	 10.65526	  6.71757	  2.09864	  2.73073	  5.94019	  0.00489	 10.94852	703.03003	 23.80	
  8.495	-44.961	 10.64800	  6.31267	  2.41334	  2.33141	  6.41840	 -0.02664	 10.94925	702.92999	 23.80	
  8.487	-56.277	 10.64289	  5.82407	  2.81751	  2.00852	  6.82134	 -0.04200	 10.94729	702.95001	 23.80	
  8.492	-67.425	 10.63765	  5.28852	  3.27980	  1.78150	  7.11947	 -0.04912	 10.95050	703.00000	 23.80	
  8.510	-78.780	 10.62796	  4.70134	  3.80622	  1.62897	  7.32294	 -0.06203	 10.94763	702.97998	 23.80	
  8.500	-90.000	 10.61784	  4.12114	  4.36567	  1.58878	  7.37372	 -0.07551	 10.94802	702.88000	 23.80	
  8.510	-101.220	 10.60753	  3.55315	  4.94223	  1.63041	  7.31071	 -0.07899	 10.94818	702.85999	 23.80	
  8.492	-112.575	 10.60253	  3.01669	  5.52565	  1.77448	  7.11504	 -0.07979	 10.94846	702.98999	 23.80	
  8.487	-123.723	 10.59841	  2.55040	  6.05632	  2.00307	  6.81203	 -0.07670	 10.94915	702.90002	 23.80	
  8.495	-135.039	 10.58738	  2.14631	  6.53307	  2.31582	  6.40827	 -0.07718	 10.94903	702.90002	 23.80	
  8.494	-146.194	 10.58394	  1.82549	  6.93011	  2.70723	  5.93115	 -0.07074	 10.95124	702.96002	 23.90	
  8.502	-157.493	 10.57956	  1.57748	  7.23032	  3.16812	  5.39609	 -0.06614	 10.94775	702.92999	 23.80	
  8.491	-168.704	 10.57275	  1.43306	  7.40746	  3.70320	  4.81796	 -0.06366	 10.94573	703.01001	 23.90	
  8.500	180.000	 10.57229	  1.37771	  7.47042	  4.27518	  4.23249	 -0.06648	 10.94182	702.95001	 23.80	
 10.200	180.000	 10.39207	  0.72496	  7.95918	  4.11541	  4.07394	 -0.16444	 10.94811	702.96997	 23.90	
 10.191	-170.497	 10.38946	  0.77297	  7.90475	  3.53854	  4.66119	 -0.16379	 10.94582	702.96997	 23.80	
 10.210	-161.034	 10.39065	  0.88428	  7.75377	  2.98389	  5.25336	 -0.15887	 10.94750	703.07001	 23.90	
 10.194	-151.526	 10.39391	  1.08649	  7.49046	  2.49884	  5.81226	 -0.16392	 10.94540	703.07001	 23.90	
 10.190	-142.105	 10.40270	  1.35763	  7.14864	  2.06161	  6.34240	 -0.17187	 10.95014	702.92999	 23.90	
 10.215	-132.646	 10.39937	  1.69733	  6.71458	  1.67672	  6.81955	 -0.17579	 10.94854	703.08002	 23.90	
 10.203	-123.092	 10.40636	  2.11623	  6.20726	  1.37231	  7.22729	 -0.17288	 10.94790	702.87000	 23.90	
 10.192	-113.678	 10.41936	  2.58639	  5.66992	  1.15655	  7.52967	 -0.16896	 10.94601	702.98999	 23.90	
 10.208	-104.249	 10.42826	  3.10944	  5.09362	  1.00740	  7.74411	 -0.17304	 10.94780	703.06000	 23.90	
 10.210	-94.801	 10.43765	  3.67219	  4.50127	  0.93109	  7.84989	 -0.17436	 10.94598	703.06000	 23.90	
 10.210	-85.199	 10.44873	  4.26689	  3.91800	  0.93304	  7.85849	 -0.16663	 10.94875	703.09003	 23.90	
 10.208	-75.751	 10.46012	  4.86094	  3.36440	  1.00554	  7.74851	 -0.15728	 10.95119	702.94000	 23.90	
 10.192	-66.322	 10.46672	  5.44441	  2.84449	  1.16328	  7.53745	 -0.15329	 10.94933	703.01001	 23.90	
 10.203	-56.908	 10.47097	  5.99228	  2.37329	  1.37781	  7.23606	 -0.15103	 10.95212	703.03998	 23.90	
 10.215	-47.354	 10.47449	  6.49923	  1.96849	  1.68918	  6.83581	 -0.13881	 10.94696	702.97998	 23.90	
 10.190	-37.895	 10.48630	  6.93844	  1.63238	  2.07894	  6.35266	 -0.11747	 10.95140	703.02002	 23.90	
 10.194	-28.474	 10.48854	  7.30132	  1.36233	  2.51169	  5.82706	 -0.08486	 10.94989	703.09003	 23.90	
 10.210	-18.966	 10.48271	  7.56490	  1.15786	  2.99948	  5.26137	 -0.07281	 10.94488	703.02002	 23.90	
 10.191	 -9.503	 10.49304	  7.72514	  1.04745	  3.55222	  4.67294	 -0.05784	 10.95005	703.03003	 23.90	
 10.200	  0.000	 10.49041	  7.77569	  0.99980	  4.13272	  4.08132	 -0.03707	 10.94883	703.02002	 23.90	
 10.191	  9.503	 10.49151	  7.71604	  1.03531	  4.71974	  3.51962	 -0.01421	 10.94645	703.12000	 23.90	
 10.210	 18.966	 10.49055	  7.55398	  1.13750	  5.31631	  2.97879	  0.00197	 10.95220	703.02002	 23.90	
 10.194	 28.474	 10.48613	  7.27595	  1.32751	  5.89027	  2.48189	 -0.00727	 10.94615	703.09998	 23.90	
 10.190	 37.895	 10.48785	  6.91873	  1.58984	  6.41336	  2.05140	 -0.02244	 10.95152	703.09003	 23.90	
 10.215	 47.354	 10.47709	  6.46992	  1.92564	  6.89249	  1.66411	 -0.03351	 10.94824	702.98999	 23.90	
 10.203	 56.908	 10.47053	  5.95327	  2.33921	  7.29453	  1.35465	 -0.03677	 10.94717	703.01001	 23.90	
 10.192	 66.322	 10.46072	  5.39288	  2.80839	  7.60033	  1.12639	 -0.03698	 10.94686	703.03003	 23.90	
 10.208	 75.751	 10.45386	  4.80872	  3.32098	  7.82023	  0.97129	 -0.06452	 10.95170	703.01001	 23.90	
 10.210	 85.199	 10.44707	  4.21468	  3.87753	  7.92176	  0.89019	 -0.08347	 10.95000	702.94000	 23.90	
 10.210	 94.801	 10.43683	  3.61951	  4.46401	  7.91782	  0.88444	 -0.09245	 10.94980	702.98999	 23.90	
 10.208	104.249	 10.42395	  3.05341	  5.05061	  7.80024	  0.96023	 -0.09008	 10.94383	702.96002	 23.90	
 10.192	113.678	 10.41288	  2.53624	  5.62637	  7.57784	  1.12126	 -0.09026	 10.94524	703.08002	 23.90	
 10.203	123.092	 10.39909	  2.07531	  6.16768	  7.26451	  1.35414	 -0.11209	 10.94237	702.97998	 23.90	
