FileType=PCF
NHL=14
Date=03/07/19	15:39:42
Facility=APL
Serial=16071-10
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 10.97620	  4.62751	  4.67475	  4.81213	  4.44179	  0.24881	 10.96221	710.59998	 33.10	
  1.691	128.401	 10.96411	  4.29890	  4.97403	  5.27308	  3.96204	  0.23031	 10.95653	710.73999	 33.10	
  1.692	 77.194	 10.96358	  4.77228	  4.48903	  5.34447	  3.88579	  0.24926	 10.95576	710.72998	 33.10	
  1.699	 26.182	 10.96824	  5.13900	  4.14045	  5.00757	  4.21638	  0.26095	 10.95684	710.78998	 33.10	
  1.699	-26.182	 10.96857	  5.10909	  4.18929	  4.51625	  4.71729	  0.25540	 10.95398	710.71002	 33.10	
  1.692	-77.194	 10.97313	  4.70787	  4.59011	  4.24961	  5.00186	  0.23803	 10.96233	710.77002	 33.10	
  1.691	-128.401	 10.97050	  4.23984	  5.05850	  4.39667	  4.84603	  0.22353	 10.95886	710.70001	 33.00	
  1.700	180.000	 10.96781	  4.05187	  5.24328	  4.84628	  4.38536	  0.21874	 10.95575	710.72998	 33.00	
  3.400	180.000	 10.94386	  3.46294	  5.81327	  4.83769	  4.29506	  0.17404	 10.95915	710.67999	 33.00	
  3.388	-152.325	 10.94367	  3.56742	  5.71411	  4.32449	  4.82190	  0.17644	 10.95193	710.72998	 33.00	
  3.397	-124.529	 10.95436	  3.89045	  5.37587	  3.90574	  5.29087	  0.18417	 10.95566	710.70001	 33.00	
  3.399	-96.763	 10.95958	  4.37292	  4.87190	  3.68651	  5.54860	  0.19758	 10.95772	710.72998	 33.00	
  3.394	-69.283	 10.96182	  4.89283	  4.34224	  3.70413	  5.52688	  0.21327	 10.96126	710.67999	 33.00	
  3.400	-41.398	 10.95727	  5.35893	  3.87703	  3.95856	  5.21259	  0.21833	 10.95286	710.63000	 33.00	
  3.401	-14.021	 10.95924	  5.68513	  3.57702	  4.40142	  4.73226	  0.24279	 10.95916	710.59003	 32.90	
  3.401	 14.021	 10.95203	  5.70983	  3.52842	  4.92113	  4.18964	  0.24283	 10.95896	710.71002	 32.90	
  3.400	 41.398	 10.94272	  5.47704	  3.72323	  5.43890	  3.69760	  0.24599	 10.95276	710.79999	 32.90	
  3.394	 69.283	 10.94220	  5.03005	  4.14382	  5.80283	  3.37169	  0.22538	 10.95651	710.77002	 32.90	
  3.399	 96.763	 10.93425	  4.50014	  4.65280	  5.93856	  3.26774	  0.21928	 10.95455	710.71997	 32.90	
  3.397	124.529	 10.94175	  4.00266	  5.17714	  5.78259	  3.41124	  0.19960	 10.96346	710.75000	 32.90	
  3.388	152.325	 10.93910	  3.63281	  5.59735	  5.35148	  3.79405	  0.16815	 10.95827	709.90002	 32.80	
  5.099	161.165	 10.88049	  2.96210	  6.19899	  5.35379	  3.64380	  0.09593	 10.95452	710.59003	 32.80	
  5.109	142.013	 10.87709	  3.24343	  5.84712	  5.88050	  3.15475	  0.10278	 10.95940	710.71997	 32.80	
  5.095	123.033	 10.87489	  3.65297	  5.37949	  6.25307	  2.83809	  0.12199	 10.95981	710.67999	 32.80	
  5.105	104.191	 10.87223	  4.17178	  4.81052	  6.45974	  2.66314	  0.15980	 10.95522	710.67999	 32.80	
  5.093	 85.207	 10.87758	  4.73450	  4.23930	  6.45891	  2.65945	  0.16828	 10.96037	710.71002	 32.80	
  5.104	 66.290	 10.87738	  5.29590	  3.72009	  6.25807	  2.81287	  0.17472	 10.95733	710.65997	 32.80	
