FileType=PCF
NHL=14
Date=05/29/19	12:53:35
Facility=APL
Serial=16071-10
Customer=NASA
NP=6
Mach=0.550000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	160.05176	 74.83824	 76.32096	 72.09074	 75.62354	  6.24754	159.93613	702.23999	 43.40	
  1.691	128.401	160.02641	 70.25554	 80.63750	 78.73345	 68.77006	  6.13014	159.91046	702.17999	 43.40	
  1.692	 77.194	160.06430	 77.20115	 73.59731	 79.92076	 67.64419	  6.17679	159.92719	702.19000	 43.50	
  1.699	 26.182	160.07188	 81.88796	 68.49852	 75.28605	 72.30084	  6.18043	159.94678	702.17999	 43.60	
  1.699	-26.182	160.08737	 81.29338	 68.83795	 68.17792	 79.22747	  6.12556	159.97058	702.08002	 43.60	
  1.692	-77.194	160.05785	 75.73774	 74.85841	 64.37470	 83.03771	  6.07018	159.95819	702.22998	 43.60	
  1.691	-128.401	160.08739	 69.23479	 81.54873	 66.11599	 81.20760	  6.03248	160.00977	702.10999	 43.70	
  1.700	180.000	160.14389	 66.59470	 84.02996	 72.52930	 74.97323	  6.04071	160.05443	702.15997	 43.70	
  3.400	180.000	159.88216	 58.38219	 91.49963	 72.37720	 73.88592	  5.52608	160.06107	702.09003	 43.70	
  3.388	-152.325	159.87730	 59.69032	 90.00953	 65.01666	 81.23732	  5.55448	160.08778	702.17999	 43.80	
  3.397	-124.529	159.86049	 63.84786	 85.40941	 59.49680	 87.25034	  5.55453	160.10173	702.14001	 43.80	
  3.399	-96.763	159.87537	 71.05467	 78.62759	 56.63855	 90.34636	  5.57908	160.08493	702.07001	 43.80	
  3.394	-69.283	159.96591	 78.57440	 70.61391	 57.17133	 89.90809	  5.61249	160.14095	702.06000	 43.80	
  3.400	-41.398	160.00072	 85.21947	 64.56672	 60.81600	 85.94340	  5.64587	160.12581	702.14001	 43.80	
  3.401	-14.021	160.08037	 89.20681	 61.00944	 67.01926	 79.56782	  5.72720	160.13454	702.23999	 43.90	
  3.401	 14.021	160.14099	 89.95281	 60.55740	 74.85603	 71.86745	  5.84427	160.17215	702.15002	 43.90	
  3.400	 41.398	160.14267	 86.89227	 63.37884	 81.91846	 65.02523	  5.86182	160.16893	702.15002	 43.90	
  3.394	 69.283	160.15736	 81.33202	 68.79934	 86.49264	 60.63783	  5.90961	160.19302	702.08002	 43.90	
  3.399	 96.763	160.12535	 73.89267	 76.36733	 87.94178	 59.30106	  5.86626	160.17439	702.06000	 43.90	
  3.397	124.529	160.17555	 65.91085	 83.80860	 85.63409	 61.52290	  5.78529	160.24393	702.15002	 43.90	
  3.388	152.325	160.11803	 60.85287	 89.14981	 80.11681	 66.63728	  5.62868	160.26273	702.03998	 44.00	
  5.099	161.165	159.43909	 52.46124	 96.90261	 79.97820	 64.86793	  4.92313	160.26099	702.10999	 44.00	
  5.109	142.013	159.51912	 56.45289	 92.55056	 86.89606	 58.57172	  5.06087	160.27455	702.17999	 44.10	
  5.095	123.033	159.56226	 62.05752	 86.34188	 91.98038	 54.06060	  5.18570	160.23148	702.06000	 44.10	
  5.105	104.191	159.66217	 69.24638	 79.02621	 94.91636	 51.47031	  5.26213	160.26978	702.09003	 44.10	
  5.093	 85.207	159.72153	 77.76968	 70.68873	 95.02946	 51.46971	  5.31565	160.30983	702.04999	 44.10	
  5.104	 66.290	159.73288	 85.01709	 64.08458	 92.49800	 53.68792	  5.34432	160.32368	702.04999	 44.10	
  5.094	 47.331	159.73424	 91.08707	 58.32769	 87.67772	 58.00273	  5.28807	160.32072	702.13000	 44.10	
  5.089	 28.397	159.68219	 95.39748	 54.35515	 81.43137	 63.97953	  5.22569	160.29822	702.10999	 44.10	
  5.096	  9.576	159.77092	 97.36141	 52.61907	 73.71793	 71.39726	  5.19857	160.37424	702.14001	 44.10	
  5.096	 -9.576	159.66328	 96.71160	 53.06718	 65.60739	 79.38344	  5.12097	160.32957	702.06000	 44.20	
  5.089	-28.397	159.60625	 93.44637	 55.77612	 58.92420	 86.51324	  5.07980	160.34608	702.03003	 44.20	
  5.094	-47.331	159.54289	 88.10884	 60.56896	 53.43200	 92.54971	  5.01721	160.37457	702.12000	 44.30	
  5.104	-66.290	159.51381	 81.33897	 66.88445	 49.87410	 96.41849	  5.00496	160.40382	702.15997	 44.30	
  5.093	-85.207	159.47128	 73.59618	 74.68205	 48.45092	 98.02174	  4.92138	160.43361	702.08002	 44.40	
  5.105	-104.191	159.45622	 65.40169	 82.29784	 49.51369	 96.77238	  4.88278	160.43553	702.14001	 44.30	
  5.095	-123.033	159.47177	 59.26524	 89.00636	 52.73794	 93.04470	  4.88570	160.46727	702.06000	 44.30	
  5.109	-142.013	159.46440	 54.29312	 94.59908	 57.86726	 87.33369	  4.86578	160.46999	702.14001	 44.30	
  5.099	-161.165	159.51816	 51.40922	 98.23215	 64.41700	 80.27531	  4.88935	160.45598	702.00000	 44.40	
  5.100	180.000	159.53770	 50.74456	 99.10490	 71.85184	 72.69295	  4.82741	160.41733	702.14001	 44.40	
  6.800	180.000	158.43204	 42.66595	105.70360	 70.89404	 70.82267	  4.30367	160.46530	702.03998	 44.40	
  6.796	-166.229	158.34764	 42.88869	105.28889	 63.82375	 78.56223	  4.34143	160.49463	702.03003	 44.50	
  6.808	-152.311	158.31927	 44.73426	103.06543	 57.03390	 85.69656	  4.36031	160.51042	702.01001	 44.50	
  6.795	-138.383	158.27747	 48.24369	 99.24155	 51.15090	 92.39178	  4.33408	160.52917	701.98999	 44.50	
  6.792	-124.591	158.25015	 53.35803	 93.23283	 46.28693	 97.91003	  4.29826	160.50824	702.07001	 44.50	
  6.787	-110.754	158.25975	 59.39029	 86.83871	 42.72090	102.10703	  4.34896	160.52121	701.96997	 44.50	
  6.800	-96.985	158.28320	 65.69399	 79.73508	 40.79842	104.53130	  4.36439	160.51395	702.10999	 44.60	
  6.800	-83.015	158.36870	 73.76163	 72.16582	 40.33440	105.15091	  4.41674	160.57187	702.03998	 44.60	
  6.787	-69.246	158.39304	 81.35527	 64.82310	 41.57712	103.72752	  4.45950	160.51164	702.06000	 44.60	
  6.792	-55.409	158.40544	 88.33562	 58.27383	 44.33579	100.42174	  4.48524	160.45573	702.08002	 44.70	
  6.795	-41.617	158.54976	 94.44331	 52.82498	 48.85570	 95.51878	  4.53500	160.49010	702.06000	 44.70	
  6.808	-27.689	158.62154	 99.57060	 48.54439	 54.34496	 89.32324	  4.59108	160.50339	702.00000	 44.70	
  6.796	-13.771	158.77670	102.90728	 45.79302	 60.96974	 82.30978	  4.62099	160.54425	701.98999	 44.60	
  6.800	  0.000	158.80460	104.60316	 44.53109	 67.70719	 74.73586	  4.63722	160.54686	702.10999	 44.60	
  6.796	 13.771	158.87131	104.18633	 44.81566	 76.03406	 67.08186	  4.65304	160.54935	702.04999	 44.50	
  6.808	 27.689	158.90666	102.06301	 46.60949	 83.49091	 60.11037	  4.68223	160.56726	701.90997	 44.50	
  6.795	 41.617	158.93924	 98.18391	 50.23361	 89.78918	 54.05544	  4.65272	160.58784	701.90002	 44.50	
  6.792	 55.409	158.89789	 92.56965	 55.13268	 95.32397	 49.05674	  4.66936	160.54161	701.98999	 44.50	
  6.787	 69.246	158.95499	 86.30276	 61.14486	 99.62058	 45.50482	  4.70272	160.56544	702.10999	 44.60	
  6.800	 83.015	158.93590	 79.27500	 67.34841	101.90028	 43.43237	  4.65625	160.55537	702.08002	 44.60	
  6.800	 96.985	158.95845	 70.91190	 74.72619	102.49467	 43.01152	  4.61471	160.59917	702.03003	 44.60	
  6.787	110.754	158.88684	 63.55466	 82.85744	101.00227	 44.31524	  4.68861	160.58139	702.12000	 44.50	
  6.792	124.591	158.87712	 57.39331	 89.90840	 97.62805	 47.09837	  4.63503	160.62756	702.04999	 44.60	
  6.795	138.383	158.77940	 51.59790	 95.95242	 92.79988	 51.39845	  4.58018	160.60638	702.17999	 44.60	
  6.808	152.311	158.68356	 47.09071	101.06706	 86.51706	 56.90627	  4.41144	160.59373	702.00000	 44.60	
  6.796	166.229	158.69910	 44.14816	104.28300	 79.46555	 63.48351	  4.32387	160.66270	701.95001	 44.60	
  8.491	168.704	157.01328	 35.73148	111.02893	 78.59743	 61.44271	  4.04875	160.63765	702.09998	 44.60	
  8.502	157.493	157.10170	 38.21358	108.17500	 85.89716	 54.67973	  4.13702	160.60965	701.94000	 44.70	
  8.494	146.194	157.18398	 42.21748	103.75349	 92.75630	 48.54880	  4.22871	160.59746	701.97998	 44.70	
  8.495	135.039	157.25893	 47.00299	 98.38512	 98.82665	 43.46493	  4.29074	160.60770	702.06000	 44.70	
  8.487	123.723	157.36287	 52.86389	 91.79221	103.76776	 39.44580	  4.32699	160.66570	702.15997	 44.70	
  8.492	112.575	157.42880	 59.32486	 84.79309	107.07057	 36.71371	  4.24440	160.65245	702.12000	 44.60	
  8.510	101.220	157.49854	 66.16307	 76.45520	108.98049	 35.52961	  4.20729	160.66335	702.23999	 44.60	
  8.500	 90.000	157.54829	 74.52559	 68.81954	109.08253	 35.39639	  4.15459	160.67322	702.08002	 44.60	
  8.510	 78.780	157.48842	 82.13502	 62.30708	107.90472	 36.21213	  4.16602	160.62257	702.15997	 44.60	
  8.492	 67.425	157.58020	 89.36931	 55.66179	104.88537	 38.80952	  4.22264	160.69258	702.12000	 44.60	
  8.487	 56.277	157.54839	 95.86379	 49.77261	100.62853	 42.16725	  4.23132	160.67923	702.20001	 44.70	
  8.495	 44.961	157.59264	101.57832	 43.91051	 95.03665	 47.00026	  4.27983	160.71426	702.01001	 44.70	
  8.494	 33.806	157.51987	106.28625	 40.45052	 88.60126	 52.56333	  4.33730	160.72867	702.15002	 44.70	
  8.502	 22.507	157.47652	109.52022	 38.05062	 81.73652	 58.99508	  4.37548	160.70726	702.04999	 44.80	
  8.491	 11.296	157.43253	111.08814	 36.70300	 73.58124	 66.06885	  4.36539	160.68506	702.02002	 44.80	
  8.500	  0.000	157.40405	111.24311	 36.49545	 66.21339	 73.62694	  4.40645	160.70924	702.06000	 44.90	
  8.491	-11.296	157.32916	109.83498	 37.46957	 58.99191	 81.61683	  4.48034	160.67404	702.12000	 44.90	
  8.502	-22.507	157.25789	106.95550	 39.74514	 52.24234	 88.85790	  4.47665	160.69313	702.15997	 44.90	
  8.494	-33.806	157.18759	102.49561	 43.42925	 46.25954	 95.63460	  4.40316	160.69592	702.14001	 44.90	
  8.495	-44.961	157.09003	 96.77377	 48.13657	 41.11764	101.68051	  4.34738	160.69952	702.03998	 44.90	
  8.487	-56.277	157.02945	 90.32452	 53.89586	 37.02466	106.45920	  4.33880	160.72693	702.15997	 44.90	
  8.492	-67.425	156.84563	 83.26633	 60.49333	 34.16383	109.76250	  4.28406	160.68617	702.10999	 44.90	
  8.510	-78.780	156.80400	 75.46214	 67.41004	 32.62674	111.64290	  4.18398	160.71957	702.10999	 44.90	
  8.500	-90.000	156.76260	 67.35921	 74.96456	 32.62307	111.82999	  4.12532	160.72734	702.14001	 45.00	
  8.510	-101.220	156.69153	 60.55940	 82.59004	 33.54358	110.55326	  4.12328	160.72153	702.13000	 45.00	
  8.492	-112.575	156.70004	 53.78955	 89.90481	 35.81630	107.54746	  4.07912	160.72627	702.10999	 45.00	
  8.487	-123.723	156.75949	 47.86701	 96.58775	 39.36962	103.32018	  4.04655	160.80382	702.04999	 45.00	
  8.495	-135.039	156.74277	 42.88428	102.39805	 43.87356	 97.62627	  4.04272	160.75143	702.04999	 45.00	
  8.494	-146.194	156.86070	 38.93737	107.07262	 49.31717	 91.39069	  4.09508	160.78998	702.08002	 45.00	
  8.502	-157.493	156.89658	 36.24644	110.39755	 55.80489	 84.10458	  4.10602	160.76183	702.07001	 45.00	
  8.491	-168.704	156.97693	 34.73892	112.23363	 63.02702	 76.82189	  4.06970	160.77713	702.07001	 44.90	
  8.500	180.000	157.10063	 34.84823	112.44656	 69.92793	 68.78216	  4.03389	160.75848	702.04999	 44.90	
 10.200	180.000	155.05725	 26.85645	118.74310	 68.72511	 66.56544	  4.10440	160.81047	702.15002	 45.00	
 10.191	-170.497	154.87592	 26.62666	118.60102	 61.65017	 74.43658	  4.15380	160.75822	702.09998	 45.00	
 10.210	-161.034	154.75505	 27.61473	117.18420	 54.31539	 82.10980	  4.18245	160.78511	702.09998	 45.10	
 10.194	-151.526	154.70319	 29.90696	114.40663	 47.58871	 89.43119	  4.15692	160.77127	702.15002	 45.10	
 10.190	-142.105	154.64040	 33.19702	110.44610	 41.65240	 96.41492	  4.13769	160.80754	702.00000	 45.10	
