FileType=PCF
NHL=14
Date=03/08/19	08:53:37
Facility=APL
Serial=16071-10
Customer=NASA
NP=6
Mach=0.036000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  0.65973	  0.30220	  0.29622	  0.31173	  0.29199	  0.04508	  0.66029	711.06000	 13.10	
  1.691	128.401	  0.65635	  0.28091	  0.31249	  0.33277	  0.26474	  0.04526	  0.65590	711.17999	 13.10	
  1.692	 77.194	  0.65247	  0.30493	  0.28319	  0.33423	  0.25938	  0.04635	  0.65181	711.13000	 13.00	
  1.699	 26.182	  0.65386	  0.32539	  0.27037	  0.31642	  0.27766	  0.04770	  0.65222	711.14001	 13.00	
  1.699	-26.182	  0.65825	  0.32367	  0.27367	  0.29243	  0.30535	  0.04462	  0.65747	711.21997	 13.00	
  1.692	-77.194	  0.65528	  0.30128	  0.29256	  0.27932	  0.31851	  0.04257	  0.65330	711.13000	 13.00	
  1.691	-128.401	  0.66203	  0.28222	  0.31922	  0.28776	  0.31431	  0.04170	  0.66034	711.08002	 13.00	
  1.700	180.000	  0.66072	  0.27179	  0.32930	  0.31015	  0.28776	  0.04255	  0.66017	711.21002	 13.00	
  3.400	180.000	  0.65224	  0.23457	  0.35858	  0.30714	  0.28055	  0.03929	  0.65282	711.14001	 12.90	
  3.388	-152.325	  0.65371	  0.24069	  0.35438	  0.27926	  0.31097	  0.03748	  0.65410	711.10999	 12.90	
  3.397	-124.529	  0.65934	  0.26011	  0.33731	  0.25951	  0.33917	  0.03807	  0.65858	711.15997	 12.90	
  3.399	-96.763	  0.66180	  0.28627	  0.30974	  0.24966	  0.35347	  0.03791	  0.66153	711.01001	 12.90	
  3.394	-69.283	  0.66053	  0.31549	  0.27843	  0.24908	  0.35085	  0.03912	  0.65886	711.00000	 12.90	
  3.400	-41.398	  0.65647	  0.34138	  0.25201	  0.26055	  0.33331	  0.04252	  0.65580	711.12000	 12.90	
  3.401	-14.021	  0.65763	  0.35976	  0.23797	  0.28466	  0.30749	  0.04314	  0.65753	711.21997	 12.90	
  3.401	 14.021	  0.65683	  0.36256	  0.23439	  0.31435	  0.27712	  0.04483	  0.65754	711.22998	 12.90	
  3.400	 41.398	  0.65444	  0.34741	  0.24213	  0.34301	  0.24741	  0.04526	  0.65459	711.15997	 12.90	
  3.394	 69.283	  0.65438	  0.32241	  0.26436	  0.36436	  0.22977	  0.04756	  0.65430	711.21002	 12.90	
  3.399	 96.763	  0.65238	  0.29066	  0.29260	  0.36948	  0.22407	  0.04577	  0.65427	711.04999	 12.90	
  3.397	124.529	  0.66261	  0.26562	  0.32770	  0.36575	  0.23463	  0.04405	  0.66450	711.16998	 12.80	
  3.388	152.325	  0.66128	  0.24545	  0.35168	  0.34150	  0.25501	  0.04180	  0.66125	711.17999	 12.80	
  5.099	161.165	  0.65114	  0.20514	  0.38255	  0.33785	  0.24321	  0.03538	  0.65480	711.17999	 12.80	
  5.109	142.013	  0.65166	  0.22066	  0.36363	  0.36901	  0.21688	  0.03737	  0.65530	711.16998	 12.80	
  5.095	123.033	  0.65146	  0.24452	  0.33520	  0.39031	  0.19895	  0.04049	  0.65465	711.25000	 12.80	
  5.105	104.191	  0.65623	  0.27548	  0.30488	  0.40419	  0.19063	  0.04073	  0.65919	711.14001	 12.80	
  5.093	 85.207	  0.65692	  0.30893	  0.27229	  0.40515	  0.19146	  0.04387	  0.66047	711.15002	 12.80	
  5.104	 66.290	  0.65482	  0.33964	  0.24250	  0.39209	  0.19972	  0.04360	  0.65863	711.09998	 12.80	
  5.094	 47.331	  0.66056	  0.37058	  0.22059	  0.37272	  0.21869	  0.04439	  0.66494	711.14001	 12.80	
  5.089	 28.397	  0.65440	  0.38714	  0.20393	  0.34034	  0.24341	  0.04308	  0.65706	711.20001	 12.80	
  5.096	  9.576	  0.65772	  0.39584	  0.19857	  0.30833	  0.27464	  0.04225	  0.65996	711.09003	 12.80	
  5.096	 -9.576	  0.65312	  0.39143	  0.20106	  0.27557	  0.30548	  0.03938	  0.65561	711.23999	 12.80	
  5.089	-28.397	  0.65340	  0.37845	  0.21341	  0.24874	  0.33597	  0.03829	  0.65601	711.20001	 12.80	
