FileType=PCF
NHL=14
Date=03/07/19	13:48:38
Facility=APL
Serial=16071-10
Customer=NASA
NP=6
Mach=0.380000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 66.82693	 28.72340	 29.05708	 30.04150	 27.14687	  1.30765	 66.68235	710.72998	 43.40	
  1.691	128.401	 66.79527	 26.51604	 30.97770	 32.88831	 23.80958	  1.21609	 66.68768	710.90997	 43.40	
  1.692	 77.194	 66.78208	 29.66756	 27.78672	 33.46009	 23.34755	  1.32080	 66.66108	710.89001	 43.30	
  1.699	 26.182	 66.84996	 32.02221	 25.49951	 31.38827	 25.52841	  1.37721	 66.70787	710.81000	 43.30	
  1.699	-26.182	 66.83153	 31.75573	 25.79528	 28.15028	 28.98245	  1.32447	 66.67478	710.77002	 43.20	
  1.692	-77.194	 66.81819	 29.11539	 28.52864	 26.20934	 30.90052	  1.23693	 66.67197	710.79999	 43.20	
  1.691	-128.401	 66.78869	 26.07000	 31.57410	 27.10406	 29.92553	  1.16759	 66.63455	710.78998	 43.20	
  1.700	180.000	 66.76576	 24.84424	 32.69862	 30.03378	 26.79742	  1.15085	 66.64239	710.76001	 43.20	
  3.400	180.000	 66.64052	 21.05192	 36.11644	 30.02688	 26.20057	  0.89668	 66.66373	710.82001	 43.10	
  3.388	-152.325	 66.67727	 21.63459	 35.59057	 26.55638	 29.87006	  0.91115	 66.65790	710.87000	 43.10	
  3.397	-124.529	 66.73071	 23.66480	 33.56047	 23.88673	 32.81925	  0.94540	 66.66248	710.79999	 43.00	
  3.399	-96.763	 66.73544	 26.87603	 30.34419	 22.45949	 34.34468	  1.01419	 66.64196	710.83002	 43.00	
  3.394	-69.283	 66.70998	 30.36517	 26.76332	 22.60056	 34.16454	  1.10046	 66.59676	710.85999	 43.00	
  3.400	-41.398	 66.71885	 33.40137	 23.62394	 24.37498	 32.32344	  1.19944	 66.61945	710.83002	 42.90	
  3.401	-14.021	 66.67561	 35.22241	 21.89388	 27.33940	 29.21309	  1.27619	 66.60432	710.90997	 42.90	
  3.401	 14.021	 66.66571	 35.55877	 21.60955	 30.92142	 25.35711	  1.31074	 66.63039	710.79999	 42.90	
  3.400	 41.398	 66.59070	 34.12867	 22.76587	 34.11279	 22.21201	  1.28676	 66.60858	710.91998	 42.80	
  3.394	 69.283	 66.54038	 31.36246	 25.30349	 36.28315	 20.03772	  1.21990	 66.60582	710.87000	 42.80	
  3.399	 96.763	 66.48283	 27.83727	 28.78723	 36.80651	 19.34254	  1.11902	 66.57088	710.90002	 42.80	
  3.397	124.529	 66.51646	 24.35895	 32.26693	 35.77229	 20.29871	  1.01406	 66.58260	710.78998	 42.70	
  3.388	152.325	 66.52570	 22.02153	 34.81294	 33.29161	 22.65705	  0.92984	 66.58298	710.90002	 42.70	
  5.099	161.165	 66.17488	 17.94294	 38.43968	 33.30384	 21.80198	  0.52874	 66.60031	710.87000	 42.70	
  5.109	142.013	 66.09597	 19.68212	 36.29736	 36.42374	 18.79848	  0.60355	 66.57131	710.71997	 42.60	
  5.095	123.033	 66.08688	 22.36735	 33.33695	 38.71877	 16.72453	  0.69150	 66.59309	710.73999	 42.60	
  5.105	104.191	 66.07521	 25.67047	 29.80210	 40.06640	 15.64054	  0.79431	 66.58020	710.76001	 42.60	
  5.093	 85.207	 66.05410	 29.46087	 26.03980	 40.05328	 15.69552	  0.89710	 66.54184	710.66998	 42.50	
  5.104	 66.290	 66.13887	 32.96673	 22.81059	 38.96704	 16.79277	  1.00385	 66.59596	710.78003	 42.50	
  5.094	 47.331	 66.15228	 35.87754	 20.17406	 36.68752	 18.82738	  1.06398	 66.55727	710.69000	 42.50	
  5.089	 28.397	 66.21450	 37.99568	 18.47916	 33.69345	 21.73306	  1.12836	 66.55771	710.66998	 42.40	
