FileType=PCF
NHL=14
Date=08/26/17	13:40:27
Facility=APL
Serial=16328-8
Customer=NASA
NP=6
Mach=0.050000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  1.28181	  0.68769	  0.67863	  0.68265	  0.69473	  0.00952	  1.27338	708.51398	 23.20	
  1.691	128.401	  1.28229	  0.64406	  0.69978	  0.71580	  0.64181	  0.00730	  1.27524	708.58698	 23.20	
  1.692	 77.194	  1.27800	  0.68582	  0.64913	  0.72294	  0.62844	  0.00582	  1.27065	708.56201	 23.20	
  1.699	 26.182	  1.27976	  0.72582	  0.61627	  0.69156	  0.65579	  0.00672	  1.27268	708.39301	 23.10	
  1.699	-26.182	  1.27856	  0.72434	  0.61518	  0.64171	  0.70381	  0.00619	  1.27008	708.38202	 23.10	
  1.692	-77.194	  1.28524	  0.68945	  0.65205	  0.61809	  0.74021	  0.00568	  1.27692	708.40997	 23.20	
  1.691	-128.401	  1.28454	  0.64064	  0.70244	  0.62856	  0.72773	  0.00610	  1.27566	708.45697	 23.20	
  1.700	180.000	  1.28510	  0.62435	  0.72540	  0.67367	  0.68202	  0.00692	  1.27681	708.37500	 23.20	
  3.400	180.000	  1.28329	  0.55130	  0.79053	  0.66682	  0.67548	  0.00361	  1.27759	708.28900	 23.20	
  3.388	-152.325	  1.28438	  0.56319	  0.77704	  0.61180	  0.73510	  0.00343	  1.27847	708.18201	 23.20	
  3.397	-124.529	  1.28731	  0.60000	  0.73581	  0.56776	  0.78564	  0.00160	  1.28141	708.33301	 23.10	
  3.399	-96.763	  1.27730	  0.64984	  0.67354	  0.54408	  0.80163	  0.00106	  1.27200	708.31702	 23.10	
  3.394	-69.283	  1.27889	  0.71058	  0.61393	  0.55045	  0.79406	  0.00104	  1.27272	708.78900	 23.10	
  3.400	-41.398	  1.27369	  0.75846	  0.56586	  0.57874	  0.75468	  0.00262	  1.26809	708.33600	 23.10	
  3.401	-14.021	  1.27396	  0.78893	  0.54123	  0.62732	  0.70112	  0.00289	  1.26890	709.83899	 23.10	
  3.401	 14.021	  1.27534	  0.79182	  0.54203	  0.68858	  0.64228	  0.00485	  1.26931	708.32800	 23.10	
  3.400	 41.398	  1.27637	  0.76280	  0.56653	  0.74282	  0.59348	  0.00374	  1.27058	708.17401	 23.10	
  3.394	 69.283	  1.27909	  0.71439	  0.61469	  0.78171	  0.56579	  0.00346	  1.27352	708.34399	 23.10	
  3.399	 96.763	  1.27967	  0.65657	  0.67021	  0.79066	  0.56012	  0.00161	  1.27367	709.76398	 23.10	
  3.397	124.529	  1.27558	  0.60190	  0.72555	  0.76706	  0.57718	  0.00307	  1.27022	708.23798	 23.10	
  3.388	152.325	  1.28143	  0.56845	  0.77098	  0.72549	  0.61984	  0.00364	  1.27552	708.24103	 23.10	
  5.099	161.165	  1.27278	  0.48861	  0.83806	  0.72041	  0.60532	 -0.00043	  1.27264	708.84302	 23.10	
  5.109	142.013	  1.28141	  0.52158	  0.80954	  0.78331	  0.55683	 -0.00060	  1.28215	708.36401	 23.10	
  5.095	123.033	  1.27594	  0.56270	  0.75490	  0.82165	  0.51665	 -0.00321	  1.27656	708.33600	 23.20	
  5.105	104.191	  1.27542	  0.61716	  0.69585	  0.84974	  0.49283	 -0.00373	  1.27662	708.93597	 23.10	
  5.093	 85.207	  1.27836	  0.68144	  0.63353	  0.85393	  0.49061	 -0.00386	  1.27831	708.24103	 23.10	
  5.104	 66.290	  1.27297	  0.74065	  0.57128	  0.83316	  0.50096	 -0.00333	  1.27369	708.18701	 23.20	
  5.094	 47.331	  1.27187	  0.79602	  0.52133	  0.79561	  0.53072	 -0.00120	  1.27335	708.33099	 23.20	
  5.089	 28.397	  1.27158	  0.83520	  0.48605	  0.74313	  0.57567	  0.00005	  1.27282	708.23297	 23.10	
  5.096	  9.576	  1.27273	  0.85605	  0.46894	  0.68218	  0.63353	 -0.00119	  1.27325	708.30200	 23.10	
  5.096	 -9.576	  1.27460	  0.85715	  0.46911	  0.61841	  0.69844	 -0.00154	  1.27521	708.24597	 23.10	
  5.089	-28.397	  1.27564	  0.83315	  0.48962	  0.56214	  0.76041	 -0.00175	  1.27680	709.51001	 23.20	
  5.094	-47.331	  1.27272	  0.78949	  0.52422	  0.51483	  0.81113	 -0.00353	  1.27342	708.26001	 23.10	
  5.104	-66.290	  1.27464	  0.73513	  0.57427	  0.48312	  0.85015	 -0.00606	  1.27568	708.33398	 23.20	
  5.093	-85.207	  1.27387	  0.67255	  0.63519	  0.47218	  0.86600	 -0.00493	  1.27433	708.26801	 23.20	
  5.105	-104.191	  1.27845	  0.60974	  0.70222	  0.47685	  0.86501	 -0.00557	  1.27834	708.38702	 23.20	
  5.095	-123.033	  1.27391	  0.55235	  0.75976	  0.50001	  0.83449	 -0.00372	  1.27413	708.26898	 23.10	
  5.109	-142.013	  1.27975	  0.51164	  0.81320	  0.54403	  0.79187	 -0.00207	  1.27909	708.33099	 23.10	
  5.099	-161.165	  1.27138	  0.48249	  0.83887	  0.59458	  0.72825	 -0.00167	  1.27108	708.25201	 23.20	
  5.100	180.000	  1.27347	  0.47526	  0.85189	  0.65688	  0.66672	 -0.00129	  1.27335	708.26099	 23.20	
  6.800	180.000	  1.26974	  0.40502	  0.91469	  0.65040	  0.66011	 -0.00579	  1.27970	708.26801	 23.20	
  6.796	-166.229	  1.26651	  0.40843	  0.90497	  0.58767	  0.71909	 -0.00710	  1.27702	708.24103	 23.20	
  6.808	-152.311	  1.26354	  0.42422	  0.88038	  0.52809	  0.77757	 -0.00848	  1.27408	708.19299	 23.10	
  6.795	-138.383	  1.26376	  0.45738	  0.84224	  0.47936	  0.83281	 -0.00802	  1.27354	709.60602	 23.10	
  6.792	-124.591	  1.26690	  0.49979	  0.79544	  0.43995	  0.87894	 -0.01066	  1.27728	708.41998	 23.20	
  6.787	-110.754	  1.26686	  0.55309	  0.73631	  0.41244	  0.91070	 -0.01307	  1.27724	708.25201	 23.10	
  6.800	-96.985	  1.26396	  0.61104	  0.67282	  0.39743	  0.92469	 -0.01382	  1.27378	708.22302	 23.20	
  6.800	-83.015	  1.26545	  0.67605	  0.60966	  0.39786	  0.92542	 -0.01337	  1.27677	708.34698	 23.20	
  6.787	-69.246	  1.26420	  0.73613	  0.54971	  0.40902	  0.90866	 -0.01352	  1.27551	708.28003	 23.20	
  6.792	-55.409	  1.25988	  0.79225	  0.49654	  0.43411	  0.87509	 -0.01039	  1.27150	708.30200	 23.20	
  6.795	-41.617	  1.26397	  0.84623	  0.45167	  0.47172	  0.83389	 -0.01069	  1.27599	708.23700	 23.20	
  6.808	-27.689	  1.26702	  0.88756	  0.41991	  0.52240	  0.77934	 -0.00851	  1.27872	708.17798	 23.20	
  6.796	-13.771	  1.26179	  0.90866	  0.39779	  0.57528	  0.71696	 -0.00825	  1.27459	708.19299	 23.20	
  6.800	  0.000	  1.26479	  0.92115	  0.39051	  0.63708	  0.65662	 -0.00831	  1.27737	708.26898	 23.20	
  6.796	 13.771	  1.26617	  0.91527	  0.39772	  0.70216	  0.59523	 -0.00694	  1.27854	708.21600	 23.20	
  6.808	 27.689	  1.26097	  0.88958	  0.41402	  0.76021	  0.53621	 -0.00798	  1.27324	709.03900	 23.20	
  6.795	 41.617	  1.26665	  0.85484	  0.44963	  0.81840	  0.49097	 -0.00795	  1.27785	708.31598	 23.20	
  6.792	 55.409	  1.26328	  0.80312	  0.49121	  0.86088	  0.45161	 -0.00970	  1.27524	708.02600	 23.20	
  6.787	 69.246	  1.26850	  0.74935	  0.54548	  0.89621	  0.42880	 -0.01157	  1.27971	708.27197	 23.20	
  6.800	 83.015	  1.26263	  0.68476	  0.60256	  0.91117	  0.41397	 -0.01039	  1.27448	708.17902	 23.20	
  6.800	 96.985	  1.26234	  0.62184	  0.66540	  0.91231	  0.41386	 -0.01124	  1.27467	708.06403	 23.20	
  6.787	110.754	  1.26431	  0.56334	  0.72824	  0.89835	  0.42783	 -0.01134	  1.27588	708.12000	 23.20	
  6.792	124.591	  1.26907	  0.51228	  0.79040	  0.87155	  0.45666	 -0.00994	  1.28035	708.67902	 23.20	
  6.795	138.383	  1.26318	  0.46736	  0.83511	  0.82331	  0.49336	 -0.00935	  1.27344	708.04102	 23.20	
  6.808	152.311	  1.26859	  0.43390	  0.87935	  0.77430	  0.54166	 -0.00795	  1.27935	708.20599	 23.20	
  6.796	166.229	  1.25943	  0.40831	  0.89826	  0.70897	  0.59230	 -0.00649	  1.27013	708.00098	 23.20	
