FileType=PCF
NHL=14
Date=08/26/17	11:20:03
Facility=APL
Serial=16328-8
Customer=NASA
NP=6
Mach=0.250000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 30.53527	 15.91770	 15.74025	 15.73573	 15.91784	  0.33980	 30.48927	710.07898	 23.90	
  1.691	128.401	 30.56391	 14.93802	 16.68955	 17.01652	 14.59807	  0.32269	 30.51755	710.06403	 23.90	
  1.692	 77.194	 30.53114	 16.24514	 15.32475	 17.38150	 14.11408	  0.32589	 30.48928	710.13202	 23.90	
  1.699	 26.182	 30.52322	 17.32662	 14.22816	 16.39360	 15.06755	  0.31709	 30.48001	710.10699	 23.90	
  1.699	-26.182	 30.52650	 17.31454	 14.24072	 14.95385	 16.55505	  0.32864	 30.48841	710.07001	 23.90	
  1.692	-77.194	 30.48714	 16.14938	 15.34688	 14.09887	 17.39911	  0.31742	 30.44544	710.04102	 23.90	
  1.691	-128.401	 30.50768	 14.85336	 16.69915	 14.43616	 17.14600	  0.32498	 30.46607	710.07599	 23.90	
  1.700	180.000	 30.52156	 14.26343	 17.30395	 15.69998	 15.92186	  0.33921	 30.47712	709.97998	 23.90	
  3.400	180.000	 30.46277	 12.33851	 18.84073	 15.58843	 15.81182	  0.28021	 30.46543	710.09802	 23.90	
  3.388	-152.325	 30.46008	 12.71385	 18.45845	 14.11079	 17.23423	  0.28139	 30.46797	710.14600	 23.90	
  3.397	-124.529	 30.45225	 13.87858	 17.40667	 12.71957	 18.39188	  0.24879	 30.46014	710.26099	 23.90	
  3.399	-96.763	 30.39959	 15.27632	 15.97415	 12.15300	 18.95337	  0.24185	 30.40933	710.21698	 24.00	
  3.394	-69.283	 30.43877	 16.78906	 14.47353	 12.31955	 18.72559	  0.21890	 30.45384	710.12701	 24.00	
  3.400	-41.398	 30.42839	 18.17681	 13.04736	 13.13352	 17.76868	  0.26037	 30.44477	709.95801	 23.90	
