FileType=PCF
NHL=14
Date=08/26/17	12:30:32
Facility=APL
Serial=16328-8
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 10.97976	  5.65942	  5.57090	  5.60240	  5.70612	  0.09383	 10.96865	711.19897	 24.80	
  1.691	128.401	 11.00035	  5.32369	  5.91431	  6.05279	  5.27274	  0.08926	 10.99288	711.18402	 24.80	
  1.692	 77.194	 10.98056	  5.78803	  5.42559	  6.14046	  5.15506	  0.09131	 10.97228	711.21997	 24.80	
  1.699	 26.182	 10.98254	  6.16173	  5.05753	  5.83967	  5.43901	  0.08994	 10.97061	711.22400	 24.80	
  1.699	-26.182	 10.98532	  6.14850	  5.06476	  5.33947	  5.93823	  0.08254	 10.97254	711.27698	 24.80	
  1.692	-77.194	 10.98839	  5.76256	  5.44649	  5.05346	  6.24290	  0.08230	 10.97606	711.19000	 24.80	
  1.691	-128.401	 11.00256	  5.30243	  5.92858	  5.16803	  6.15233	  0.08737	 10.99026	711.20599	 24.80	
  1.700	180.000	 10.97719	  5.08801	  6.12690	  5.59431	  5.70248	  0.08778	 10.96816	711.21600	 24.80	
  3.400	180.000	 10.98623	  4.52973	  6.66787	  5.57278	  5.68083	  0.06063	 10.99076	711.28497	 24.80	
  3.388	-152.325	 10.96953	  4.63664	  6.53588	  5.05793	  6.17949	  0.05739	 10.97254	711.31702	 24.80	
  3.397	-124.529	 10.96663	  4.95846	  6.17969	  4.66502	  6.58907	  0.06088	 10.97250	711.17102	 24.80	
  3.399	-96.763	 10.97105	  5.44259	  5.65131	  4.47201	  6.76902	  0.02470	 10.97982	711.27100	 24.80	
  3.394	-69.283	 10.99522	  5.98808	  5.14631	  4.53800	  6.71640	  0.03147	 11.00413	711.21503	 24.80	
  3.400	-41.398	 10.97913	  6.44940	  4.69615	  4.82663	  6.37166	  0.03518	 10.98932	711.25702	 24.80	
  3.401	-14.021	 10.98028	  6.70540	  4.47054	  5.26382	  5.91561	  0.04509	 10.98643	711.09100	 24.80	
  3.401	 14.021	 10.96973	  6.72648	  4.45867	  5.81094	  5.36644	  0.07336	 10.97947	711.14502	 24.80	
  3.400	 41.398	 10.96677	  6.47704	  4.68892	  6.29707	  4.91418	  0.06644	 10.97673	711.21600	 24.80	
  3.394	 69.283	 10.98245	  6.04394	  5.11752	  6.62591	  4.64789	  0.06708	 10.99605	711.13702	 24.80	
  3.399	 96.763	 10.97551	  5.51195	  5.63121	  6.70020	  4.58431	  0.06502	 10.98337	711.16699	 24.80	
  3.397	124.529	 10.98479	  5.02017	  6.15457	  6.51995	  4.76943	  0.07128	 10.99199	711.18402	 24.80	
  3.388	152.325	 10.99231	  4.67097	  6.53652	  6.11327	  5.16330	  0.07566	 10.99714	711.26099	 24.80	
  5.099	161.165	 10.91464	  3.99476	  7.09249	  6.06080	  5.03293	  0.02751	 10.96975	711.08301	 24.80	
  5.109	142.013	 10.92738	  4.26098	  6.80822	  6.58068	  4.56432	  0.01826	 10.98470	711.24103	 24.80	
  5.095	123.033	 10.93460	  4.66693	  6.36826	  6.96320	  4.22187	  0.01695	 10.98783	711.23499	 24.80	
  5.105	104.191	 10.91254	  5.16167	  5.82784	  7.18400	  3.99911	  0.00798	 10.97033	711.35797	 24.80	
  5.093	 85.207	 10.93595	  5.72581	  5.28076	  7.23133	  3.96627	  0.00629	 10.99705	711.18402	 24.80	
  5.104	 66.290	 10.90569	  6.25794	  4.73693	  7.05991	  4.07302	  0.00992	 10.96530	711.02698	 24.80	
  5.094	 47.331	 10.92126	  6.73909	  4.30162	  6.73659	  4.35689	  0.00741	 10.98707	711.18201	 24.80	
  5.089	 28.397	 10.92101	  7.08285	  3.98529	  6.27801	  4.76233	  0.01180	 10.98386	711.25500	 24.80	
  5.096	  9.576	 10.90698	  7.26061	  3.81374	  5.72193	  5.26980	  0.02151	 10.96780	711.26501	 24.80	
  5.096	 -9.576	 10.91483	  7.24679	  3.82101	  5.15786	  5.83637	  0.01519	 10.97781	711.28900	 24.80	
  5.089	-28.397	 10.91577	  7.04475	  3.99310	  4.65346	  6.36697	 -0.00094	 10.98071	711.37201	 24.80	
  5.094	-47.331	 10.91730	  6.67670	  4.31254	  4.23512	  6.83144	 -0.01536	 10.98056	711.32001	 24.80	
