FileType=PCF
NHL=14
Date=08/24/17	15:35:46
Facility=APL
Serial=16328-4
Customer=NASA
NP=6
Mach=0.200000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 19.66825	 10.72654	 10.65130	 10.59583	 10.84019	  0.16266	 19.64596	705.16998	 22.10	
  1.691	128.401	 19.67968	 10.11756	 11.24399	 11.34895	 10.06877	  0.16050	 19.65565	705.19000	 22.10	
  1.692	 77.194	 19.64374	 10.91607	 10.39998	 11.51767	  9.85230	  0.13825	 19.62062	705.09802	 22.10	
  1.699	 26.182	 19.64383	 11.56846	  9.75067	 10.99259	 10.35801	  0.14390	 19.61924	705.17297	 22.10	
  1.699	-26.182	 19.63299	 11.54163	  9.74039	 10.11905	 11.21985	  0.12748	 19.61067	705.08002	 22.10	
  1.692	-77.194	 19.66987	 10.87883	 10.42331	  9.63257	 11.77181	  0.13496	 19.64242	705.15698	 22.10	
  1.691	-128.401	 19.67805	 10.07621	 11.24823	  9.80664	 11.60719	  0.14986	 19.65228	705.18201	 22.10	
  1.700	180.000	 19.69838	  9.73889	 11.64375	 10.57137	 10.85192	  0.15863	 19.68001	705.19800	 22.10	
  3.400	180.000	 19.63274	  8.72029	 12.52980	 10.45560	 10.74475	  0.10812	 19.64130	705.15002	 22.10	
  3.388	-152.325	 19.63122	  8.90761	 12.31324	  9.59258	 11.64753	  0.09906	 19.66351	705.16803	 22.10	
  3.397	-124.529	 19.62475	  9.48110	 11.66650	  8.93144	 12.34730	  0.10226	 19.65282	705.20898	 22.10	
  3.399	-96.763	 19.65067	 10.33239	 10.78940	  8.62433	 12.70255	  0.09281	 19.67557	705.18799	 22.10	
  3.394	-69.283	 19.61004	 11.23319	  9.85467	  8.71914	 12.55835	  0.09474	 19.63363	705.19000	 22.10	
  3.400	-41.398	 19.60088	 12.02285	  9.10257	  9.20998	 11.98073	  0.07922	 19.62218	705.29498	 22.10	
  3.401	-14.021	 19.65043	 12.51235	  8.72261	 10.01056	 11.19139	  0.09635	 19.66129	705.22101	 22.10	
  3.401	 14.021	 19.65487	 12.55067	  8.71406	 10.96902	 10.24088	  0.11366	 19.65694	705.20398	 22.10	
  3.400	 41.398	 19.66384	 12.11608	  9.13039	 11.80468	  9.45910	  0.09962	 19.65566	705.08899	 22.10	
  3.394	 69.283	 19.65451	 11.36127	  9.85753	 12.33150	  8.97121	  0.11900	 19.64766	705.15997	 22.10	
  3.399	 96.763	 19.65370	 10.45622	 10.76338	 12.45283	  8.87380	  0.12792	 19.63987	705.24701	 22.10	
  3.397	124.529	 19.65928	  9.58122	 11.66447	 12.11070	  9.19395	  0.12991	 19.64973	705.15698	 22.10	
  3.388	152.325	 19.66765	  8.97964	 12.31138	 11.39629	  9.87067	  0.12634	 19.65661	705.16199	 22.10	
  5.099	161.165	 19.54579	  7.84242	 13.24372	 11.28456	  9.65739	  0.03476	 19.63853	705.19800	 22.10	
  5.109	142.013	 19.54982	  8.28274	 12.75470	 12.15700	  8.83643	  0.02628	 19.62973	705.13599	 22.10	
  5.095	123.033	 19.57788	  8.97017	 12.02995	 12.84025	  8.25484	  0.02321	 19.64079	705.11200	 22.10	
