FileType=PCF
NHL=14
Date=08/24/17	16:58:23
Facility=APL
Serial=16328-4
Customer=NASA
NP=6
Mach=0.100000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  4.97736	  2.74604	  2.73617	  2.71968	  2.78799	  0.03384	  4.97422	702.90302	 23.50	
  1.691	128.401	  4.96448	  2.59783	  2.86154	  2.88529	  2.59999	  0.03242	  4.96155	702.98297	 23.50	
  1.692	 77.194	  4.96962	  2.79412	  2.67276	  2.93251	  2.55974	  0.03055	  4.96775	702.85199	 23.50	
  1.699	 26.182	  4.97488	  2.93121	  2.52858	  2.81371	  2.67327	  0.02749	  4.97021	703.04797	 23.50	
  1.699	-26.182	  4.96834	  2.92488	  2.52271	  2.60758	  2.86302	  0.02568	  4.96773	703.03198	 23.50	
  1.692	-77.194	  4.95941	  2.76247	  2.66810	  2.48689	  2.97910	  0.02525	  4.95632	702.98901	 23.50	
  1.691	-128.401	  4.95704	  2.57984	  2.85350	  2.52816	  2.93326	  0.02623	  4.95457	702.96899	 23.50	
  1.700	180.000	  4.96954	  2.51179	  2.94881	  2.70515	  2.78096	  0.03203	  4.96686	702.94397	 23.50	
  3.400	180.000	  4.96110	  2.25500	  3.17065	  2.67032	  2.74043	  0.01458	  4.96802	702.95502	 23.50	
  3.388	-152.325	  4.95920	  2.29146	  3.11770	  2.45834	  2.96019	  0.01189	  4.96716	702.90302	 23.50	
  3.397	-124.529	  4.95148	  2.42114	  2.95556	  2.29637	  3.13133	  0.00813	  4.96040	703.02600	 23.50	
  3.399	-96.763	  4.96199	  2.62847	  2.74546	  2.22547	  3.22448	  0.00733	  4.97326	703.02899	 23.50	
  3.394	-69.283	  4.96154	  2.85393	  2.52287	  2.24830	  3.19494	  0.00751	  4.97071	702.96198	 23.50	
  3.400	-41.398	  4.96244	  3.05128	  2.34659	  2.36666	  3.05792	  0.00801	  4.97424	703.03198	 23.50	
  3.401	-14.021	  4.96142	  3.16387	  2.25043	  2.55175	  2.85604	  0.00979	  4.96748	703.01398	 23.50	
  3.401	 14.021	  4.97037	  3.17374	  2.26093	  2.78837	  2.63000	  0.01278	  4.97328	703.06897	 23.50	
  3.400	 41.398	  4.96874	  3.06998	  2.36049	  2.99350	  2.44624	  0.01849	  4.97243	702.92200	 23.50	
  3.394	 69.283	  4.97188	  2.88486	  2.52829	  3.11755	  2.33889	  0.01657	  4.97230	703.21802	 23.50	
  3.399	 96.763	  4.96486	  2.66185	  2.74088	  3.14791	  2.31078	  0.01941	  4.96736	703.08600	 23.50	
  3.397	124.529	  4.97436	  2.46480	  2.95862	  3.07193	  2.37790	  0.01814	  4.97679	702.93103	 23.50	
  3.388	152.325	  4.96862	  2.31689	  3.11557	  2.89742	  2.53100	  0.01692	  4.96991	702.95801	 23.50	
  5.099	161.165	  4.95046	  2.02534	  3.36607	  2.87513	  2.47984	 -0.00360	  4.97627	703.11603	 23.50	
  5.109	142.013	  4.95040	  2.13529	  3.24016	  3.09315	  2.27894	 -0.00088	  4.97088	703.09998	 23.50	
  5.095	123.033	  4.96115	  2.30493	  3.05779	  3.26495	  2.14369	 -0.00047	  4.98157	703.11603	 23.50	
  5.105	104.191	  4.95399	  2.50931	  2.83078	  3.36420	  2.05434	 -0.00131	  4.97461	703.04498	 23.50	
  5.093	 85.207	  4.96085	  2.74924	  2.59539	  3.38494	  2.04294	  0.00031	  4.97935	703.13000	 23.50	
  5.104	 66.290	  4.94873	  2.97389	  2.36508	  3.31511	  2.08442	 -0.00048	  4.96728	703.14398	 23.50	
  5.094	 47.331	  4.93982	  3.17248	  2.17575	  3.16914	  2.19749	 -0.00171	  4.95617	703.13300	 23.50	
  5.089	 28.397	  4.95381	  3.33128	  2.05134	  2.98349	  2.37294	 -0.00706	  4.97705	703.08301	 23.50	
  5.096	  9.576	  4.94962	  3.40711	  1.97762	  2.75294	  2.58601	 -0.00667	  4.97466	703.06500	 23.50	
  5.096	 -9.576	  4.95486	  3.40416	  1.98342	  2.51794	  2.83242	 -0.00920	  4.98570	703.09100	 23.50	
  5.089	-28.397	  4.93290	  3.30437	  2.04565	  2.29350	  3.04971	 -0.01058	  4.96369	702.98401	 23.50	
  5.094	-47.331	  4.94460	  3.15588	  2.18114	  2.12205	  3.25740	 -0.01408	  4.98173	703.10797	 23.50	
  5.104	-66.290	  4.92472	  2.93161	  2.36060	  1.99282	  3.38744	 -0.01613	  4.96253	703.02600	 23.50	
  5.093	-85.207	  4.93765	  2.70423	  2.59484	  1.94861	  3.45786	 -0.01651	  4.97577	703.00598	 23.50	
  5.105	-104.191	  4.93989	  2.46809	  2.83703	  1.96368	  3.44280	 -0.01632	  4.97831	703.08600	 23.50	
  5.095	-123.033	  4.94123	  2.26354	  3.06140	  2.05568	  3.33755	 -0.01040	  4.97844	703.08801	 23.50	
  5.109	-142.013	  4.93848	  2.10379	  3.24667	  2.20586	  3.16314	 -0.00683	  4.97471	703.19800	 23.50	
  5.099	-161.165	  4.94125	  2.00720	  3.36774	  2.40824	  2.94438	 -0.00574	  4.97572	703.12500	 23.50	
  5.100	180.000	  4.94245	  1.98453	  3.40396	  2.63581	  2.70807	 -0.00165	  4.97144	703.09302	 23.50	
  6.800	180.000	  4.90893	  1.70001	  3.63336	  2.58767	  2.66542	 -0.03130	  4.97755	703.07599	 23.50	
  6.796	-166.229	  4.89733	  1.71283	  3.59959	  2.35723	  2.89310	 -0.03043	  4.97480	703.08002	 23.50	
  6.808	-152.311	  4.88909	  1.77733	  3.50686	  2.14269	  3.11876	 -0.03571	  4.97144	703.03101	 23.50	
  6.795	-138.383	  4.89102	  1.89467	  3.36538	  1.95852	  3.32933	 -0.03576	  4.97689	702.88202	 23.50	
