FileType=PCF
NHL=14
Date=03/14/19	13:03:11
Facility=APL
Serial=16071-9
Customer=NASA
NP=6
Mach=0.300000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 42.75615	 17.69020	 18.45014	 18.15324	 17.68309	  0.48811	 42.73593	708.59998	 22.60	
  1.691	128.401	 42.77362	 16.38416	 19.84538	 20.02386	 15.96154	  0.42013	 42.75727	708.58002	 22.70	
  1.692	 77.194	 42.76712	 18.21309	 17.84690	 20.47062	 15.56254	  0.50745	 42.74646	708.56000	 22.70	
  1.699	 26.182	 42.78068	 19.90960	 16.29453	 19.14664	 16.77181	  0.54616	 42.75456	708.54999	 22.70	
  1.699	-26.182	 42.77299	 19.87798	 16.32563	 17.09105	 18.76221	  0.51209	 42.73961	708.48999	 22.80	
  1.692	-77.194	 42.80230	 18.17176	 17.91050	 15.94800	 19.82819	  0.43392	 42.78012	708.71002	 22.80	
  1.691	-128.401	 42.76473	 16.32698	 19.88166	 16.35363	 19.28356	  0.34948	 42.75753	708.65997	 22.90	
  1.700	180.000	 42.79932	 15.49767	 20.79762	 18.16408	 17.58099	  0.35986	 42.78027	708.53998	 22.90	
  3.400	180.000	 42.71791	 12.98892	 23.08268	 18.04374	 17.37114	  0.15499	 42.78772	708.57001	 23.00	
  3.388	-152.325	 42.70047	 13.47916	 22.52964	 15.89153	 19.36392	  0.15847	 42.75687	708.54999	 23.00	
  3.397	-124.529	 42.74223	 14.93689	 21.02612	 14.24692	 21.27881	  0.17365	 42.77446	708.59998	 23.00	
  3.399	-96.763	 42.74086	 16.91196	 18.87266	 13.43627	 22.22632	  0.22922	 42.77277	708.50000	 23.10	
  3.394	-69.283	 42.75139	 19.15415	 16.65352	 13.67898	 21.97578	  0.30321	 42.77302	708.65997	 23.10	
  3.400	-41.398	 42.76941	 21.21106	 14.82743	 14.95507	 20.59786	  0.40653	 42.79266	708.58002	 23.20	
  3.401	-14.021	 42.77676	 22.39671	 13.79637	 16.84496	 18.79700	  0.46742	 42.79206	708.59998	 23.20	
  3.401	 14.021	 42.76443	 22.42812	 13.74734	 19.02024	 16.60685	  0.48855	 42.79718	708.64001	 23.30	
  3.400	 41.398	 42.77092	 21.32952	 14.72336	 21.16775	 14.71923	  0.47937	 42.82729	708.83002	 23.30	
  3.394	 69.283	 42.76339	 19.30066	 16.52720	 22.55956	 13.45289	  0.43508	 42.82283	708.78003	 23.40	
  3.399	 96.763	 42.77029	 17.14456	 18.70424	 22.89500	 13.13285	  0.35441	 42.84939	708.67999	 23.40	
  3.397	124.529	 42.73751	 15.09059	 20.88108	 22.05341	 13.82346	  0.28720	 42.81138	708.59003	 23.50	
  3.388	152.325	 42.73930	 13.58327	 22.48177	 20.26275	 15.41712	  0.21173	 42.81419	708.64001	 23.50	
  5.099	161.165	 42.49184	 10.87865	 24.82331	 20.09283	 14.94338	 -0.07392	 42.81985	708.81000	 23.50	
  5.109	142.013	 42.48160	 11.95136	 23.61372	 22.29144	 13.02846	  0.06483	 42.81829	708.67999	 23.60	
  5.095	123.033	 42.50457	 13.66115	 21.78338	 23.98382	 11.58569	  0.08937	 42.84598	708.65002	 23.60	
  5.105	104.191	 42.51330	 15.77910	 19.55973	 24.97991	 10.76183	  0.13585	 42.84230	708.59003	 23.70	
  5.093	 85.207	 42.53056	 17.91521	 17.22583	 25.12833	 10.69492	  0.19788	 42.85888	708.57001	 23.70	
  5.104	 66.290	 42.54311	 20.28694	 15.05480	 24.49116	 11.26590	  0.26585	 42.84858	708.67999	 23.70	
  5.094	 47.331	 42.56997	 22.41730	 13.21941	 23.08580	 12.52039	  0.31742	 42.84909	708.72998	 23.80	
  5.089	 28.397	 42.59492	 23.90560	 11.94524	 21.11154	 14.27963	  0.37757	 42.84820	708.65002	 23.80	
  5.096	  9.576	 42.61669	 24.68497	 11.25602	 18.76258	 16.38881	  0.36835	 42.86367	708.71997	 23.90	
  5.096	 -9.576	 42.61750	 24.67789	 11.30819	 16.52965	 18.58224	  0.33456	 42.85590	708.65997	 23.90	
  5.089	-28.397	 42.63277	 23.82172	 12.04135	 14.42100	 20.69754	  0.27744	 42.85400	708.66998	 23.90	
  5.094	-47.331	 42.66570	 22.24118	 13.41882	 12.68056	 22.66412	  0.19264	 42.88095	708.72998	 24.00	
  5.104	-66.290	 42.64865	 20.10233	 15.29690	 11.46705	 23.97441	  0.09495	 42.86140	708.72998	 24.00	
  5.093	-85.207	 42.66941	 17.71515	 17.52106	 11.04917	 24.50817	  0.01908	 42.88036	708.62000	 24.00	
  5.105	-104.191	 42.65241	 15.55987	 19.85068	 11.23427	 24.24512	 -0.04178	 42.87323	708.56000	 24.10	
  5.095	-123.033	 42.65016	 13.47719	 22.05619	 12.09406	 23.19495	 -0.09575	 42.87898	708.59998	 24.10	
  5.109	-142.013	 42.63282	 11.84127	 23.82213	 13.55640	 21.43776	 -0.10250	 42.89430	708.64001	 24.20	
  5.099	-161.165	 42.61787	 10.82110	 24.95235	 15.60116	 19.34944	 -0.10045	 42.90503	708.59003	 24.20	
  5.100	180.000	 42.56887	 10.52121	 25.27665	 17.81721	 17.10311	 -0.09859	 42.88825	708.67999	 24.20	
  6.800	180.000	 42.16196	  7.99583	 27.34220	 17.43867	 16.63425	 -0.42042	 42.87533	708.50000	 24.30	
  6.796	-166.229	 42.20539	  8.20078	 27.09091	 15.27465	 18.72931	 -0.41735	 42.88300	708.56000	 24.30	
  6.808	-152.311	 42.25768	  8.91000	 26.31607	 13.19680	 20.90173	 -0.42524	 42.90172	708.63000	 24.30	
  6.795	-138.383	 42.28761	 10.10146	 24.99770	 11.45669	 22.97406	 -0.40580	 42.89648	708.53998	 24.40	
  6.792	-124.591	 42.31442	 11.67973	 23.24684	 10.10452	 24.66565	 -0.39326	 42.90129	708.58002	 24.40	
  6.787	-110.754	 42.32093	 13.58454	 21.14798	  9.17126	 25.85761	 -0.38926	 42.88720	708.50000	 24.40	
  6.800	-96.985	 42.33215	 15.72947	 18.91261	  8.62553	 26.53079	 -0.35636	 42.90233	708.46997	 24.50	
  6.800	-83.015	 42.35816	 17.82776	 16.66629	  8.59945	 26.58058	 -0.33315	 42.91503	708.48999	 24.50	
  6.787	-69.246	 42.35679	 20.14360	 14.52838	  9.03543	 26.06125	 -0.24047	 42.90764	708.51001	 24.60	
  6.792	-55.409	 42.38326	 22.36986	 12.58808	  9.95651	 25.03412	 -0.16035	 42.93227	708.50000	 24.60	
  6.795	-41.617	 42.35761	 24.20957	 10.99517	 11.31960	 23.46413	 -0.09567	 42.91993	708.53003	 24.60	
  6.808	-27.689	 42.35803	 25.69394	  9.76038	 13.06306	 21.48385	 -0.00805	 42.92892	708.58002	 24.60	
  6.796	-13.771	 42.33187	 26.61100	  8.99768	 15.15603	 19.38737	  0.08259	 42.92443	708.54999	 24.70	
  6.800	  0.000	 42.30796	 26.93175	  8.70236	 17.26879	 17.19576	  0.09508	 42.92093	708.51001	 24.70	
  6.796	 13.771	 42.30309	 26.66756	  8.90943	 19.47584	 15.04740	  0.12411	 42.92663	708.56000	 24.80	
  6.808	 27.689	 42.27258	 25.86314	  9.58036	 21.82615	 12.97517	  0.13977	 42.91617	708.58002	 24.80	
  6.795	 41.617	 42.25317	 24.49963	 10.72589	 23.84262	 11.19754	  0.08017	 42.93204	708.63000	 24.80	
  6.792	 55.409	 42.24574	 22.67533	 12.26822	 25.48557	  9.74851	  0.00307	 42.94545	708.59003	 24.90	
  6.787	 69.246	 42.20721	 20.41607	 14.17004	 26.58521	  8.78661	 -0.02491	 42.92311	708.46997	 24.90	
  6.800	 83.015	 42.20116	 18.15568	 16.25803	 27.20883	  8.23933	 -0.08296	 42.94027	708.53998	 24.90	
  6.800	 96.985	 42.19160	 16.03590	 18.51749	 27.23526	  8.13974	 -0.13931	 42.93499	708.54999	 24.90	
  6.787	110.754	 42.19189	 13.86333	 20.78968	 26.67521	  8.57980	 -0.16895	 42.94664	708.60999	 25.00	
  6.792	124.591	 42.17309	 11.90000	 22.90152	 25.59334	  9.46025	 -0.20005	 42.93487	708.56000	 25.00	
  6.795	138.383	 42.19759	 10.29583	 24.71731	 24.01394	 10.81630	 -0.15323	 42.95596	708.58002	 25.00	
  6.808	152.311	 42.18401	  9.03825	 26.16729	 21.98047	 12.52783	 -0.33304	 42.94159	708.56000	 25.00	
  6.796	166.229	 42.20111	  8.26855	 27.04459	 19.72412	 14.51031	 -0.39150	 42.93741	708.50000	 25.10	
  8.491	168.704	 41.62877	  5.61902	 29.06063	 19.24352	 13.86702	 -0.70627	 42.93530	708.62000	 25.10	
  8.502	157.493	 41.59726	  6.16990	 28.31737	 21.57477	 11.77266	 -0.73417	 42.95285	708.46997	 25.10	
  8.494	146.194	 41.58821	  7.21604	 27.06402	 23.79848	  9.89354	 -0.65653	 42.94442	708.50000	 25.20	
  8.495	135.039	 41.59120	  8.60537	 25.46842	 25.67056	  8.32205	 -0.55725	 42.92570	708.54999	 25.20	
  8.487	123.723	 41.60441	 10.34092	 23.54238	 27.20485	  7.06860	 -0.53609	 42.95481	708.54999	 25.20	
