FileType=PCF
NHL=14
Date=03/14/19	10:49:09
Facility=APL
Serial=16071-9
Customer=NASA
NP=6
Mach=0.230000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 25.54992	 10.51291	 10.85198	 10.73612	 10.40491	  0.34105	 25.55752	709.53003	 21.80	
  1.691	128.401	 25.55938	  9.67567	 11.66863	 11.79966	  9.34455	  0.30193	 25.57615	709.51001	 21.80	
  1.692	 77.194	 25.56003	 10.79406	 10.51515	 12.05548	  9.10830	  0.35676	 25.57653	709.40997	 21.80	
  1.699	 26.182	 25.54452	 11.70958	  9.60174	 11.29814	  9.80853	  0.37488	 25.55720	709.31000	 21.80	
  1.699	-26.182	 25.55370	 11.69987	  9.62337	 10.10144	 10.98989	  0.35511	 25.56774	709.41998	 21.80	
  1.692	-77.194	 25.54625	 10.73548	 10.55636	  9.37710	 11.67957	  0.31144	 25.55224	709.37000	 21.80	
  1.691	-128.401	 25.54143	  9.62436	 11.70757	  9.65185	 11.35920	  0.28024	 25.55060	709.42999	 21.90	
  1.700	180.000	 25.55664	  9.14318	 12.23717	 10.73230	 10.34925	  0.27351	 25.57243	709.51001	 21.90	
  3.400	180.000	 25.49980	  7.71785	 13.58900	 10.65332	 10.21093	  0.15588	 25.56965	709.46002	 21.90	
  3.388	-152.325	 25.49809	  8.00356	 13.27042	  9.37258	 11.43998	  0.15531	 25.55786	709.42999	 21.90	
  3.397	-124.529	 25.51865	  8.84054	 12.35614	  8.40080	 12.52102	  0.17589	 25.56637	709.41998	 21.90	
  3.399	-96.763	 25.52487	 10.01869	 11.11073	  7.93507	 13.06883	  0.19935	 25.56205	709.46997	 21.90	
  3.394	-69.283	 25.52342	 11.27114	  9.83429	  8.08682	 12.93530	  0.26195	 25.56648	709.41998	 22.00	
  3.400	-41.398	 25.53890	 12.45600	  8.76687	  8.80647	 12.14548	  0.30489	 25.57368	709.39001	 22.00	
  3.401	-14.021	 25.52366	 13.14908	  8.15929	  9.92759	 10.98878	  0.36033	 25.55963	709.41998	 22.00	
  3.401	 14.021	 25.52706	 13.18488	  8.12611	 11.22246	  9.70358	  0.37974	 25.56568	709.35999	 22.00	
  3.400	 41.398	 25.51891	 12.54625	  8.68401	 12.40205	  8.57513	  0.36912	 25.56753	709.42999	 22.00	
  3.394	 69.283	 25.50963	 11.37473	  9.72456	 13.25227	  7.80238	  0.33891	 25.57139	709.45001	 22.00	
  3.399	 96.763	 25.51134	 10.11010	 10.99366	 13.47297	  7.60884	  0.29207	 25.57432	709.40997	 22.10	
  3.397	124.529	 25.51488	  8.91601	 12.27905	 12.98840	  8.05138	  0.25530	 25.58252	709.38000	 22.10	
  3.388	152.325	 25.49858	  8.05753	 13.22223	 11.93169	  8.97937	  0.21035	 25.56583	709.52002	 22.10	
  5.099	161.165	 25.34237	  6.51547	 14.62668	 11.80032	  8.69784	  0.06094	 25.54629	709.41998	 22.10	
  5.109	142.013	 25.34325	  7.10707	 13.89432	 13.09721	  7.57734	  0.16260	 25.56173	709.40002	 22.10	
  5.095	123.033	 25.34947	  8.06265	 12.80946	 14.12601	  6.74042	  0.14301	 25.57179	709.34998	 22.10	
  5.105	104.191	 25.36128	  9.28004	 11.49644	 14.71281	  6.24454	  0.16852	 25.57956	709.46002	 22.10	
  5.093	 85.207	 25.37714	 10.61020	 10.14244	 14.80409	  6.17904	  0.21275	 25.57982	709.52002	 22.20	
  5.104	 66.290	 25.38114	 11.94530	  8.87517	 14.40507	  6.51661	  0.25492	 25.58288	709.41998	 22.20	
  5.094	 47.331	 25.40036	 13.19506	  7.80232	 13.54267	  7.26636	  0.29149	 25.58245	709.46002	 22.20	
  5.089	 28.397	 25.37910	 14.07828	  7.04357	 12.36156	  8.29742	  0.32046	 25.55273	709.40997	 22.20	
  5.096	  9.576	 25.41110	 14.54373	  6.68921	 11.06261	  9.54129	  0.31093	 25.57611	709.46002	 22.20	
  5.096	 -9.576	 25.42008	 14.52545	  6.71153	  9.71370	 10.89696	  0.29951	 25.57552	709.37000	 22.20	
  5.089	-28.397	 25.40959	 13.97701	  7.15206	  8.49400	 12.16086	  0.27018	 25.56098	709.50000	 22.20	
  5.094	-47.331	 25.43025	 13.02944	  7.96044	  7.49533	 13.30442	  0.20219	 25.58004	709.40997	 22.20	
  5.104	-66.290	 25.42325	 11.78174	  9.04942	  6.81924	 14.08121	  0.16041	 25.56708	709.37000	 22.30	
  5.093	-85.207	 25.42661	 10.48613	 10.32169	  6.52807	 14.38693	  0.11669	 25.56526	709.50000	 22.30	
  5.105	-104.191	 25.41081	  9.17510	 11.67018	  6.63448	 14.22190	  0.08254	 25.55670	709.38000	 22.30	
  5.095	-123.033	 25.39815	  8.00344	 12.94390	  7.14869	 13.58354	  0.08528	 25.56448	709.42999	 22.30	
  5.109	-142.013	 25.40330	  7.03422	 14.00995	  7.98767	 12.58864	  0.04820	 25.57195	709.35999	 22.30	
  5.099	-161.165	 25.38797	  6.47268	 14.67666	  9.17529	 11.31504	  0.09409	 25.57209	709.41998	 22.30	
  5.100	180.000	 25.37824	  6.30977	 14.89401	 10.52587	  9.99841	  0.06107	 25.57901	709.39001	 22.30	
  6.800	180.000	 25.14027	  4.86350	 16.14202	 10.27928	  9.70346	 -0.13377	 25.56201	709.41998	 22.30	
  6.796	-166.229	 25.17039	  4.97574	 15.99079	  9.01530	 11.02922	 -0.09109	 25.57972	709.40997	 22.30	
  6.808	-152.311	 25.16745	  5.35515	 15.49435	  7.76998	 12.29698	 -0.09939	 25.57291	709.34998	 22.40	
  6.795	-138.383	 25.18694	  6.01306	 14.70634	  6.76054	 13.47978	 -0.13220	 25.57024	709.34003	 22.40	
  6.792	-124.591	 25.19571	  6.93156	 13.65222	  5.96229	 14.47108	 -0.10062	 25.56748	709.40997	 22.40	
  6.787	-110.754	 25.20747	  8.05197	 12.41005	  5.37196	 15.22329	 -0.10672	 25.57625	709.53003	 22.40	
  6.800	-96.985	 25.19762	  9.25622	 11.11323	  5.06061	 15.65243	 -0.09013	 25.56346	709.52002	 22.40	
