FileType=PCF
NHL=14
Date=05/29/19	11:21:39
Facility=APL
Serial=16071-13
Customer=NASA
NP=6
Mach=0.550000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	160.97621	 68.71136	 81.75343	 74.33589	 73.59573	  6.13651	160.84514	702.60999	 38.90	
  1.691	128.401	160.91254	 63.80902	 86.27466	 80.22618	 67.19087	  6.01332	160.86900	702.56000	 38.90	
  1.692	 77.194	160.99965	 70.55393	 79.78807	 82.19151	 65.71736	  6.06765	160.87737	702.64001	 39.00	
  1.699	 26.182	161.03093	 76.18487	 74.58580	 78.19930	 69.89204	  6.05038	160.89655	702.62000	 39.00	
  1.699	-26.182	161.03114	 76.19284	 74.58169	 71.06114	 76.97587	  5.99442	160.89935	702.65002	 39.00	
  1.692	-77.194	161.00302	 70.23315	 79.84631	 66.62452	 81.23579	  5.97131	160.88834	702.57001	 39.00	
  1.691	-128.401	160.99907	 63.47538	 86.39606	 67.80010	 79.65282	  5.95487	160.94785	702.57001	 39.10	
  1.700	180.000	160.96338	 60.85612	 89.30607	 73.80892	 73.28465	  5.96298	160.97174	702.48999	 39.10	
  3.400	180.000	160.39868	 52.74044	 96.92698	 72.82074	 72.59123	  5.39280	160.92548	702.57001	 39.10	
  3.388	-152.325	160.57607	 54.54179	 95.07063	 65.73222	 80.21257	  5.45201	161.01404	702.57001	 39.10	
  3.397	-124.529	160.70856	 58.96745	 89.81866	 60.60965	 86.23075	  5.51331	161.04147	702.59998	 39.20	
  3.399	-96.763	160.82381	 66.03146	 82.75472	 58.24984	 88.99442	  5.52253	160.99850	702.59998	 39.30	
  3.394	-69.283	160.99643	 73.73981	 75.53286	 59.46812	 88.24327	  5.54276	161.02303	702.58002	 39.40	
  3.400	-41.398	161.03693	 80.75574	 69.40686	 63.90897	 83.71503	  5.50731	160.98473	702.54999	 39.50	
  3.401	-14.021	161.09233	 84.56523	 66.13251	 70.68290	 76.88476	  5.53696	161.03362	702.69000	 39.60	
  3.401	 14.021	161.13701	 84.53357	 66.17229	 78.71538	 68.97784	  5.64131	161.05925	702.71997	 39.70	
  3.400	 41.398	161.06099	 80.74677	 69.43341	 85.30129	 62.50578	  5.72839	161.05856	702.64001	 39.80	
  3.394	 69.283	160.99051	 74.07823	 75.49122	 89.35494	 58.30928	  5.75184	161.08136	702.54999	 39.80	
  3.399	 96.763	160.85930	 66.36075	 82.78728	 89.91331	 57.51159	  5.69846	161.08908	702.54999	 39.80	
  3.397	124.529	160.73793	 59.54726	 89.82342	 86.71043	 60.09063	  5.59714	161.13026	702.53998	 39.80	
  3.388	152.325	160.70319	 54.74826	 95.11433	 80.56786	 65.58839	  5.51929	161.20955	702.65002	 39.80	
  5.099	161.165	159.59058	 45.74571	102.51797	 79.61286	 64.35998	  4.74620	161.12631	702.54999	 39.80	
  5.109	142.013	159.71828	 49.45600	 98.88647	 86.94364	 57.78684	  4.83894	161.17740	702.62000	 39.80	
  5.095	123.033	159.90117	 54.93132	 92.84627	 92.66005	 53.00571	  5.01858	161.14845	702.52002	 39.80	
  5.105	104.191	160.12051	 61.77258	 85.79987	 96.50710	 49.98663	  5.11197	161.17963	702.53998	 39.90	
  5.093	 85.207	160.26880	 69.35799	 78.11708	 97.53989	 49.31124	  5.18695	161.14709	702.58002	 39.90	
  5.104	 66.290	160.48643	 77.42063	 70.71819	 95.98194	 51.03984	  5.21590	161.17798	702.60999	 40.00	
  5.094	 47.331	160.67412	 84.38432	 64.58759	 91.85433	 55.19067	  5.21100	161.17801	702.71997	 40.00	
  5.089	 28.397	160.82060	 89.63465	 60.23989	 85.80891	 61.08440	  5.17372	161.20503	702.59998	 40.00	
  5.096	  9.576	160.92326	 92.43061	 57.93142	 78.36809	 68.27353	  5.05053	161.20764	702.59003	 40.10	
  5.096	 -9.576	160.93626	 92.47471	 57.88265	 70.22144	 76.41185	  5.00209	161.19821	702.60999	 40.10	
  5.089	-28.397	160.89743	 89.61338	 60.19595	 62.84503	 83.91260	  4.96481	161.21666	702.52002	 40.20	
  5.094	-47.331	160.78572	 84.40099	 64.64326	 56.62450	 90.24928	  4.95283	161.19263	702.62000	 40.30	
  5.104	-66.290	160.64317	 77.51180	 70.85305	 52.20871	 94.71294	  4.99609	161.22078	702.62000	 40.30	
  5.093	-85.207	160.52477	 69.13084	 78.30447	 50.24028	 96.75089	  4.95986	161.31651	702.59003	 40.40	
  5.105	-104.191	160.22025	 61.30381	 85.92228	 50.62586	 95.89133	  4.93138	161.23579	702.59003	 40.40	
  5.095	-123.033	160.08669	 54.83133	 93.02134	 53.39735	 92.32059	  4.90356	161.27925	702.59003	 40.40	
  5.109	-142.013	159.92574	 49.43988	 99.00899	 57.97906	 86.80672	  4.80604	161.26634	702.54999	 40.40	
  5.099	-161.165	159.79150	 45.60965	102.62501	 64.54971	 79.65576	  4.74989	161.29301	702.66998	 40.40	
  5.100	180.000	159.77357	 44.64718	103.87061	 71.92496	 71.89249	  4.71280	161.28171	702.57001	 40.40	
  6.800	180.000	158.23283	 36.19462	110.57647	 70.46387	 70.52092	  4.08424	161.31641	702.60999	 40.40	
  6.796	-166.229	158.35001	 36.66032	109.70453	 63.25814	 78.16973	  4.19711	161.35294	702.59998	 40.30	
  6.808	-152.311	158.39604	 38.89264	106.90871	 56.62959	 85.58755	  4.25507	161.30359	702.58002	 40.30	
  6.795	-138.383	158.55098	 43.41287	102.51094	 50.98800	 91.96741	  4.29935	161.31810	702.60999	 40.30	
  6.792	-124.591	158.72456	 49.31956	 96.94819	 46.43813	 97.36469	  4.34687	161.31615	702.57001	 40.40	
  6.787	-110.754	158.99248	 55.79433	 89.94906	 43.55221	101.45670	  4.45525	161.36922	702.53003	 40.40	
  6.800	-96.985	159.20117	 62.59776	 82.70266	 42.00921	103.60188	  4.49392	161.35120	702.62000	 40.40	
  6.800	-83.015	159.46873	 70.10107	 75.17159	 42.21965	103.79744	  4.47723	161.38432	702.58002	 40.40	
  6.787	-69.246	159.71251	 78.33602	 68.15665	 43.93711	102.04023	  4.53914	161.39044	702.65997	 40.40	
  6.792	-55.409	159.95544	 85.41657	 61.82679	 47.46094	 98.37997	  4.54052	161.45033	702.60999	 40.40	
  6.795	-41.617	160.09946	 91.58626	 56.58481	 52.51289	 92.94426	  4.53423	161.41423	702.50000	 40.50	
  6.808	-27.689	160.24236	 96.41570	 52.61937	 58.90428	 86.45941	  4.54550	161.42165	702.67999	 40.50	
  6.796	-13.771	160.24666	 99.25623	 50.09735	 65.97177	 79.09697	  4.54555	161.39700	702.67999	 40.60	
  6.800	  0.000	160.28217	100.24255	 49.26405	 73.69962	 71.18001	  4.52793	161.42802	702.60999	 40.60	
  6.796	 13.771	160.24483	 99.15997	 50.16326	 81.43124	 63.69323	  4.57349	161.43547	702.53998	 40.70	
  6.808	 27.689	160.06419	 96.25271	 52.61910	 88.67497	 56.76332	  4.64193	161.38524	702.57001	 40.60	
  6.795	 41.617	159.99774	 91.42652	 56.70174	 95.13323	 50.90444	  4.64319	161.47327	702.60999	 40.70	
  6.792	 55.409	159.80974	 85.17329	 61.94832	 99.75976	 46.24897	  4.60883	161.46259	702.62000	 40.70	
  6.787	 69.246	159.61943	 78.11095	 68.21001	103.07762	 42.96930	  4.60337	161.44724	702.52002	 40.70	
  6.800	 83.015	159.40965	 70.15382	 75.21574	104.60837	 41.43323	  4.59465	161.44916	702.62000	 40.70	
  6.800	 96.985	159.15094	 62.60780	 82.76323	104.21317	 41.46161	  4.52210	161.44608	702.51001	 40.70	
  6.787	110.754	159.00229	 55.58760	 90.10023	101.91801	 43.14635	  4.52618	161.48059	702.50000	 40.70	
  6.792	124.591	158.76758	 49.06950	 97.02037	 97.97860	 46.31995	  4.42687	161.47919	702.50000	 40.70	
  6.795	138.383	158.58841	 43.86425	102.61074	 92.25127	 50.75751	  4.26746	161.46858	702.44000	 40.70	
  6.808	152.311	158.52678	 39.67661	107.06422	 85.67503	 56.48856	  4.20222	161.54202	702.54999	 40.80	
  6.796	166.229	158.45029	 37.14528	109.75316	 78.20285	 63.34307	  4.13632	161.51253	702.53003	 40.90	
  8.491	168.704	156.45828	 28.62171	116.53728	 76.48582	 61.45391	  3.89067	161.54358	702.58002	 40.90	
  8.502	157.493	156.49561	 30.50337	114.16283	 84.08332	 54.49959	  3.90747	161.49696	702.57001	 41.00	
  8.494	146.194	156.62212	 33.80298	110.27143	 91.24619	 48.29741	  4.02355	161.53201	702.44000	 41.10	
  8.495	135.039	156.76233	 38.27720	105.26079	 97.93097	 43.05070	  4.08019	161.50674	702.42999	 41.20	
  8.487	123.723	156.93350	 43.98014	 99.39594	103.22155	 38.75203	  4.14554	161.47583	702.56000	 41.20	
  8.492	112.575	157.19398	 50.26664	 92.47280	107.47477	 35.61150	  4.12969	161.55742	702.57001	 41.20	
  8.510	101.220	157.38194	 57.52442	 84.95223	110.30071	 33.61064	  4.07644	161.53616	702.56000	 41.20	
  8.500	 90.000	157.73076	 65.15716	 77.34632	111.34653	 33.08835	  4.05405	161.59489	702.66998	 41.30	
  8.510	 78.780	157.88574	 72.91914	 70.06354	111.01991	 33.69351	  4.14934	161.54703	702.56000	 41.30	
  8.492	 67.425	158.15709	 80.77360	 63.13902	109.03065	 35.80074	  4.17714	161.58330	702.46002	 41.30	
  8.487	 56.277	158.38155	 87.95095	 56.98571	105.42639	 39.18994	  4.22371	161.56233	702.53998	 41.30	
  8.495	 44.961	158.55261	 94.62112	 51.53007	100.57742	 43.46062	  4.28835	161.54796	702.59003	 41.30	
  8.494	 33.806	158.71504	 99.78374	 47.04678	 94.95361	 48.94719	  4.33839	161.55403	702.57001	 41.30	
  8.502	 22.507	158.90273	103.88973	 43.73714	 88.00259	 55.31872	  4.42962	161.58496	702.46002	 41.30	
  8.491	 11.296	159.00262	106.40303	 41.58164	 80.54224	 62.35497	  4.39191	161.59079	702.60999	 41.30	
  8.500	  0.000	159.07411	107.44122	 40.87251	 72.49868	 70.02495	  4.39482	161.61801	702.51001	 41.30	
  8.491	-11.296	159.10869	106.50784	 41.56572	 64.79457	 78.07537	  4.48536	161.62451	702.40997	 41.30	
  8.502	-22.507	159.04288	104.32333	 43.64815	 57.58910	 85.54336	  4.48731	161.65535	702.53998	 41.30	
  8.494	-33.806	158.96004	100.31549	 47.02243	 50.93808	 92.54745	  4.45191	161.63528	702.46002	 41.30	
  8.495	-44.961	158.85886	 94.92015	 51.51452	 45.08579	 99.04288	  4.42807	161.66399	702.46002	 41.30	
  8.487	-56.277	158.65454	 88.43721	 56.85410	 40.27289	104.28807	  4.41596	161.67928	702.56000	 41.30	
  8.492	-67.425	158.42325	 81.27179	 63.07308	 36.83017	108.02235	  4.41071	161.64194	702.53003	 41.40	
  8.510	-78.780	158.12793	 72.83517	 70.10206	 34.65738	110.29139	  4.39136	161.61404	702.54999	 41.40	
  8.500	-90.000	157.92546	 65.14723	 77.41448	 33.86242	110.96932	  4.37561	161.66454	702.46002	 41.40	
  8.510	-101.220	157.63393	 57.93391	 84.98784	 34.21180	109.94796	  4.32988	161.60866	702.54999	 41.40	
  8.492	-112.575	157.41791	 50.85578	 92.37657	 35.95069	107.27343	  4.26327	161.62619	702.51001	 41.40	
  8.487	-123.723	157.23264	 44.23517	 99.59763	 39.09822	103.10056	  4.20605	161.63068	702.44000	 41.40	
  8.495	-135.039	157.01593	 37.62370	105.33673	 43.33133	 97.62901	  4.08082	161.62381	702.47998	 41.50	
  8.494	-146.194	156.86606	 33.14630	110.37405	 48.57695	 91.35350	  4.04890	161.64726	702.54999	 41.50	
  8.502	-157.493	156.73453	 29.85835	114.21169	 54.78428	 84.38004	  3.99731	161.65926	702.45001	 41.50	
  8.491	-168.704	156.65134	 28.15530	116.64056	 61.65704	 76.61753	  3.95325	161.68327	702.40997	 41.40	
  8.500	180.000	156.57205	 27.86614	117.50751	 68.96754	 68.90045	  3.88589	161.68184	702.50000	 41.40	
 10.200	180.000	153.99016	 19.20184	123.83244	 66.81043	 66.74999	  4.03472	161.66211	702.52002	 41.40	
 10.191	-170.497	154.05617	 19.02837	123.09193	 59.37695	 74.55389	  4.02000	161.66183	702.39001	 41.40	
 10.210	-161.034	154.15671	 20.46781	120.93166	 52.38589	 82.56956	  4.08152	161.69734	702.45001	 41.40	
 10.194	-151.526	154.33080	 23.17807	117.60886	 46.02295	 89.98267	  4.13293	161.72295	702.52002	 41.40	
 10.190	-142.105	154.53856	 27.17113	113.09692	 40.21008	 96.80297	  4.14362	161.77550	702.59998	 41.40	
 10.215	-132.646	154.71129	 32.03176	107.55455	 35.29314	103.11159	  4.21952	161.73071	702.53998	 41.50	
 10.203	-123.092	154.95865	 38.68473	101.56958	 31.26641	108.42485	  4.40188	161.70694	702.65002	 41.50	
 10.192	-113.678	155.18468	 45.40753	 94.25774	 28.17043	112.64900	  4.41606	161.69981	702.48999	 41.50	
 10.208	-104.249	155.38908	 52.48656	 86.88233	 26.10254	115.67273	  4.48451	161.68793	702.63000	 41.50	
 10.210	-94.801	155.65419	 60.09276	 79.30548	 25.37939	117.25346	  4.53807	161.70314	702.53003	 41.50	
 10.210	-85.199	155.93236	 67.69684	 71.70598	 25.74453	117.50398	  4.56035	161.69713	702.53998	 41.50	
 10.208	-75.751	156.22134	 75.64196	 64.49071	 27.13815	116.22949	  4.58131	161.70837	702.50000	 41.50	
 10.192	-66.322	156.47830	 83.53016	 57.82056	 29.40401	113.63920	  4.53617	161.74185	702.46997	 41.50	
 10.203	-56.908	156.71075	 90.81261	 51.72290	 32.90706	109.74006	  4.55139	161.71066	702.46997	 41.50	
 10.215	-47.354	156.89227	 97.66495	 46.10015	 37.39004	104.68429	  4.58712	161.71310	702.46002	 41.50	
 10.190	-37.895	157.07222	103.31034	 41.50480	 42.94286	 98.34914	  4.59756	161.69228	702.41998	 41.50	
 10.194	-28.474	157.24409	107.98450	 37.85096	 49.33358	 91.44535	  4.57969	161.72987	702.41998	 41.50	
 10.210	-18.966	157.26700	111.35348	 34.94530	 56.09423	 84.19044	  4.61841	161.67609	702.46002	 41.50	
 10.191	 -9.503	157.37712	113.53467	 33.50409	 63.54689	 76.30984	  4.65330	161.71103	702.54999	 41.40	
 10.200	  0.000	157.33566	114.25714	 33.07848	 71.28067	 68.37843	  4.59844	161.70903	702.47998	 41.40	
 10.191	  9.503	157.22040	113.21102	 33.45713	 79.29134	 60.79216	  4.50618	161.66516	702.39001	 41.50	
 10.210	 18.966	157.11876	111.07057	 34.96229	 86.93596	 53.39418	  4.51206	161.70973	702.46997	 41.50	
 10.194	 28.474	156.97435	107.48131	 37.89107	 94.11064	 46.70129	  4.46942	161.68892	702.46997	 41.50	
 10.190	 37.895	156.85370	102.80894	 41.58155	100.50166	 40.79958	  4.39893	161.72310	702.51001	 41.50	
 10.215	 47.354	156.66991	 97.37433	 46.08244	106.32660	 35.52404	  4.38893	161.75407	702.50000	 41.60	
 10.203	 56.908	156.46574	 90.22435	 51.77335	111.21631	 31.30766	  4.22664	161.74901	702.57001	 41.70	
 10.192	 66.322	156.25635	 82.94147	 57.97528	114.82542	 28.21529	  4.14179	161.75769	702.53998	 41.80	
 10.208	 75.751	156.04390	 75.18216	 64.75423	117.35574	 26.06046	  4.08232	161.76123	702.57001	 41.80	
 10.210	 85.199	155.81227	 67.38308	 71.94625	118.28083	 24.97498	  4.01839	161.79538	702.44000	 41.80	
 10.210	 94.801	155.54251	 59.55238	 79.43685	117.93793	 24.60762	  3.95012	161.79562	702.48999	 41.80	
 10.208	104.249	155.26349	 51.95294	 87.12884	116.18334	 25.60352	  3.97717	161.78719	702.39001	 41.80	
 10.192	113.678	155.06198	 44.89618	 94.52417	112.92077	 27.87285	  4.06500	161.81870	702.50000	 41.80	
 10.203	123.092	154.80188	 38.42894	101.61954	108.63692	 30.95208	  4.15554	161.80136	702.46997	 41.80	
 10.215	132.646	154.48778	 32.62649	107.77127	103.16711	 34.88913	  4.17767	161.77028	702.48999	 41.90	
 10.190	142.105	154.34360	 27.94435	113.23222	 96.82168	 39.97297	  4.19051	161.75568	702.53998	 42.00	
 10.194	151.526	154.24892	 24.30219	117.75973	 89.74207	 45.84702	  4.11792	161.80122	702.39001	 42.00	
 10.210	161.034	154.15611	 21.67451	121.01122	 82.31119	 52.26822	  4.06817	161.78059	702.39001	 42.00	
