FileType=PCF
NHL=14
Date=05/30/19	16:48:50
Facility=APL
Serial=16071-13
Customer=NASA
NP=6
Mach=0.380000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 73.65894	 29.92332	 34.08942	 32.96658	 29.91581	  1.77889	 73.49591	700.47998	 41.80	
  1.691	128.401	 73.57941	 27.24977	 36.47448	 36.03441	 26.72020	  1.63393	 73.48603	700.59003	 41.90	
  1.692	 77.194	 73.64834	 30.59622	 33.02140	 37.05690	 25.93374	  1.73597	 73.53087	700.46997	 42.00	
  1.699	 26.182	 73.66609	 33.50800	 30.32672	 34.97173	 28.04663	  1.80965	 73.49892	700.52002	 42.00	
  1.699	-26.182	 73.70361	 33.64425	 30.36393	 31.20802	 31.63096	  1.81815	 73.53979	700.47998	 42.10	
  1.692	-77.194	 73.67329	 30.82722	 33.11709	 28.97864	 34.03829	  1.77060	 73.53505	700.57001	 42.10	
  1.691	-128.401	 73.69130	 27.44463	 36.58687	 29.63014	 33.10022	  1.67240	 73.50881	700.47998	 42.20	
  1.700	180.000	 73.64288	 25.84651	 38.15954	 32.69617	 29.84984	  1.64976	 73.54117	700.54999	 42.20	
  3.400	180.000	 73.46103	 21.75588	 41.84738	 32.21669	 29.57242	  1.37693	 73.59622	700.53003	 42.30	
  3.388	-152.325	 73.51537	 22.73400	 40.92546	 28.60259	 33.45028	  1.43494	 73.53616	700.56000	 42.30	
  3.397	-124.529	 73.55586	 25.21251	 38.44463	 25.95453	 36.62182	  1.54365	 73.52821	700.53998	 42.30	
  3.399	-96.763	 73.65410	 28.79455	 34.77270	 24.76633	 38.18570	  1.61767	 73.56440	700.59998	 42.40	
  3.394	-69.283	 73.75011	 32.72591	 30.91322	 25.34990	 37.72976	  1.67534	 73.61275	700.59003	 42.40	
  3.400	-41.398	 73.74706	 36.05924	 27.78736	 27.71876	 35.26250	  1.71644	 73.62833	700.59003	 42.50	
  3.401	-14.021	 73.72393	 37.82623	 26.07351	 31.01502	 31.52420	  1.76437	 73.58345	700.56000	 42.50	
