FileType=PCF
NHL=14
Date=03/12/19	14:49:56
Facility=APL
Serial=16071-1
Customer=NASA
NP=6
Mach=0.080000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  6.800	-83.015	  3.12093	  1.31636	  1.28463	  0.68106	  1.97304	 -0.00066	  3.16457	711.70001	 23.20	
  6.787	-69.246	  3.12733	  1.47846	  1.13526	  0.71212	  1.94080	  0.00156	  3.16812	711.65997	 23.20	
  6.792	-55.409	  3.12719	  1.62933	  1.00046	  0.77156	  1.86616	  0.00550	  3.16581	710.91998	 23.20	
  6.795	-41.617	  3.13176	  1.76432	  0.89132	  0.86382	  1.75961	  0.01034	  3.16857	711.65997	 23.20	
  6.808	-27.689	  3.13234	  1.86872	  0.80895	  0.98173	  1.62219	  0.01496	  3.16574	711.69000	 23.30	
  6.796	-13.771	  3.13418	  1.93587	  0.76010	  1.12289	  1.46840	  0.02315	  3.16518	711.63000	 23.20	
  6.800	  0.000	  3.13611	  1.96456	  0.73955	  1.27347	  1.31150	  0.02804	  3.16564	711.72998	 23.20	
  6.796	 13.771	  3.13618	  1.95051	  0.74468	  1.42946	  1.15660	  0.03104	  3.16609	711.70001	 23.30	
  6.808	 27.689	  3.13525	  1.89343	  0.78249	  1.58898	  1.00785	  0.03519	  3.16283	711.67999	 23.30	
  6.795	 41.617	  3.13364	  1.79937	  0.85234	  1.73602	  0.88031	  0.03630	  3.16436	711.71997	 23.30	
  6.792	 55.409	  3.13351	  1.67415	  0.95444	  1.85393	  0.78167	  0.03299	  3.16371	711.79999	 23.30	
  6.787	 69.246	  3.13042	  1.52466	  1.08396	  1.94051	  0.71096	  0.03072	  3.16294	711.76001	 23.30	
  6.800	 83.015	  3.13024	  1.36724	  1.22943	  1.99191	  0.66676	  0.02555	  3.16600	711.78003	 23.30	
