FileType=PCF
NHL=14
Date=03/12/19	10:24:02
Facility=APL
Serial=16071-11
Customer=NASA
NP=6
Mach=0.380000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 66.57729	 29.28218	 28.76211	 29.47565	 27.44139	  1.21935	 66.42723	711.95001	 39.40	
  1.691	128.401	 66.53525	 26.86652	 30.85018	 32.05698	 24.49185	  1.13270	 66.41666	711.95001	 39.40	
  1.692	 77.194	 66.54733	 29.90236	 27.85436	 32.74095	 23.76940	  1.21106	 66.44299	711.92999	 39.30	
  1.699	 26.182	 66.52156	 32.34766	 25.41368	 30.92341	 25.73902	  1.27245	 66.40437	711.90002	 39.30	
  1.699	-26.182	 66.54008	 32.39727	 25.44677	 27.80924	 28.99067	  1.23200	 66.40332	711.98999	 39.20	
  1.692	-77.194	 66.51515	 30.01009	 27.90198	 25.85044	 30.97657	  1.14052	 66.37523	711.90002	 39.20	
  1.691	-128.401	 66.50082	 26.96791	 30.87137	 26.51760	 30.18927	  1.08460	 66.36226	712.03003	 39.20	
  1.700	180.000	 66.50609	 25.49301	 32.20682	 29.29938	 27.30209	  1.06404	 66.37754	711.92999	 39.10	
  3.400	180.000	 66.39975	 21.49363	 35.62520	 28.94935	 26.98378	  0.82953	 66.36537	711.96997	 39.10	
  3.388	-152.325	 66.44286	 22.43815	 34.80502	 25.61799	 30.44984	  0.83795	 66.38205	711.97998	 39.10	
  3.397	-124.529	 66.46619	 24.83569	 32.48412	 23.02452	 33.12841	  0.85023	 66.38080	711.91998	 39.10	
  3.399	-96.763	 66.46035	 28.14820	 29.26382	 21.85112	 34.30174	  0.93686	 66.36076	712.00000	 39.00	
  3.394	-69.283	 66.44775	 31.54794	 25.83912	 22.32101	 33.94353	  0.98428	 66.37032	711.98999	 39.00	
  3.400	-41.398	 66.41093	 34.22760	 22.94472	 24.30050	 31.97296	  1.08190	 66.36760	712.03003	 38.90	
  3.401	-14.021	 66.36510	 35.79008	 21.34336	 27.34236	 28.80387	  1.15131	 66.33945	711.97998	 38.90	
  3.401	 14.021	 66.32153	 35.69875	 21.27938	 30.79273	 25.18272	  1.18736	 66.35103	711.96002	 38.90	
  3.400	 41.398	 66.29582	 34.13620	 22.85336	 33.63929	 22.03240	  1.16958	 66.35196	712.02002	 38.90	
  3.394	 69.283	 66.26678	 31.25587	 25.73349	 35.70764	 19.95923	  1.10652	 66.35719	711.95001	 38.80	
  3.399	 96.763	 66.26794	 27.80050	 29.15259	 36.06799	 19.57946	  1.02227	 66.34541	711.85999	 38.80	
  3.397	124.529	 66.24507	 24.52850	 32.34987	 34.71162	 20.84120	  0.93188	 66.29480	711.92999	 38.80	
  3.388	152.325	 66.34065	 22.25327	 34.71472	 32.18900	 23.53780	  0.84684	 66.35258	712.01001	 38.70	
  5.099	161.165	 65.99551	 17.93090	 38.33094	 31.73485	 22.85467	  0.48063	 66.32838	712.02002	 38.70	
  5.109	142.013	 65.91483	 19.41494	 36.49081	 34.96814	 19.51713	  0.52724	 66.31250	711.97998	 38.70	
  5.095	123.033	 65.89581	 22.08477	 33.78244	 37.59414	 17.26405	  0.61975	 66.34840	711.96997	 38.60	
  5.105	104.191	 65.81219	 25.36696	 30.49628	 39.19183	 15.91212	  0.68818	 66.30829	711.90002	 38.60	
  5.093	 85.207	 65.76540	 28.97374	 26.93037	 39.54128	 15.71222	  0.79064	 66.29938	712.01001	 38.60	
  5.104	 66.290	 65.76231	 32.50156	 23.46817	 38.60894	 16.45534	  0.88003	 66.30197	711.96997	 38.60	
  5.094	 47.331	 65.81176	 35.46129	 20.55809	 36.55103	 18.33121	  0.94162	 66.32726	711.98999	 38.50	
  5.089	 28.397	 65.85606	 37.70702	 18.63376	 33.64437	 21.11940	  0.98276	 66.32066	712.01001	 38.50	
  5.096	  9.576	 65.87952	 39.02130	 17.56968	 30.39063	 24.62454	  0.98425	 66.29510	712.06000	 38.40	
  5.096	 -9.576	 65.94048	 39.13099	 17.61144	 26.85206	 28.31423	  0.95749	 66.30695	712.03003	 38.40	
  5.089	-28.397	 65.99862	 37.88423	 18.69064	 23.46564	 31.80688	  0.88305	 66.29321	712.06000	 38.40	
  5.094	-47.331	 66.03829	 35.72841	 20.64494	 20.58007	 34.68065	  0.78593	 66.27170	712.04999	 38.40	
  5.104	-66.290	 66.08387	 32.89641	 23.55208	 18.74845	 36.67065	  0.71653	 66.28379	712.09998	 38.40	
  5.093	-85.207	 66.12661	 29.49790	 27.05141	 17.99461	 37.55991	  0.63052	 66.27998	712.03003	 38.30	
  5.105	-104.191	 66.15360	 25.85926	 30.63269	 18.21135	 37.23824	  0.56223	 66.29691	712.01001	 38.30	
  5.095	-123.033	 66.13203	 22.47635	 33.83411	 19.43547	 35.68440	  0.52662	 66.26807	712.09998	 38.30	
  5.109	-142.013	 66.09767	 19.72347	 36.57934	 21.69436	 33.19176	  0.49155	 66.26258	712.10999	 38.30	
  5.099	-161.165	 66.03720	 18.06737	 38.34559	 24.82120	 30.08113	  0.46548	 66.23528	712.12000	 38.20	
  5.100	180.000	 66.01872	 17.46308	 38.94656	 28.33312	 26.44773	  0.45549	 66.27975	712.01001	 38.20	
  6.800	180.000	 65.48463	 13.60462	 42.19531	 27.71933	 25.72041	  0.03543	 66.26945	712.04999	 38.20	
  6.796	-166.229	 65.56850	 14.09387	 41.77669	 24.22629	 29.31316	  0.03145	 66.28089	712.06000	 38.20	
  6.808	-152.311	 65.57610	 15.27997	 40.41810	 20.94489	 32.74913	  0.04158	 66.23959	712.06000	 38.20	
  6.795	-138.383	 65.65493	 17.20497	 38.34492	 18.42920	 35.58231	  0.07742	 66.26799	712.15997	 38.10	
  6.792	-124.591	 65.67602	 19.68223	 35.59163	 16.37183	 37.95229	  0.04236	 66.25632	712.09998	 38.10	
  6.787	-110.754	 65.64901	 22.81855	 32.46020	 14.72602	 39.79424	  0.11191	 66.24020	712.07001	 38.10	
  6.800	-96.985	 65.62309	 26.24457	 29.07187	 13.94332	 40.78803	  0.17045	 66.22974	711.98999	 38.10	
  6.800	-83.015	 65.59737	 29.80233	 25.54528	 13.96310	 40.81236	  0.21288	 66.24492	712.09003	 38.10	
  6.787	-69.246	 65.56318	 33.11520	 22.19469	 14.74043	 39.86729	  0.28167	 66.25013	712.09003	 38.10	
  6.792	-55.409	 65.48508	 36.12672	 19.32707	 16.39758	 38.03904	  0.36173	 66.22253	712.02002	 38.00	
  6.795	-41.617	 65.43637	 38.73432	 16.80177	 18.52692	 35.67988	  0.42707	 66.24426	711.96997	 38.00	
  6.808	-27.689	 65.37019	 40.83827	 14.93133	 21.24333	 32.70646	  0.50831	 66.23199	712.10999	 38.00	
  6.796	-13.771	 65.30242	 42.13298	 13.80077	 24.57900	 29.28292	  0.58786	 66.23275	712.12000	 38.00	
  6.800	  0.000	 65.19212	 42.49509	 13.36364	 28.04858	 25.68953	  0.62728	 66.21748	711.96997	 38.00	
  6.796	 13.771	 65.15493	 41.91440	 13.79349	 31.49783	 22.12187	  0.64020	 66.24266	712.00000	 37.90	
  6.808	 27.689	 65.08480	 40.48556	 14.89760	 34.65210	 18.96037	  0.66024	 66.23074	712.04999	 37.90	
  6.795	 41.617	 65.04619	 38.23014	 16.73565	 37.64268	 16.21189	  0.42453	 66.23713	712.01001	 37.90	
  6.792	 55.409	 65.02295	 35.62310	 19.20342	 40.08886	 14.04819	  0.52233	 66.25838	711.98999	 37.90	
  6.787	 69.246	 64.96734	 32.50952	 22.04184	 41.77217	 12.57443	  0.43551	 66.20602	712.06000	 37.90	
  6.800	 83.015	 65.01503	 29.07666	 25.39696	 42.75704	 11.80687	  0.37850	 66.26550	712.16998	 37.90	
  6.800	 96.985	 65.02275	 25.45912	 28.94129	 42.68289	 11.80187	  0.30625	 66.23123	712.00000	 37.80	
  6.787	110.754	 65.08337	 22.05975	 32.31298	 41.65529	 12.61850	  0.23288	 66.22628	712.08002	 37.80	
  6.792	124.591	 65.18260	 19.04443	 35.47564	 39.83925	 14.07425	  0.15831	 66.27131	712.03003	 37.80	
  6.795	138.383	 65.20841	 16.69431	 38.17444	 37.38696	 16.13470	  0.12425	 66.22603	712.02002	 37.80	
