FileType=PCF
NHL=14
Date=03/12/19	09:48:32
Facility=APL
Serial=16071-11
Customer=NASA
NP=6
Mach=0.450000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 92.39463	 40.84851	 40.64534	 40.83818	 39.08318	  2.10625	 92.26093	712.50000	 21.50	
  1.691	128.401	 92.48756	 37.73317	 43.67687	 44.75353	 35.19503	  2.00875	 92.36767	712.41998	 21.70	
  1.692	 77.194	 92.54804	 41.81988	 39.54815	 45.80461	 34.28691	  2.12391	 92.45100	712.28998	 21.90	
  1.699	 26.182	 92.63710	 45.19003	 36.31890	 43.01134	 36.88892	  2.18159	 92.51851	712.34998	 22.00	
  1.699	-26.182	 92.63269	 45.26175	 36.29794	 38.78450	 41.22821	  2.09514	 92.49883	712.40997	 22.20	
  1.692	-77.194	 92.67751	 42.01741	 39.56026	 36.24844	 43.89776	  1.97924	 92.54971	712.45001	 22.30	
  1.691	-128.401	 92.73884	 37.92884	 43.80397	 37.15980	 43.01261	  1.92460	 92.60501	712.39001	 22.40	
  1.700	180.000	 92.74081	 36.01611	 46.04955	 40.81609	 39.12873	  1.92119	 92.61870	712.40997	 22.60	
  3.400	180.000	 92.69551	 30.83361	 50.64497	 40.43647	 38.62157	  1.58753	 92.72903	712.46002	 22.70	
  3.388	-152.325	 92.74572	 32.04124	 49.46943	 36.01829	 43.43767	  1.56513	 92.73325	712.47998	 22.90	
  3.397	-124.529	 92.79866	 35.18808	 46.39170	 32.55945	 47.03022	  1.57968	 92.75181	712.40997	 23.00	
  3.399	-96.763	 92.83530	 39.62306	 41.54322	 31.06149	 48.92140	  1.66151	 92.77333	712.38000	 23.10	
  3.394	-69.283	 92.85582	 44.25946	 36.99366	 31.69757	 48.29749	  1.75988	 92.80814	712.40997	 23.30	
  3.400	-41.398	 92.80904	 48.32537	 33.23231	 34.28392	 45.37617	  1.87051	 92.80820	712.42999	 23.40	
  3.401	-14.021	 92.78582	 50.76355	 31.12628	 38.40158	 41.14806	  1.98328	 92.82072	712.46002	 23.60	
  3.401	 14.021	 92.79791	 50.73727	 31.09589	 43.13815	 36.36491	  2.05546	 92.88203	712.48999	 23.70	
  3.400	 41.398	 92.77763	 48.15115	 33.17772	 47.58381	 32.25230	  2.04706	 92.89630	712.52002	 23.90	
  3.394	 69.283	 92.78081	 44.02647	 36.91691	 50.52046	 29.54149	  1.98905	 92.92452	712.54999	 24.00	
  3.399	 96.763	 92.84540	 39.41048	 41.55823	 51.12314	 29.04630	  1.89952	 92.96342	712.37000	 24.10	
  3.397	124.529	 92.89869	 35.03329	 46.38287	 49.17524	 30.83055	  1.77759	 92.99026	712.47998	 24.30	
  3.388	152.325	 92.97461	 32.03373	 49.49833	 45.45728	 34.21853	  1.65339	 93.02628	712.51001	 24.40	
  5.099	161.165	 92.56641	 26.13461	 54.61648	 45.00704	 33.25505	  1.16707	 93.05933	712.45001	 24.50	
  5.109	142.013	 92.43621	 28.28513	 51.93055	 49.61816	 28.93361	  1.22090	 92.98811	712.47998	 24.60	
  5.095	123.033	 92.41949	 31.95174	 48.29816	 53.32906	 25.78594	  1.39955	 93.05792	712.53998	 24.80	
  5.105	104.191	 92.35627	 36.28165	 43.48925	 55.53725	 23.99257	  1.49707	 93.04703	712.48999	 24.90	
