FileType=PCF
NHL=14
Date=10/22/18	17:08:28
Facility=APL
Serial=16328-17
Customer=NASA
NP=6
Mach=0.100000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  4.96023	  2.66085	  2.52376	  2.58134	  2.62986	  0.03724	  4.95630	709.43103	 25.10	
  1.691	128.401	  4.97685	  2.52117	  2.67474	  2.77260	  2.45306	  0.03669	  4.97537	709.50098	 25.10	
  1.692	 77.194	  4.97444	  2.70958	  2.47943	  2.80954	  2.40504	  0.03547	  4.97185	709.39099	 25.00	
  1.699	 26.182	  4.96980	  2.84970	  2.32153	  2.68069	  2.50226	  0.02633	  4.96734	709.44000	 25.00	
  1.699	-26.182	  4.96895	  2.85038	  2.31222	  2.45679	  2.72176	  0.02374	  4.96672	709.51501	 25.00	
  1.692	-77.194	  4.98346	  2.69971	  2.46984	  2.35979	  2.85479	  0.02293	  4.98061	709.44800	 25.00	
  1.691	-128.401	  4.97334	  2.50697	  2.65818	  2.40662	  2.79696	  0.02652	  4.97019	709.44299	 25.00	
  1.700	180.000	  4.97060	  2.42709	  2.76049	  2.58800	  2.63306	  0.03339	  4.96956	709.34302	 25.00	
  3.400	180.000	  4.96080	  2.16495	  2.98260	  2.54934	  2.60222	  0.01878	  4.96177	709.40198	 24.90	
  3.388	-152.325	  4.97038	  2.21084	  2.92749	  2.34091	  2.83240	  0.01327	  4.97221	709.43402	 24.90	
  3.397	-124.529	  4.96409	  2.34314	  2.76237	  2.15785	  3.01393	  0.00890	  4.96804	709.39899	 24.90	
  3.399	-96.763	  4.95191	  2.55060	  2.53063	  2.06874	  3.09653	  0.00473	  4.95849	709.45099	 24.90	
  3.394	-69.283	  4.95789	  2.78562	  2.30686	  2.09055	  3.06723	  0.00140	  4.96730	709.49902	 24.90	
  3.400	-41.398	  4.95395	  2.99510	  2.11437	  2.20922	  2.92017	  0.00154	  4.96636	709.42401	 24.90	
  3.401	-14.021	  4.95451	  3.11050	  2.01945	  2.41025	  2.70082	  0.00648	  4.96668	709.46100	 24.90	
  3.401	 14.021	  4.97070	  3.11974	  2.03238	  2.65310	  2.47123	  0.01212	  4.98141	709.45001	 24.90	
  3.400	 41.398	  4.96153	  3.00114	  2.13355	  2.85698	  2.27487	  0.01604	  4.96980	709.44202	 24.90	
  3.394	 69.283	  4.97064	  2.80159	  2.32731	  3.00390	  2.16249	  0.02136	  4.97431	709.49103	 24.90	
  3.399	 96.763	  4.98298	  2.57563	  2.55960	  3.04485	  2.15129	  0.02149	  4.98390	709.38800	 24.90	
  3.397	124.529	  4.97856	  2.37145	  2.77120	  2.96235	  2.22984	  0.02193	  4.97945	709.44299	 24.80	
  3.388	152.325	  4.96821	  2.22691	  2.92491	  2.78058	  2.38410	  0.02027	  4.96917	709.41498	 24.80	
  5.099	161.165	  4.94922	  1.93177	  3.18208	  2.76431	  2.33416	  0.00350	  4.96507	709.46100	 24.80	
  5.109	142.013	  4.96264	  2.03648	  3.07435	  2.99306	  2.13191	  0.00434	  4.97798	709.46899	 24.80	
  5.095	123.033	  4.95526	  2.20473	  2.87876	  3.16281	  1.97760	  0.00321	  4.97205	709.43701	 24.80	
  5.105	104.191	  4.96348	  2.42312	  2.65305	  3.26798	  1.89167	  0.00257	  4.98120	709.46899	 24.80	
  5.093	 85.207	  4.95793	  2.66327	  2.40554	  3.28552	  1.86339	  0.00385	  4.97992	709.45300	 24.80	
  5.104	 66.290	  4.95190	  2.90709	  2.16612	  3.22339	  1.89985	  0.00575	  4.97994	709.38800	 24.80	
  5.094	 47.331	  4.94506	  3.12078	  1.96743	  3.06525	  2.02479	  0.00294	  4.97476	709.46600	 24.80	
  5.089	 28.397	  4.93676	  3.27678	  1.81853	  2.85757	  2.20172	 -0.00080	  4.97073	709.48798	 24.80	
  5.096	  9.576	  4.91816	  3.35094	  1.73641	  2.61121	  2.41649	 -0.00751	  4.95655	709.50897	 24.70	
  5.096	 -9.576	  4.92478	  3.35400	  1.73066	  2.36704	  2.67171	 -0.01297	  4.96722	709.50897	 24.70	
  5.089	-28.397	  4.93116	  3.27683	  1.79576	  2.14380	  2.91371	 -0.02008	  4.97507	709.47699	 24.70	
  5.094	-47.331	  4.93698	  3.11512	  1.93844	  1.95442	  3.13131	 -0.02502	  4.98066	709.47998	 24.70	
  5.104	-66.290	  4.92407	  2.88842	  2.12965	  1.82750	  3.27066	 -0.02616	  4.96775	709.45599	 24.70	
  5.093	-85.207	  4.92926	  2.64348	  2.36920	  1.78251	  3.33836	 -0.02357	  4.96794	709.40900	 24.70	
  5.105	-104.191	  4.94416	  2.40464	  2.62651	  1.81211	  3.32865	 -0.01733	  4.97881	709.50598	 24.70	
  5.095	-123.033	  4.94871	  2.18906	  2.86278	  1.90699	  3.22873	 -0.01083	  4.97891	709.52802	 24.70	
  5.109	-142.013	  4.95362	  2.01889	  3.06225	  2.07145	  3.05162	 -0.00401	  4.97847	709.43701	 24.70	
  5.099	-161.165	  4.96026	  1.92046	  3.19147	  2.28970	  2.82586	 -0.00038	  4.98113	709.49902	 24.70	
  5.100	180.000	  4.96159	  1.89333	  3.23346	  2.53239	  2.57695	  0.00293	  4.97973	709.49597	 24.70	
  6.800	180.000	  4.92602	  1.60191	  3.47275	  2.48441	  2.53868	 -0.02356	  4.98001	709.50702	 24.70	
  6.796	-166.229	  4.91064	  1.61490	  3.42878	  2.24344	  2.77223	 -0.02588	  4.96816	709.46399	 24.70	
  6.808	-152.311	  4.91451	  1.68314	  3.34353	  2.01227	  3.02004	 -0.02705	  4.97525	709.47498	 24.70	
  6.795	-138.383	  4.90833	  1.80787	  3.18631	  1.82315	  3.22503	 -0.03359	  4.97456	709.50098	 24.70	
  6.792	-124.591	  4.90505	  1.97527	  2.99168	  1.66446	  3.39844	 -0.04144	  4.97695	709.47198	 24.70	
  6.787	-110.754	  4.90120	  2.18443	  2.75717	  1.55830	  3.51744	 -0.04625	  4.97966	709.45300	 24.70	
  6.800	-96.985	  4.88916	  2.40946	  2.51107	  1.49481	  3.57040	 -0.05448	  4.97276	709.52100	 24.70	
  6.800	-83.015	  4.87668	  2.64758	  2.25947	  1.48492	  3.56193	 -0.06405	  4.96501	709.43701	 24.70	
  6.787	-69.246	  4.88353	  2.89810	  2.02720	  1.53760	  3.50200	 -0.06643	  4.97683	709.56897	 24.70	
  6.792	-55.409	  4.88100	  3.12499	  1.81937	  1.63519	  3.37831	 -0.06092	  4.97723	709.51202	 24.70	
  6.795	-41.617	  4.87714	  3.31754	  1.64974	  1.78412	  3.19617	 -0.06062	  4.97454	709.53998	 24.70	
