FileType=PCF
NHL=14
Date=10/22/18	16:30:33
Facility=APL
Serial=16328-17
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 11.60921	  6.16320	  5.80649	  5.96263	  6.06728	  0.08492	 11.59155	709.77899	 29.70	
  1.691	128.401	 11.58519	  5.78473	  6.16069	  6.39768	  5.60057	  0.08520	 11.57127	709.82703	 29.70	
  1.692	 77.194	 11.59385	  6.27400	  5.67291	  6.50210	  5.49447	  0.08291	 11.57782	709.82703	 29.70	
  1.699	 26.182	 11.59287	  6.64848	  5.28892	  6.19725	  5.77690	  0.07637	 11.57804	709.78900	 29.70	
  1.699	-26.182	 11.60787	  6.63715	  5.30545	  5.67372	  6.31114	  0.06573	 11.59145	709.79303	 29.70	
  1.692	-77.194	 11.60715	  6.26278	  5.67156	  5.38321	  6.62693	  0.06533	 11.58987	709.78101	 29.70	
  1.691	-128.401	 11.60288	  5.78699	  6.16093	  5.49250	  6.52011	  0.07384	 11.58556	709.82501	 29.70	
  1.700	180.000	 11.61791	  5.57456	  6.40099	  5.96036	  6.07587	  0.08065	 11.59969	709.71503	 29.70	
  3.400	180.000	 11.57953	  4.96054	  6.94253	  5.89806	  6.02912	  0.05086	 11.57195	709.85400	 29.60	
  3.388	-152.325	 11.57702	  5.09662	  6.79509	  5.38079	  6.56386	  0.05482	 11.56982	709.79498	 29.60	
  3.397	-124.529	 11.57977	  5.41946	  6.41311	  4.96808	  6.98821	  0.03043	 11.57830	709.83801	 29.60	
  3.399	-96.763	 11.59266	  5.94161	  5.86707	  4.76977	  7.20902	  0.01928	 11.59984	709.84399	 29.60	
  3.394	-69.283	 11.57620	  6.48715	  5.31858	  4.81120	  7.11600	  0.01234	 11.58798	709.74902	 29.60	
  3.400	-41.398	 11.58749	  6.98135	  4.87608	  5.12178	  6.76592	  0.01227	 11.60396	709.79797	 29.60	
  3.401	-14.021	 11.57682	  7.23861	  4.64840	  5.58632	  6.24954	  0.02044	 11.59894	709.70398	 29.60	
  3.401	 14.021	 11.55396	  7.23949	  4.63559	  6.14975	  5.65999	  0.03652	 11.57031	709.75702	 29.60	
  3.400	 41.398	 11.57578	  6.98140	  4.89659	  6.65031	  5.22742	  0.04780	 11.58520	709.75800	 29.60	
  3.394	 69.283	 11.57173	  6.51446	  5.33106	  6.97388	  4.94484	  0.05471	 11.57212	709.74597	 29.60	
  3.399	 96.763	 11.57848	  5.94281	  5.90163	  7.06223	  4.88862	  0.05407	 11.57162	709.76898	 29.60	
  3.397	124.529	 11.60554	  5.47113	  6.42724	  6.87740	  5.10101	  0.05570	 11.59488	709.68500	 29.60	
  3.388	152.325	 11.59075	  5.10286	  6.81494	  6.45454	  5.49206	  0.06215	 11.57939	709.81403	 29.60	
  5.099	161.165	 11.56058	  4.41794	  7.41771	  6.41443	  5.38428	  0.00992	 11.58871	709.71899	 29.60	
  5.109	142.013	 11.55922	  4.66744	  7.12790	  6.95026	  4.87914	  0.01303	 11.58765	709.76898	 29.60	
  5.095	123.033	 11.55466	  5.07129	  6.66639	  7.35293	  4.51937	  0.01218	 11.58238	709.80103	 29.60	
  5.105	104.191	 11.55212	  5.58040	  6.11896	  7.60600	  4.28840	  0.01081	 11.58846	709.78699	 29.60	
  5.093	 85.207	 11.55241	  6.16069	  5.54718	  7.64416	  4.23262	  0.01207	 11.59561	709.78900	 29.60	
  5.104	 66.290	 11.54448	  6.74170	  4.99167	  7.48023	  4.34937	  0.01571	 11.60014	709.77698	 29.50	
  5.094	 47.331	 11.52552	  7.24454	  4.50460	  7.12254	  4.63409	  0.01249	 11.59129	709.72498	 29.50	
  5.089	 28.397	 11.53367	  7.63339	  4.16899	  6.63226	  5.07286	  0.00109	 11.60831	709.75000	 29.50	
  5.096	  9.576	 11.49373	  7.80718	  3.97381	  6.05843	  5.58445	 -0.01391	 11.57777	709.79797	 29.50	
  5.096	 -9.576	 11.49301	  7.80099	  3.96588	  5.46803	  6.18121	 -0.02611	 11.58394	709.73102	 29.50	
  5.089	-28.397	 11.49762	  7.60477	  4.13222	  4.94283	  6.74163	 -0.04500	 11.59305	709.73901	 29.50	
