FileType=PCF
NHL=14
Date=08/31/17	11:10:07
Facility=APL
Serial=16328-11
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 11.10870	  5.75691	  6.01157	  5.69375	  5.99332	  0.07253	 11.10352	706.67798	 23.10	
  1.691	128.401	 11.10732	  5.41470	  6.35202	  6.12890	  5.53542	  0.06948	 11.10592	706.66498	 23.10	
  1.692	 77.194	 11.11226	  5.89115	  5.90008	  6.23896	  5.44115	  0.07191	 11.11282	706.79102	 23.10	
  1.699	 26.182	 11.13367	  6.27594	  5.53348	  5.94829	  5.74919	  0.06615	 11.12979	706.69202	 23.10	
  1.699	-26.182	 11.11114	  6.24185	  5.51091	  5.44085	  6.22845	  0.05788	 11.10863	706.69800	 23.10	
  1.692	-77.194	 11.09668	  5.84163	  5.85804	  5.14862	  6.50354	  0.05826	 11.09893	706.64697	 23.10	
  1.691	-128.401	 11.11993	  5.39849	  6.32674	  5.26119	  6.40593	  0.06242	 11.12073	706.55701	 23.10	
  1.700	180.000	 11.11264	  5.19254	  6.55064	  5.68792	  5.96862	  0.06802	 11.11230	706.59802	 23.10	
  3.400	180.000	 11.10674	  4.61520	  7.07411	  5.63448	  5.91974	  0.03913	 11.12221	706.47699	 23.10	
  3.388	-152.325	 11.08179	  4.71804	  6.91137	  5.11936	  6.42376	  0.03303	 11.10390	706.42902	 23.10	
  3.397	-124.529	 11.08404	  5.02944	  6.56159	  4.74041	  6.84215	  0.03476	 11.11322	706.53198	 23.10	
  3.399	-96.763	 11.09290	  5.52302	  6.04137	  4.55475	  7.05169	  0.01769	 11.12225	706.56000	 23.10	
  3.394	-69.283	 11.08969	  6.05606	  5.52653	  4.61884	  6.98874	  0.01091	 11.11412	706.45697	 23.10	
  3.400	-41.398	 11.11314	  6.53073	  5.13005	  4.91348	  6.69446	  0.01436	 11.13575	706.49298	 23.10	
  3.401	-14.021	 11.10554	  6.80110	  4.92205	  5.36151	  6.22706	  0.02946	 11.12396	706.56403	 23.10	
  3.401	 14.021	 11.10940	  6.80823	  4.94834	  5.91862	  5.66992	  0.02868	 11.11983	706.51300	 23.10	
  3.400	 41.398	 11.10392	  6.57705	  5.19396	  6.39330	  5.20977	  0.04303	 11.10962	706.60602	 23.10	
  3.394	 69.283	 11.11218	  6.14840	  5.60824	  6.71452	  4.92933	  0.04719	 11.11759	706.73297	 23.10	
  3.399	 96.763	 11.12085	  5.62216	  6.12244	  6.78843	  4.86734	  0.04885	 11.12780	706.58899	 23.10	
  3.397	124.529	 11.11211	  5.11217	  6.61213	  6.59972	  5.01649	  0.05039	 11.11641	706.53302	 23.10	
  3.388	152.325	 11.10342	  4.76039	  6.94300	  6.17655	  5.39602	  0.03866	 11.11682	706.62201	 23.10	
  5.099	161.165	 11.06789	  4.08447	  7.52063	  6.12056	  5.27977	  0.00454	 11.12774	706.58099	 23.10	
  5.109	142.013	 11.08608	  4.35071	  7.26855	  6.65421	  4.79879	  0.00316	 11.13752	706.71503	 23.10	
  5.095	123.033	 11.06782	  4.74509	  6.84344	  7.03303	  4.45941	  0.00127	 11.11732	706.63898	 23.10	
  5.105	104.191	 11.07375	  5.25598	  6.33078	  7.27253	  4.26652	 -0.00162	 11.11427	706.58398	 23.10	
  5.093	 85.207	 11.05821	  5.79058	  5.79617	  7.30273	  4.23429	  0.00018	 11.09881	706.58801	 23.10	
  5.104	 66.290	 11.07681	  6.36299	  5.27773	  7.16940	  4.37183	 -0.00070	 11.11922	706.72601	 23.10	
  5.094	 47.331	 11.07423	  6.84993	  4.82978	  6.82691	  4.67294	 -0.00343	 11.12033	706.68701	 23.10	
  5.089	 28.397	 11.05640	  7.17583	  4.50147	  6.36948	  5.07090	 -0.00733	 11.10953	706.72900	 23.10	
  5.096	  9.576	 11.06466	  7.36095	  4.31539	  5.83475	  5.58636	 -0.01693	 11.12359	706.78003	 23.10	
  5.096	 -9.576	 11.05447	  7.35337	  4.27343	  5.24385	  6.16742	 -0.02240	 11.13124	706.70099	 23.10	
  5.089	-28.397	 11.03404	  7.12832	  4.41088	  4.73288	  6.69016	 -0.02905	 11.11582	706.70203	 23.10	
  5.094	-47.331	 11.02099	  6.75107	  4.69921	  4.31119	  7.13528	 -0.04297	 11.10877	706.63702	 23.10	
  5.104	-66.290	 11.03354	  6.25882	  5.13678	  4.02028	  7.47340	 -0.04775	 11.12687	706.68500	 23.10	
  5.093	-85.207	 11.02178	  5.69638	  5.64858	  3.88497	  7.60682	 -0.04556	 11.11501	706.61401	 23.10	
  5.105	-104.191	 11.02620	  5.13322	  6.22275	  3.93052	  7.55187	 -0.03729	 11.12234	706.64203	 23.10	
  5.095	-123.033	 11.02078	  4.64184	  6.74375	  4.14930	  7.29589	 -0.02410	 11.11814	706.52899	 23.10	
  5.109	-142.013	 11.02967	  4.26208	  7.18929	  4.51035	  6.89532	 -0.01693	 11.12172	706.60498	 23.10	
  5.099	-161.165	 11.05014	  4.04421	  7.49069	  5.00791	  6.37772	 -0.00811	 11.12736	706.54303	 23.10	
  5.100	180.000	 11.04810	  3.96643	  7.60440	  5.55001	  5.81363	 -0.00425	 11.11833	706.53198	 23.10	
  6.800	180.000	 10.96325	  3.30994	  8.10750	  5.44576	  5.70452	 -0.07392	 11.12754	706.62903	 23.10	
  6.796	-166.229	 10.93466	  3.34579	  8.00711	  4.89364	  6.24694	 -0.07020	 11.11067	706.59998	 23.10	
  6.808	-152.311	 10.92679	  3.50414	  7.78927	  4.38962	  6.78033	 -0.07818	 11.12152	706.48999	 23.10	
  6.795	-138.383	 10.91689	  3.77672	  7.44729	  3.94366	  7.26660	 -0.09031	 11.11744	706.69501	 23.10	
  6.792	-124.591	 10.91724	  4.15649	  7.01105	  3.59726	  7.66306	 -0.09046	 11.12107	705.00800	 23.10	
  6.787	-110.754	 10.91552	  4.62691	  6.49996	  3.35439	  7.94562	 -0.10605	 11.13045	706.57397	 23.10	
  6.800	-96.985	 10.90016	  5.13625	  5.94994	  3.21975	  8.09024	 -0.12608	 11.11133	706.53998	 23.10	
  6.800	-83.015	 10.90948	  5.70536	  5.39333	  3.23361	  8.09497	 -0.12989	 11.11654	706.57397	 23.10	
  6.787	-69.246	 10.90745	  6.25229	  4.88609	  3.34575	  7.96535	 -0.13177	 11.10871	706.69501	 23.10	
  6.792	-55.409	 10.91954	  6.77329	  4.43401	  3.57740	  7.71246	 -0.13055	 11.11693	706.63397	 23.10	
  6.795	-41.617	 10.92670	  7.23166	  4.06289	  3.92258	  7.32991	 -0.12104	 11.12070	706.60303	 23.10	
  6.808	-27.689	 10.93988	  7.58273	  3.79730	  4.36190	  6.85901	 -0.10499	 11.12326	706.60797	 23.10	
  6.796	-13.771	 10.94712	  7.81093	  3.64993	  4.86164	  6.32905	 -0.09359	 11.12029	706.67297	 23.10	
  6.800	  0.000	 10.97858	  7.91561	  3.62073	  5.42262	  5.78848	 -0.09174	 11.13991	706.63098	 23.10	
  6.796	 13.771	 10.96788	  7.84773	  3.69713	  5.97925	  5.22302	 -0.08093	 11.12036	706.53601	 23.10	
  6.808	 27.689	 10.98975	  7.66723	  3.89381	  6.52067	  4.72995	 -0.07034	 11.12299	706.47900	 23.10	
  6.795	 41.617	 10.99527	  7.33345	  4.20000	  7.01314	  4.29109	 -0.06925	 11.12749	706.56702	 23.10	
  6.792	 55.409	 11.00016	  6.90569	  4.59358	  7.40401	  3.94972	 -0.05723	 11.12203	706.67297	 23.10	
  6.787	 69.246	 10.99259	  6.39966	  5.04933	  7.67160	  3.71150	 -0.05909	 11.10538	706.64203	 23.10	
  6.800	 83.015	 11.00353	  5.85667	  5.57056	  7.83205	  3.58088	 -0.07060	 11.12097	706.54303	 23.10	
  6.800	 96.985	 11.01329	  5.30283	  6.11648	  7.84127	  3.57685	 -0.06877	 11.12818	706.53302	 23.10	
  6.787	110.754	 11.00838	  4.77405	  6.64240	  7.69623	  3.69065	 -0.06515	 11.12134	706.55200	 23.10	
  6.792	124.591	 10.98290	  4.28365	  7.12120	  7.41253	  3.90239	 -0.07023	 11.10848	704.84399	 23.10	
  6.795	138.383	 10.99854	  3.90434	  7.54418	  7.03965	  4.24150	 -0.06320	 11.12972	706.58301	 23.10	
  6.808	152.311	 10.99769	  3.59628	  7.86535	  6.56382	  4.66301	 -0.05675	 11.14134	706.63098	 23.10	
  6.796	166.229	 10.96316	  3.39483	  8.03889	  6.01333	  5.14698	 -0.06482	 11.11746	706.67401	 23.10	
  8.491	168.704	 10.83708	  2.70129	  8.52432	  5.89435	  4.99639	 -0.14573	 11.12027	706.63098	 23.10	
  8.502	157.493	 10.85610	  2.86966	  8.37371	  6.46200	  4.46869	 -0.13684	 11.12942	706.54901	 23.10	
  8.494	146.194	 10.84586	  3.11563	  8.09687	  6.96237	  4.01167	 -0.13962	 11.10365	706.65002	 23.10	
  8.495	135.039	 10.88084	  3.46046	  7.76301	  7.45666	  3.61190	 -0.15179	 11.13508	706.62903	 23.10	
  8.487	123.723	 10.88626	  3.88575	  7.31873	  7.83487	  3.29706	 -0.16037	 11.13378	706.56897	 23.10	
  8.492	112.575	 10.87147	  4.36166	  6.81042	  8.10303	  3.06406	 -0.15874	 11.11238	706.57397	 23.10	
  8.510	101.220	 10.89237	  4.90056	  6.28356	  8.30001	  2.91810	 -0.16026	 11.13134	706.61102	 23.10	
  8.500	 90.000	 10.90290	  5.46791	  5.73568	  8.35226	  2.89103	 -0.16321	 11.13497	706.65100	 23.10	
  8.510	 78.780	 10.89314	  6.03496	  5.18066	  8.28196	  2.94732	 -0.15533	 11.13430	706.61603	 23.10	
  8.492	 67.425	 10.88720	  6.58544	  4.66583	  8.09134	  3.10634	 -0.13819	 11.12340	706.63702	 23.10	
  8.487	 56.277	 10.87472	  7.09602	  4.19442	  7.79868	  3.33659	 -0.13489	 11.11958	706.62799	 23.10	
  8.495	 44.961	 10.88310	  7.56199	  3.78385	  7.41721	  3.67959	 -0.14635	 11.13447	706.63098	 23.10	
  8.494	 33.806	 10.87960	  7.92596	  3.46029	  6.95624	  4.08908	 -0.15268	 11.14006	706.65002	 23.10	
  8.502	 22.507	 10.84566	  8.18336	  3.18511	  6.41143	  4.55856	 -0.15876	 11.11895	706.54700	 23.10	
  8.491	 11.296	 10.83410	  8.34066	  3.02901	  5.84799	  5.08402	 -0.17374	 11.11514	706.58002	 23.10	
  8.500	  0.000	 10.83677	  8.40355	  2.93988	  5.27969	  5.64792	 -0.18641	 11.13641	706.63397	 23.10	
  8.491	-11.296	 10.81397	  8.31461	  2.95952	  4.71037	  6.21477	 -0.17713	 11.12334	706.64697	 23.10	
  8.502	-22.507	 10.80562	  8.11842	  3.08683	  4.18464	  6.76752	 -0.17943	 11.12576	706.56897	 23.10	
