FileType=PCF
NHL=14
Date=03/18/19	14:48:47
Facility=APL
Serial=16071-6
Customer=NASA
NP=6
Mach=0.036000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  0.63548	  0.30151	  0.29913	  0.29639	  0.29797	  0.04637	  0.63771	710.01001	 20.90	
  1.691	128.401	  0.63436	  0.28292	  0.31621	  0.31924	  0.27382	  0.04716	  0.63572	710.20001	 20.90	
  1.692	 77.194	  0.63211	  0.30541	  0.29101	  0.32387	  0.26949	  0.04974	  0.63370	710.07001	 20.90	
  1.699	 26.182	  0.63660	  0.32670	  0.27443	  0.30776	  0.28573	  0.04756	  0.63833	710.03003	 20.90	
  1.699	-26.182	  0.63573	  0.32419	  0.27390	  0.28186	  0.30962	  0.04657	  0.63873	710.10999	 20.90	
  1.692	-77.194	  0.62996	  0.30213	  0.28939	  0.26768	  0.32174	  0.04185	  0.63444	710.09003	 20.90	
  1.691	-128.401	  0.63295	  0.28064	  0.31566	  0.27192	  0.31740	  0.04256	  0.63541	710.04999	 20.90	
  1.700	180.000	  0.63722	  0.27275	  0.32983	  0.29560	  0.29521	  0.04344	  0.63997	710.03003	 20.90	
  3.400	180.000	  0.63727	  0.23964	  0.36306	  0.29419	  0.29340	  0.04109	  0.64048	710.09998	 20.90	
  3.388	-152.325	  0.63509	  0.24731	  0.35322	  0.26547	  0.32181	  0.03931	  0.64087	710.07001	 20.90	
  3.397	-124.529	  0.63006	  0.26167	  0.33003	  0.24331	  0.34166	  0.03667	  0.63577	710.06000	 20.90	
  3.399	-96.763	  0.63869	  0.28887	  0.30532	  0.23781	  0.35642	  0.03576	  0.64414	710.03998	 20.90	
  3.394	-69.283	  0.63550	  0.31695	  0.27607	  0.24009	  0.35196	  0.03929	  0.64072	710.10999	 20.90	
  3.400	-41.398	  0.63584	  0.34304	  0.25342	  0.25336	  0.33636	  0.04114	  0.63889	710.14001	 20.90	
  3.401	-14.021	  0.63649	  0.35826	  0.24134	  0.27802	  0.30995	  0.04289	  0.63902	710.09003	 20.90	
  3.401	 14.021	  0.63312	  0.35887	  0.24048	  0.30625	  0.27999	  0.04864	  0.63468	710.08002	 20.90	
  3.400	 41.398	  0.63857	  0.34762	  0.25502	  0.33678	  0.25794	  0.05274	  0.63828	710.09998	 20.90	
  3.394	 69.283	  0.63513	  0.32173	  0.27523	  0.35604	  0.24020	  0.05189	  0.63508	710.00000	 20.90	
  3.399	 96.763	  0.63637	  0.29415	  0.30194	  0.36175	  0.23580	  0.04913	  0.63594	710.13000	 20.90	
  3.397	124.529	  0.64051	  0.26844	  0.33358	  0.35235	  0.24486	  0.04734	  0.64055	710.17999	 20.90	
  3.388	152.325	  0.63608	  0.24840	  0.35166	  0.32564	  0.26289	  0.04371	  0.63831	710.07001	 20.90	
  5.099	161.165	  0.63223	  0.21309	  0.38589	  0.32519	  0.25755	  0.04004	  0.63757	710.08002	 20.90	
  5.109	142.013	  0.63539	  0.22765	  0.37162	  0.35512	  0.23414	  0.04330	  0.63836	710.07001	 20.90	
  5.095	123.033	  0.63198	  0.24856	  0.34378	  0.37608	  0.21466	  0.04662	  0.63308	710.13000	 20.90	
  5.105	104.191	  0.63313	  0.27569	  0.31575	  0.38988	  0.20630	  0.04958	  0.63504	710.14001	 20.90	
  5.093	 85.207	  0.63869	  0.30819	  0.28662	  0.39507	  0.20519	  0.05089	  0.63940	710.10999	 20.90	
