FileType=PCF
NHL=14
Date=05/30/19	12:19:17
Facility=APL
Serial=16071-6
Customer=NASA
NP=6
Mach=0.550000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	161.80653	 76.87574	 78.55190	 73.51577	 78.36788	  6.40641	161.70091	702.03003	 41.10	
  1.691	128.401	161.85555	 72.19582	 83.37412	 79.69875	 72.16199	  6.33559	161.77011	702.14001	 41.10	
  1.692	 77.194	161.88884	 78.73685	 76.82800	 81.31061	 70.63504	  6.37005	161.79123	702.15002	 41.00	
  1.699	 26.182	161.92775	 84.17261	 71.45467	 77.02372	 74.70418	  6.33809	161.84058	702.03003	 41.00	
  1.699	-26.182	161.86209	 83.73201	 71.39078	 69.88573	 81.59969	  6.28291	161.78424	702.09998	 41.10	
  1.692	-77.194	161.86665	 78.30304	 76.59885	 65.64188	 85.96938	  6.21573	161.81967	701.98999	 41.10	
  1.691	-128.401	161.84596	 71.85380	 83.20338	 67.15571	 84.48235	  6.22991	161.83948	702.03003	 41.10	
  1.700	180.000	161.87631	 69.09922	 86.33573	 73.31988	 78.30406	  6.27694	161.85730	701.95001	 41.10	
  3.400	180.000	161.56712	 60.75417	 93.99336	 72.67937	 77.88176	  5.77691	161.91013	702.04999	 41.20	
  3.388	-152.325	161.42957	 62.45281	 91.85809	 65.38721	 85.20291	  5.75133	161.84929	702.09998	 41.20	
  3.397	-124.529	161.44522	 67.10989	 86.75699	 59.85223	 91.09241	  5.74765	161.88353	702.06000	 41.20	
  3.399	-96.763	161.52850	 73.96629	 79.65514	 57.36125	 93.83648	  5.74982	161.90179	702.50000	 41.20	
  3.394	-69.283	161.65753	 81.50260	 72.32088	 58.25825	 92.81202	  5.80379	161.90480	702.73999	 41.20	
  3.400	-41.398	161.74742	 87.99303	 66.14935	 62.45798	 88.06969	  5.80144	161.89636	702.70001	 41.20	
  3.401	-14.021	161.87991	 91.71201	 62.87015	 69.17616	 81.21348	  5.88435	161.93181	702.00000	 41.20	
  3.401	 14.021	161.96536	 92.06606	 62.88654	 77.06429	 73.64294	  5.94779	161.95721	702.07001	 41.30	
  3.400	 41.398	161.99352	 88.92094	 66.35912	 83.88001	 67.27290	  5.99553	161.96056	702.40997	 41.30	
  3.394	 69.283	162.00139	 82.84464	 72.62380	 88.40894	 63.29728	  6.06207	161.96519	702.09998	 41.30	
  3.399	 96.763	162.02701	 74.89565	 80.12028	 89.35399	 62.71939	  6.09443	162.01489	702.17999	 41.30	
  3.397	124.529	161.91136	 67.84755	 87.23230	 86.42328	 65.22416	  6.01715	162.00870	702.71002	 41.30	
  3.388	152.325	161.78525	 62.81342	 92.24653	 80.37521	 70.69319	  5.87807	161.97905	702.79999	 41.30	
  5.099	161.165	161.00211	 54.03869	100.08308	 79.67014	 69.51183	  5.17881	161.95505	702.73999	 41.30	
