FileType=PCF
NHL=14
Date=03/18/19	15:24:52
Facility=APL
Serial=16071-6
Customer=NASA
NP=6
Mach=0.080000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  3.14934	  1.42653	  1.41683	  1.37338	  1.40754	  0.07484	  3.15061	709.90002	 21.10	
  1.691	128.401	  3.14905	  1.32486	  1.48581	  1.47125	  1.27934	  0.06788	  3.14905	710.03003	 21.10	
  1.692	 77.194	  3.14817	  1.44353	  1.37093	  1.49112	  1.26867	  0.07370	  3.14795	709.97998	 21.10	
  1.699	 26.182	  3.14943	  1.54567	  1.28042	  1.40572	  1.34887	  0.07503	  3.14837	710.04999	 21.10	
  1.699	-26.182	  3.14879	  1.53472	  1.28874	  1.30126	  1.45920	  0.07257	  3.14993	710.03998	 21.10	
  1.692	-77.194	  3.14647	  1.44276	  1.36404	  1.22749	  1.52525	  0.06548	  3.14801	709.97998	 21.10	
  1.691	-128.401	  3.14464	  1.32468	  1.48495	  1.24705	  1.50058	  0.06191	  3.14613	709.91998	 21.10	
  1.700	180.000	  3.14799	  1.27359	  1.54877	  1.35327	  1.38786	  0.06194	  3.14984	709.95001	 21.10	
  3.400	180.000	  3.14081	  1.09570	  1.71232	  1.34081	  1.36035	  0.04841	  3.14922	709.96997	 21.10	
  3.388	-152.325	  3.14078	  1.12656	  1.67474	  1.19641	  1.50907	  0.04482	  3.15086	709.94000	 21.10	
  3.397	-124.529	  3.13873	  1.21235	  1.56767	  1.08906	  1.63248	  0.04397	  3.14937	709.91998	 21.10	
  3.399	-96.763	  3.13905	  1.33907	  1.42490	  1.04462	  1.69081	  0.04536	  3.15027	709.94000	 21.10	
  3.394	-69.283	  3.14040	  1.48479	  1.28263	  1.06352	  1.67421	  0.05270	  3.14861	709.96997	 21.10	
  3.400	-41.398	  3.14296	  1.61512	  1.17032	  1.13774	  1.58740	  0.05865	  3.15004	710.00000	 21.10	
  3.401	-14.021	  3.14485	  1.69563	  1.10803	  1.26040	  1.45489	  0.06540	  3.14913	709.97998	 21.10	
  3.401	 14.021	  3.14761	  1.70156	  1.10474	  1.40661	  1.31018	  0.07021	  3.14945	709.97998	 21.10	
  3.400	 41.398	  3.14948	  1.63333	  1.16464	  1.54775	  1.18678	  0.07143	  3.15133	710.03003	 21.20	
  3.394	 69.283	  3.15120	  1.50596	  1.27565	  1.64434	  1.10745	  0.06865	  3.15207	709.95001	 21.10	
  3.399	 96.763	  3.15142	  1.36043	  1.41798	  1.67142	  1.08413	  0.06535	  3.15488	709.91998	 21.20	
  3.397	124.529	  3.14600	  1.22979	  1.55883	  1.61583	  1.12237	  0.06104	  3.15026	709.97998	 21.20	
