FileType=PCF
NHL=14
Date=08/30/17	11:04:57
Facility=APL
Serial=16328-18
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 11.17739	  5.77333	  5.55968	  5.64587	  5.77030	  0.10299	 11.16222	706.37799	 24.10	
  1.691	128.401	 11.15939	  5.40677	  5.89157	  6.06584	  5.31372	  0.10533	 11.14720	706.55499	 24.10	
  1.692	 77.194	 11.19292	  5.90979	  5.40583	  6.16352	  5.23595	  0.10591	 11.18069	706.62598	 24.10	
  1.699	 26.182	 11.18661	  6.28968	  5.03777	  5.87164	  5.51582	  0.10097	 11.17382	706.61401	 24.10	
  1.699	-26.182	 11.18876	  6.27907	  5.04941	  5.39793	  6.00296	  0.09287	 11.17737	706.53198	 24.10	
  1.692	-77.194	 11.17473	  5.86139	  5.43001	  5.11452	  6.27904	  0.08368	 11.16338	706.42297	 24.10	
  1.691	-128.401	 11.19595	  5.42318	  5.91419	  5.21951	  6.20988	  0.09276	 11.18198	706.54401	 24.10	
  1.700	180.000	 11.18855	  5.20856	  6.12822	  5.64932	  5.76204	  0.09883	 11.17302	706.42200	 24.10	
  3.400	180.000	 11.18067	  4.62214	  6.67322	  5.58841	  5.72343	  0.06517	 11.17713	706.48798	 24.10	
  3.388	-152.325	 11.18467	  4.74102	  6.53693	  5.07958	  6.24830	  0.06033	 11.17977	706.52698	 24.10	
  3.397	-124.529	 11.16468	  5.05178	  6.14833	  4.68066	  6.65639	  0.04917	 11.16500	706.54901	 24.10	
  3.399	-96.763	 11.17053	  5.55897	  5.63209	  4.49864	  6.88139	  0.05950	 11.17871	706.57202	 24.00	
  3.394	-69.283	 11.15804	  6.09518	  5.07496	  4.55170	  6.78120	  0.04039	 11.16812	706.48102	 24.00	
  3.400	-41.398	 11.14505	  6.56943	  4.64023	  4.81727	  6.45104	  0.05382	 11.16231	706.54401	 24.00	
  3.401	-14.021	 11.17562	  6.86425	  4.40150	  5.29840	  5.96310	  0.04875	 11.19295	706.44000	 24.00	
  3.401	 14.021	 11.16621	  6.87215	  4.39807	  5.84266	  5.40540	  0.06799	 11.18037	706.35999	 24.00	
  3.400	 41.398	 11.15662	  6.59397	  4.62436	  6.34344	  4.93406	  0.06809	 11.16901	706.56702	 24.00	
  3.394	 69.283	 11.15691	  6.13013	  5.05171	  6.66701	  4.66560	  0.08701	 11.16554	706.45001	 24.00	
  3.399	 96.763	 11.18008	  5.58990	  5.60050	  6.75669	  4.61445	  0.08826	 11.17956	706.38702	 24.00	
  3.397	124.529	 11.17820	  5.08861	  6.13964	  6.55249	  4.79907	  0.06872	 11.17445	706.52698	 24.00	
  3.388	152.325	 11.17575	  4.75475	  6.53157	  6.14515	  5.19076	  0.07921	 11.17217	706.45398	 24.00	
  5.099	161.165	 11.13873	  4.06092	  7.12156	  6.09085	  5.05254	  0.02375	 11.17510	706.58801	 24.00	
