FileType=PCF
NHL=14
Date=08/30/17	14:46:37
Facility=APL
Serial=16328-19
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 11.21217	  5.82664	  5.82924	  5.76810	  6.09939	  0.08718	 11.20555	703.86102	 23.70	
  1.691	128.401	 11.22253	  5.48741	  6.16148	  6.20232	  5.66568	  0.09146	 11.21842	703.83899	 23.70	
  1.692	 77.194	 11.21148	  5.94764	  5.69463	  6.30664	  5.56158	  0.09039	 11.21035	703.83398	 23.70	
  1.699	 26.182	 11.22261	  6.33505	  5.32637	  6.01145	  5.84293	  0.08293	 11.21855	705.47198	 23.70	
  1.699	-26.182	 11.21980	  6.32371	  5.32057	  5.51728	  6.32696	  0.07581	 11.21748	703.90399	 23.70	
  1.692	-77.194	 11.23473	  5.92848	  5.70325	  5.24638	  6.62340	  0.06944	 11.23706	703.92902	 23.70	
  1.691	-128.401	 11.21242	  5.46606	  6.15306	  5.33600	  6.50727	  0.07727	 11.21273	703.89502	 23.70	
  1.700	180.000	 11.24350	  5.27261	  6.39515	  5.77882	  6.09502	  0.08359	 11.24311	704.13397	 23.70	
  3.400	180.000	 11.19774	  4.68683	  6.90635	  5.69184	  6.03371	  0.05572	 11.21628	703.95099	 23.70	
  3.388	-152.325	 11.19513	  4.77917	  6.78130	  5.19607	  6.55260	  0.05934	 11.21967	704.73901	 23.70	
  3.397	-124.529	 11.18084	  5.10037	  6.39782	  4.79966	  6.94951	  0.03711	 11.20975	704.83002	 23.70	
  3.399	-96.763	 11.19028	  5.59036	  5.87569	  4.61940	  7.16331	  0.02114	 11.22220	703.92102	 23.70	
  3.394	-69.283	 11.18534	  6.12298	  5.34530	  4.68583	  7.08737	  0.02837	 11.21668	703.81403	 23.70	
  3.400	-41.398	 11.20597	  6.61527	  4.93204	  4.96766	  6.77172	  0.02729	 11.22581	703.77100	 23.70	
  3.401	-14.021	 11.20539	  6.88312	  4.70634	  5.40844	  6.30652	  0.03453	 11.22487	703.75702	 23.70	
  3.401	 14.021	 11.22172	  6.92197	  4.71335	  5.97921	  5.75726	  0.04934	 11.23529	703.98602	 23.70	
  3.400	 41.398	 11.20807	  6.64006	  4.94602	  6.46359	  5.30778	  0.04577	 11.21391	703.75702	 23.70	
  3.394	 69.283	 11.20917	  6.19501	  5.35070	  6.78345	  5.03594	  0.05267	 11.21121	704.75098	 23.70	
  3.399	 96.763	 11.21858	  5.65506	  5.89376	  6.85548	  4.98511	  0.05907	 11.22206	705.37500	 23.70	
  3.397	124.529	 11.21683	  5.16449	  6.40106	  6.65687	  5.15704	  0.05861	 11.21657	703.91602	 23.70	
  3.388	152.325	 11.20346	  4.81231	  6.77031	  6.23381	  5.51860	  0.05732	 11.21791	703.90100	 23.70	
  5.099	161.165	 11.16324	  4.12893	  7.35943	  6.18706	  5.40431	  0.02001	 11.22636	703.77197	 23.70	
  5.109	142.013	 11.15914	  4.38451	  7.06352	  6.70432	  4.93126	  0.01945	 11.21731	703.93298	 23.80	
  5.095	123.033	 11.19271	  4.79547	  6.63248	  7.11706	  4.60821	  0.01746	 11.23791	703.93298	 23.80	
  5.105	104.191	 11.16793	  5.28026	  6.08313	  7.34615	  4.39142	  0.01326	 11.21364	703.93298	 23.80	
