FileType=PCF
NHL=14
Date=08/30/17	15:23:32
Facility=APL
Serial=16328-19
Customer=NASA
NP=6
Mach=0.100000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  4.90624	  2.57260	  2.58225	  2.56111	  2.68604	  0.03694	  4.90982	705.17401	 22.50	
  1.691	128.401	  4.90425	  2.43811	  2.69462	  2.71757	  2.51706	  0.03450	  4.90887	705.15698	 22.50	
  1.692	 77.194	  4.91425	  2.62664	  2.51193	  2.76726	  2.48298	  0.03342	  4.91742	705.11499	 22.50	
  1.699	 26.182	  4.90353	  2.77904	  2.36241	  2.65303	  2.56064	  0.03024	  4.90548	705.07202	 22.50	
  1.699	-26.182	  4.90082	  2.76932	  2.35116	  2.43605	  2.76820	  0.02568	  4.90425	705.06702	 22.50	
  1.692	-77.194	  4.91351	  2.60773	  2.50524	  2.33308	  2.90274	  0.02521	  4.91583	704.90802	 22.50	
  1.691	-128.401	  4.91928	  2.41844	  2.70888	  2.38119	  2.86109	  0.02779	  4.92170	704.99597	 22.50	
  1.700	180.000	  4.91373	  2.35852	  2.78716	  2.53564	  2.69396	  0.03210	  4.91515	705.09998	 22.50	
  3.400	180.000	  4.90699	  2.08078	  3.03622	  2.51671	  2.65306	  0.02026	  4.91813	704.99402	 22.50	
  3.388	-152.325	  4.89936	  2.11903	  2.97184	  2.29305	  2.87472	  0.01402	  4.91282	705.05499	 22.50	
  3.397	-124.529	  4.89983	  2.25266	  2.81403	  2.13138	  3.05702	  0.01447	  4.91586	704.91101	 22.50	
  3.399	-96.763	  4.90088	  2.47148	  2.58343	  2.05289	  3.14842	  0.00777	  4.91665	705.03497	 22.50	
  3.394	-69.283	  4.90103	  2.70459	  2.35848	  2.08312	  3.11513	  0.00810	  4.91613	705.06702	 22.50	
  3.400	-41.398	  4.90094	  2.91002	  2.17720	  2.19620	  2.98145	  0.00931	  4.91304	705.01202	 22.50	
  3.401	-14.021	  4.90859	  3.03216	  2.08352	  2.39146	  2.77428	  0.01184	  4.92122	705.06000	 22.50	
  3.401	 14.021	  4.91773	  3.04233	  2.08770	  2.63217	  2.54380	  0.01568	  4.92413	704.89801	 22.50	
  3.400	 41.398	  4.90588	  2.92386	  2.18298	  2.83966	  2.34140	  0.01615	  4.91395	705.01001	 22.50	
  3.394	 69.283	  4.91644	  2.72417	  2.37079	  2.98558	  2.23477	  0.01924	  4.92011	706.23901	 22.50	
  3.399	 96.763	  4.89929	  2.48314	  2.58327	  3.00744	  2.21004	  0.02093	  4.90542	705.17401	 22.50	
  3.397	124.529	  4.90261	  2.28169	  2.80814	  2.92051	  2.28096	  0.02204	  4.90774	704.99402	 22.50	
  3.388	152.325	  4.90437	  2.14194	  2.96855	  2.74484	  2.43406	  0.02072	  4.91349	705.07800	 22.50	
  5.099	161.165	  4.89151	  1.85020	  3.23054	  2.73348	  2.38646	  0.00491	  4.92225	705.04401	 22.50	
  5.109	142.013	  4.88220	  1.95469	  3.09771	  2.95121	  2.18206	  0.00660	  4.91079	705.05798	 22.50	
  5.095	123.033	  4.89241	  2.12782	  2.91019	  3.12375	  2.04624	  0.00408	  4.91385	704.99597	 22.50	
  5.105	104.191	  4.88420	  2.33257	  2.67871	  3.22816	  1.95335	  0.00266	  4.90655	704.95398	 22.50	
  5.093	 85.207	  4.89899	  2.58714	  2.43874	  3.25486	  1.94252	  0.00287	  4.91957	705.16699	 22.50	
  5.104	 66.290	  4.89845	  2.82767	  2.20649	  3.18561	  1.98989	  0.00060	  4.92035	705.07501	 22.50	
  5.094	 47.331	  4.89192	  3.04035	  2.01500	  3.04029	  2.10515	  0.00210	  4.91818	706.65100	 22.50	
  5.089	 28.397	  4.88753	  3.19688	  1.87702	  2.83404	  2.27676	  0.00060	  4.91225	706.47302	 22.50	
  5.096	  9.576	  4.87766	  3.27178	  1.79840	  2.59029	  2.49631	 -0.00196	  4.90727	705.95203	 22.50	
  5.096	 -9.576	  4.88036	  3.27060	  1.80146	  2.34730	  2.74458	 -0.00742	  4.91339	705.02698	 22.50	
  5.089	-28.397	  4.87259	  3.17929	  1.86847	  2.12838	  2.97211	 -0.01198	  4.91175	704.94000	 22.50	
  5.094	-47.331	  4.86654	  3.01227	  2.00142	  1.94562	  3.16778	 -0.01532	  4.91041	705.69897	 22.50	
  5.104	-66.290	  4.86987	  2.79771	  2.19686	  1.82759	  3.31648	 -0.01715	  4.91884	706.69299	 22.50	
  5.093	-85.207	  4.86062	  2.54800	  2.42383	  1.76643	  3.37648	 -0.01532	  4.90713	705.73102	 22.50	
