FileType=PCF
NHL=14
Date=10/23/18	15:40:42
Facility=APL
Serial=16328-5
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 11.30623	  5.97113	  5.68471	  5.67269	  5.92842	  0.07308	 11.28635	707.49701	 26.70	
  1.691	128.401	 11.27185	  5.59593	  6.01370	  6.10878	  5.45180	  0.06992	 11.25508	707.47198	 26.70	
  1.692	 77.194	 11.27302	  6.07370	  5.52874	  6.22183	  5.34396	  0.06803	 11.25738	707.46503	 26.70	
  1.699	 26.182	 11.26619	  6.45219	  5.14202	  5.90971	  5.63208	  0.06197	 11.24875	707.41602	 26.70	
  1.699	-26.182	 11.28264	  6.45577	  5.15068	  5.40629	  6.14220	  0.05632	 11.26407	707.46899	 26.70	
  1.692	-77.194	 11.28438	  6.06682	  5.52889	  5.10664	  6.45174	  0.05831	 11.26617	707.47198	 26.70	
  1.691	-128.401	 11.27404	  5.58972	  6.00617	  5.21014	  6.34397	  0.06139	 11.25804	707.42603	 26.60	
  1.700	180.000	 11.27283	  5.38111	  6.23290	  5.66256	  5.89028	  0.06671	 11.25959	707.51202	 26.70	
  3.400	180.000	 11.25442	  4.77848	  6.79452	  5.61913	  5.85278	  0.04953	 11.25695	707.54498	 26.60	
  3.388	-152.325	 11.25785	  4.90484	  6.64753	  5.09420	  6.38946	  0.04298	 11.26094	707.53900	 26.70	
  3.397	-124.529	 11.25477	  5.23656	  6.27087	  4.69643	  6.79864	  0.03060	 11.25892	707.46198	 26.70	
  3.399	-96.763	 11.24211	  5.73636	  5.71640	  4.49277	  7.00417	  0.01798	 11.24780	707.49402	 26.70	
  3.394	-69.283	 11.24566	  6.27336	  5.18778	  4.53516	  6.94007	  0.00908	 11.25085	707.47699	 26.70	
  3.400	-41.398	 11.25617	  6.74839	  4.76097	  4.85337	  6.60785	  0.01903	 11.26023	707.45398	 26.70	
  3.401	-14.021	 11.26465	  7.03191	  4.52360	  5.32620	  6.11776	  0.03003	 11.26799	707.37299	 26.70	
  3.401	 14.021	 11.26591	  7.05115	  4.51586	  5.87924	  5.56587	  0.03760	 11.26593	707.45300	 26.70	
  3.400	 41.398	 11.26015	  6.79351	  4.75111	  6.38367	  5.09014	  0.03924	 11.26055	707.37799	 26.70	
  3.394	 69.283	 11.25924	  6.32897	  5.19493	  6.71323	  4.80254	  0.04520	 11.25519	707.43701	 26.70	
  3.399	 96.763	 11.25307	  5.78148	  5.73565	  6.77713	  4.73972	  0.03831	 11.24841	707.43402	 26.70	
  3.397	124.529	 11.24655	  5.28155	  6.24539	  6.58468	  4.91980	  0.04196	 11.24489	707.39203	 26.70	
  3.388	152.325	 11.25100	  4.92238	  6.64405	  6.16098	  5.32545	  0.04863	 11.24737	707.38898	 26.70	
  5.099	161.165	 11.20107	  4.24980	  7.22640	  6.11428	  5.21190	  0.00211	 11.24992	707.44598	 26.70	
  5.109	142.013	 11.21011	  4.49451	  6.95953	  6.64240	  4.72528	 -0.00050	 11.25899	707.48798	 26.70	
  5.095	123.033	 11.21504	  4.91215	  6.49264	  7.06250	  4.35630	 -0.00142	 11.25985	707.43201	 26.70	
  5.105	104.191	 11.21664	  5.41708	  5.94690	  7.30314	  4.14664	 -0.00552	 11.25744	707.46100	 26.70	
  5.093	 85.207	 11.20987	  5.98177	  5.37090	  7.33455	  4.09832	 -0.00613	 11.25095	707.42902	 26.70	
  5.104	 66.290	 11.23158	  6.55798	  4.83353	  7.19656	  4.23057	 -0.00536	 11.27404	707.44000	 26.70	
  5.094	 47.331	 11.21498	  7.03501	  4.37570	  6.84659	  4.50688	 -0.00501	 11.25951	707.42297	 26.70	
  5.089	 28.397	 11.23267	  7.41218	  4.04797	  6.36295	  4.95528	 -0.00940	 11.27795	707.37299	 26.60	
  5.096	  9.576	 11.20873	  7.58562	  3.86925	  5.79237	  5.46459	 -0.01373	 11.25569	707.46198	 26.60	
  5.096	 -9.576	 11.22461	  7.58510	  3.86955	  5.21908	  6.05323	 -0.02457	 11.27822	707.51300	 26.60	
  5.089	-28.397	 11.19048	  7.36826	  4.01861	  4.67906	  6.58205	 -0.03302	 11.24777	707.46100	 26.60	
  5.094	-47.331	 11.19852	  6.99718	  4.35121	  4.25053	  7.06428	 -0.03929	 11.26255	707.43103	 26.60	
  5.104	-66.290	 11.20021	  6.49656	  4.80740	  3.95927	  7.40452	 -0.04626	 11.26572	707.47803	 26.60	
  5.093	-85.207	 11.20734	  5.92731	  5.36825	  3.84534	  7.56452	 -0.04049	 11.27395	707.47302	 26.60	
  5.105	-104.191	 11.19684	  5.36985	  5.93710	  3.89653	  7.50117	 -0.03090	 11.26274	707.51202	 26.60	
  5.095	-123.033	 11.19396	  4.86025	  6.48049	  4.11307	  7.26122	 -0.01898	 11.25857	707.44000	 26.60	
  5.109	-142.013	 11.20416	  4.47656	  6.93393	  4.47409	  6.87632	 -0.01125	 11.26878	707.46100	 26.60	
  5.099	-161.165	 11.20012	  4.22689	  7.22993	  4.98580	  6.33031	 -0.00486	 11.25832	707.39203	 26.60	
  5.100	180.000	 11.19551	  4.15752	  7.32575	  5.53146	  5.77291	  0.00115	 11.25100	707.44000	 26.60	
  6.800	180.000	 11.09629	  3.49740	  7.85386	  5.44086	  5.65410	 -0.06476	 11.24832	707.47302	 26.60	
  6.796	-166.229	 11.11776	  3.55001	  7.79916	  4.89594	  6.22685	 -0.06970	 11.27378	707.48602	 26.60	
  6.808	-152.311	 11.10548	  3.70628	  7.58135	  4.36255	  6.77364	 -0.07702	 11.26839	707.41602	 26.60	
  6.795	-138.383	 11.10609	  3.99354	  7.23634	  3.91646	  7.25516	 -0.07781	 11.27088	707.50000	 26.60	
  6.792	-124.591	 11.08099	  4.35691	  6.77914	  3.55525	  7.63397	 -0.08546	 11.25138	707.45801	 26.70	
  6.787	-110.754	 11.10307	  4.84643	  6.25294	  3.31430	  7.92972	 -0.10058	 11.27301	707.46899	 26.70	
  6.800	-96.985	 11.10312	  5.36865	  5.69011	  3.17012	  8.08177	 -0.11425	 11.27835	707.49402	 26.70	
  6.800	-83.015	 11.08563	  5.92629	  5.10718	  3.14931	  8.06693	 -0.12374	 11.25726	707.46899	 26.60	
  6.787	-69.246	 11.11352	  6.50355	  4.58024	  3.28387	  7.92064	 -0.13071	 11.28336	707.47803	 26.60	
  6.792	-55.409	 11.10256	  7.01986	  4.08422	  3.50952	  7.63405	 -0.12846	 11.26931	707.40698	 26.60	
  6.795	-41.617	 11.11012	  7.46839	  3.69053	  3.85095	  7.24487	 -0.11479	 11.27446	707.43799	 26.60	
  6.808	-27.689	 11.11523	  7.82929	  3.38953	  4.28850	  6.75914	 -0.10394	 11.27707	707.41602	 26.60	
  6.796	-13.771	 11.13508	  8.05972	  3.21957	  4.83356	  6.20429	 -0.09766	 11.29202	707.36102	 26.60	
  6.800	  0.000	 11.10167	  8.11838	  3.14599	  5.37190	  5.62764	 -0.08807	 11.25421	707.54199	 26.60	
  6.796	 13.771	 11.11073	  8.06385	  3.21319	  5.94786	  5.07343	 -0.07921	 11.25943	707.44598	 26.60	
  6.808	 27.689	 11.11463	  7.86976	  3.39287	  6.50114	  4.56403	 -0.07870	 11.25862	707.61499	 26.60	
  6.795	 41.617	 11.13557	  7.54133	  3.70445	  7.02011	  4.12680	 -0.07121	 11.27353	707.58600	 26.60	
  6.792	 55.409	 11.13092	  7.10689	  4.10015	  7.41247	  3.79425	 -0.06347	 11.26429	707.53900	 26.60	
  6.787	 69.246	 11.13695	  6.59000	  4.59142	  7.70881	  3.56405	 -0.07390	 11.26800	707.46503	 26.60	
  6.800	 83.015	 11.12994	  6.03998	  5.11795	  7.85346	  3.45262	 -0.08056	 11.25663	707.51001	 26.60	
  6.800	 96.985	 11.12502	  5.46894	  5.69310	  7.85543	  3.46028	 -0.07339	 11.25012	707.49402	 26.60	
  6.787	110.754	 11.14712	  4.94427	  6.26528	  7.73636	  3.59684	 -0.07327	 11.27794	707.56598	 26.60	
  6.792	124.591	 11.11163	  4.44324	  6.77975	  7.44558	  3.81064	 -0.07254	 11.24976	707.46100	 26.60	
  6.795	138.383	 11.11255	  4.05738	  7.22307	  7.05103	  4.16034	 -0.06151	 11.25029	707.48901	 26.60	
  6.808	152.311	 11.11990	  3.75798	  7.58183	  6.57046	  4.60150	 -0.06019	 11.26411	707.45801	 26.60	
  6.796	166.229	 11.12613	  3.57191	  7.80655	  6.02426	  5.11654	 -0.06522	 11.27405	707.52899	 26.60	
  8.491	168.704	 10.96901	  2.86431	  8.31083	  5.90120	  4.95241	 -0.15061	 11.26057	707.49298	 26.60	
  8.502	157.493	 10.96933	  3.01735	  8.13444	  6.47449	  4.41555	 -0.14416	 11.25665	707.52802	 26.60	
  8.494	146.194	 10.98200	  3.26898	  7.84592	  7.01750	  3.93741	 -0.13606	 11.26681	707.48901	 26.60	
  8.495	135.039	 10.98644	  3.60312	  7.45940	  7.48513	  3.52954	 -0.14511	 11.26499	707.52600	 26.60	
  8.487	123.723	 10.99618	  4.01945	  6.98973	  7.87406	  3.19713	 -0.16278	 11.26644	707.52600	 26.60	
  8.492	112.575	 11.00103	  4.50649	  6.44768	  8.16660	  2.95455	 -0.17178	 11.26747	707.51300	 26.60	
  8.510	101.220	 11.01285	  5.05655	  5.86368	  8.35426	  2.79571	 -0.16736	 11.27740	707.45398	 26.60	
  8.500	 90.000	 11.01306	  5.61914	  5.28325	  8.40531	  2.73982	 -0.17175	 11.27554	707.48102	 26.60	
  8.510	 78.780	 11.02082	  6.20133	  4.71024	  8.33560	  2.78992	 -0.17031	 11.27877	707.52301	 26.60	
  8.492	 67.425	 11.00980	  6.76312	  4.15657	  8.13587	  2.93250	 -0.16003	 11.27012	707.52002	 26.60	
  8.487	 56.277	 10.99751	  7.27626	  3.67022	  7.82018	  3.16759	 -0.14301	 11.25806	707.51300	 26.50	
  8.495	 44.961	 10.99947	  7.73967	  3.24974	  7.42674	  3.49337	 -0.14671	 11.26595	707.49597	 26.50	
  8.494	 33.806	 11.00181	  8.12815	  2.91040	  6.96118	  3.88821	 -0.16011	 11.27532	707.57001	 26.50	
  8.502	 22.507	 10.99597	  8.41367	  2.65023	  6.40503	  4.38306	 -0.16410	 11.27520	707.46503	 26.50	
  8.491	 11.296	 10.99178	  8.57925	  2.49737	  5.82637	  4.92505	 -0.16138	 11.27566	707.53699	 26.50	
  8.500	  0.000	 10.98253	  8.62901	  2.43767	  5.23862	  5.48918	 -0.17242	 11.27463	707.54199	 26.50	
  8.491	-11.296	 10.98217	  8.56375	  2.49178	  4.63943	  6.08610	 -0.18245	 11.27814	707.38098	 26.50	
  8.502	-22.507	 10.95828	  8.35995	  2.63074	  4.09655	  6.63467	 -0.18810	 11.25796	707.52899	 26.50	
  8.494	-33.806	 10.96121	  8.05929	  2.87844	  3.61489	  7.16726	 -0.19375	 11.26433	707.42297	 26.50	
  8.495	-44.961	 10.95453	  7.66196	  3.21176	  3.19752	  7.63590	 -0.21117	 11.26180	707.49402	 26.50	
  8.487	-56.277	 10.95051	  7.18337	  3.63256	  2.86354	  8.03303	 -0.22453	 11.26254	707.49298	 26.50	
  8.492	-67.425	 10.95009	  6.65978	  4.11572	  2.61132	  8.33488	 -0.23297	 11.26799	707.50500	 26.50	
  8.510	-78.780	 10.92852	  6.07203	  4.65498	  2.45881	  8.50899	 -0.23119	 11.24814	707.46503	 26.50	
  8.500	-90.000	 10.94811	  5.49644	  5.24917	  2.44367	  8.57529	 -0.21711	 11.26731	707.41602	 26.50	
  8.510	-101.220	 10.94229	  4.93192	  5.82798	  2.48902	  8.52934	 -0.20449	 11.26856	707.46503	 26.50	
  8.492	-112.575	 10.93330	  4.39130	  6.40555	  2.65820	  8.33603	 -0.18452	 11.25369	707.45801	 26.50	
  8.487	-123.723	 10.94504	  3.92485	  6.94828	  2.91448	  8.05989	 -0.16097	 11.26788	707.50800	 26.50	
  8.495	-135.039	 10.95465	  3.52705	  7.42917	  3.26164	  7.68125	 -0.15507	 11.27388	707.48798	 26.50	
  8.494	-146.194	 10.95531	  3.20827	  7.82185	  3.68709	  7.20922	 -0.16161	 11.27026	707.53900	 26.50	
  8.502	-157.493	 10.97439	  2.96184	  8.14599	  4.19003	  6.68741	 -0.16119	 11.28935	707.53101	 26.50	
  8.491	-168.704	 10.95098	  2.83090	  8.30244	  4.72806	  6.10069	 -0.15145	 11.25602	707.44501	 26.50	
  8.500	180.000	 10.96325	  2.79366	  8.37737	  5.31787	  5.51305	 -0.14885	 11.26344	707.44800	 26.50	
 10.200	180.000	 10.76969	  2.07895	  8.84978	  5.15576	  5.34455	 -0.24484	 11.26125	707.46198	 26.50	
 10.191	-170.497	 10.79293	  2.12677	  8.80682	  4.57636	  5.95665	 -0.24451	 11.28854	707.45599	 26.50	
 10.210	-161.034	 10.76050	  2.21872	  8.64304	  3.99230	  6.53028	 -0.25670	 11.26822	707.48798	 26.50	
 10.194	-151.526	 10.76635	  2.42651	  8.38425	  3.48514	  7.08434	 -0.25380	 11.27335	707.45001	 26.50	
 10.190	-142.105	 10.75555	  2.69127	  8.03446	  3.01850	  7.58938	 -0.24542	 11.26871	707.48499	 26.50	
