FileType=PCF
NHL=14
Date=08/24/17	11:47:16
Facility=APL
Serial=16328-3
Customer=NASA
NP=6
Mach=0.050000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  1.22766	  0.65928	  0.64620	  0.65168	  0.66305	  0.00560	  1.21927	704.05902	 23.70	
  1.691	128.401	  1.23281	  0.63029	  0.68042	  0.68904	  0.62693	  0.00523	  1.22369	704.04401	 23.70	
  1.692	 77.194	  1.23008	  0.67330	  0.63046	  0.69805	  0.61608	  0.00451	  1.22118	703.93701	 23.70	
  1.699	 26.182	  1.23810	  0.71747	  0.59853	  0.67000	  0.64399	  0.00349	  1.22882	704.00598	 23.70	
  1.699	-26.182	  1.24032	  0.71614	  0.59944	  0.61949	  0.69772	  0.00280	  1.23177	703.97803	 23.70	
  1.692	-77.194	  1.23943	  0.67267	  0.63547	  0.59385	  0.72830	  0.00284	  1.23242	704.17902	 23.70	
  1.691	-128.401	  1.24097	  0.62621	  0.68709	  0.60142	  0.71834	  0.00123	  1.23319	704.02301	 23.70	
  1.700	180.000	  1.24229	  0.60961	  0.71195	  0.64804	  0.67089	  0.00347	  1.23361	703.99597	 23.70	
  3.400	180.000	  1.24463	  0.54532	  0.77732	  0.64672	  0.66746	  0.00211	  1.23854	704.13202	 23.70	
  3.388	-152.325	  1.24465	  0.55758	  0.76105	  0.59177	  0.72572	  0.00103	  1.24002	704.06799	 23.70	
  3.397	-124.529	  1.23765	  0.58818	  0.71457	  0.54582	  0.76724	 -0.00133	  1.23298	704.03003	 23.70	
  3.399	-96.763	  1.24431	  0.64326	  0.66213	  0.52980	  0.79533	 -0.00145	  1.24043	704.05298	 23.70	
  3.394	-69.283	  1.23655	  0.69593	  0.60199	  0.53354	  0.78157	 -0.00030	  1.23315	704.04498	 23.70	
  3.400	-41.398	  1.23623	  0.74880	  0.55570	  0.56201	  0.74825	  0.00114	  1.23260	704.01300	 23.70	
  3.401	-14.021	  1.23512	  0.77803	  0.53101	  0.60785	  0.69564	  0.00064	  1.23057	704.08502	 23.70	
  3.401	 14.021	  1.24017	  0.78485	  0.53115	  0.66854	  0.63916	  0.00086	  1.23494	703.97101	 23.70	
  3.400	 41.398	  1.24121	  0.75701	  0.55790	  0.72388	  0.59073	  0.00193	  1.23545	704.01099	 23.70	
  3.394	 69.283	  1.23916	  0.70657	  0.60162	  0.75816	  0.56081	  0.00278	  1.23194	703.97101	 23.70	
  3.399	 96.763	  1.23865	  0.64842	  0.65837	  0.76815	  0.55414	  0.00227	  1.23131	704.03699	 23.70	
  3.397	124.529	  1.24275	  0.59869	  0.71598	  0.74962	  0.57282	  0.00363	  1.23385	703.95099	 23.70	
  3.388	152.325	  1.23689	  0.55955	  0.75509	  0.70149	  0.60804	  0.00328	  1.22945	704.03003	 23.70	
  5.099	161.165	  1.23205	  0.48755	  0.81865	  0.69647	  0.59666	 -0.00088	  1.22964	704.05798	 23.70	
  5.109	142.013	  1.23301	  0.51626	  0.78624	  0.75355	  0.54652	 -0.00116	  1.23014	704.05798	 23.70	
