FileType=PCF
NHL=14
Date=03/08/19	12:39:06
Facility=APL
Serial=16071-5
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 11.07173	  4.66520	  4.74475	  4.90791	  4.46587	  0.25912	 11.07085	709.60999	 17.60	
  1.691	128.401	 11.05728	  4.29740	  5.03864	  5.34919	  4.00603	  0.24575	 11.06379	709.54999	 17.60	
  1.692	 77.194	 11.06397	  4.75820	  4.60360	  5.47121	  3.89582	  0.26452	 11.06384	709.04999	 17.60	
  1.699	 26.182	 11.06372	  5.16669	  4.21961	  5.15805	  4.19143	  0.27328	 11.06600	709.15002	 17.60	
  1.699	-26.182	 11.06731	  5.16985	  4.23796	  4.66074	  4.68024	  0.26743	 11.06952	709.54999	 17.60	
  1.692	-77.194	 11.05954	  4.78997	  4.60745	  4.33878	  5.01994	  0.24641	 11.06249	709.52002	 17.60	
  1.691	-128.401	 11.07064	  4.31952	  5.07763	  4.43732	  4.92145	  0.23292	 11.07346	709.59003	 17.60	
  1.700	180.000	 11.05872	  4.09844	  5.26982	  4.86453	  4.46822	  0.22646	 11.06419	709.56000	 17.60	
  3.400	180.000	 11.03516	  3.48368	  5.86865	  4.79200	  4.41178	  0.16973	 11.06356	709.59998	 17.70	
  3.388	-152.325	 11.04526	  3.63822	  5.72904	  4.26054	  4.97253	  0.18396	 11.06259	709.56000	 17.70	
  3.397	-124.529	 11.05858	  4.00863	  5.34788	  3.90649	  5.39682	  0.18704	 11.07250	709.56000	 17.70	
  3.399	-96.763	 11.05364	  4.50528	  4.84198	  3.74543	  5.58003	  0.19938	 11.06540	709.59003	 17.70	
  3.394	-69.283	 11.05655	  5.02084	  4.32043	  3.80151	  5.53410	  0.21887	 11.06781	709.65997	 17.70	
  3.400	-41.398	 11.05932	  5.50296	  3.87371	  4.12152	  5.17164	  0.23264	 11.06700	709.75000	 17.70	
  3.401	-14.021	 11.05485	  5.77904	  3.61667	  4.60600	  4.64663	  0.25693	 11.06962	709.54999	 17.70	
  3.401	 14.021	 11.05634	  5.77029	  3.60810	  5.14098	  4.12965	  0.26506	 11.06894	709.59003	 17.70	
  3.400	 41.398	 11.05406	  5.46285	  3.84943	  5.62819	  3.66057	  0.25051	 11.07505	709.59003	 17.70	
  3.394	 69.283	 11.03623	  4.95736	  4.29627	  5.95102	  3.36249	  0.23841	 11.06299	709.64001	 17.70	
  3.399	 96.763	 11.03531	  4.40566	  4.84083	  6.01653	  3.30289	  0.21693	 11.07049	709.50000	 17.70	
  3.397	124.529	 11.02856	  3.93233	  5.32242	  5.82652	  3.46769	  0.21304	 11.06836	709.59003	 17.70	
  3.388	152.325	 11.02798	  3.59886	  5.71643	  5.35308	  3.87476	  0.17648	 11.06458	709.65997	 17.70	
  5.099	161.165	 10.97302	  2.90993	  6.34693	  5.29016	  3.76486	  0.10479	 11.06811	709.65002	 17.70	
  5.109	142.013	 10.96425	  3.13934	  6.04938	  5.84516	  3.27100	  0.11654	 11.07359	709.71997	 17.80	
  5.095	123.033	 10.95741	  3.53815	  5.58413	  6.27937	  2.91061	  0.13979	 11.06501	709.71997	 17.80	
  5.105	104.191	 10.96432	  4.00404	  5.05832	  6.51675	  2.71600	  0.15264	 11.06886	709.59998	 17.80	
  5.093	 85.207	 10.97711	  4.58051	  4.47449	  6.58793	  2.67214	  0.17978	 11.07205	709.58002	 17.80	
  5.104	 66.290	 10.98143	  5.15632	  3.92661	  6.44499	  2.78686	  0.19177	 11.06900	709.52002	 17.80	
  5.094	 47.331	 10.99073	  5.69361	  3.46145	  6.11532	  3.08051	  0.20832	 11.07127	709.42999	 17.80	
  5.089	 28.397	 10.99295	  6.09649	  3.14306	  5.63086	  3.51553	  0.21596	 11.06610	708.81000	 17.80	
  5.096	  9.576	 11.00681	  6.32716	  2.98673	  5.07753	  4.03484	  0.21429	 11.06895	709.60999	 17.80	
  5.096	 -9.576	 11.01083	  6.35598	  2.97842	  4.49089	  4.60264	  0.21557	 11.07056	709.57001	 17.80	
  5.089	-28.397	 11.02256	  6.16876	  3.15866	  3.98089	  5.16554	  0.19305	 11.07235	709.04999	 17.80	
  5.094	-47.331	 11.02125	  5.79372	  3.49212	  3.53309	  5.66579	  0.17262	 11.06871	709.57001	 17.80	
  5.104	-66.290	 11.02522	  5.28289	  3.96330	  3.23715	  6.03099	  0.15976	 11.07087	709.16998	 17.80	
  5.093	-85.207	 11.02717	  4.72861	  4.49515	  3.12379	  6.16652	  0.13589	 11.07314	709.57001	 17.80	
  5.105	-104.191	 11.02217	  4.15199	  5.07950	  3.14701	  6.12680	  0.12799	 11.07388	708.90997	 17.80	
  5.095	-123.033	 11.01490	  3.65775	  5.59928	  3.34213	  5.87832	  0.11272	 11.06986	708.83002	 17.90	
  5.109	-142.013	 11.00427	  3.23644	  6.06289	  3.67902	  5.44954	  0.10743	 11.07027	708.84998	 17.80	
  5.099	-161.165	 10.99857	  2.96063	  6.36137	  4.15733	  4.91044	  0.10711	 11.07469	709.14001	 17.90	
  5.100	180.000	 10.97483	  2.84468	  6.44699	  4.70739	  4.32510	  0.09985	 11.06115	709.02002	 17.90	
  6.800	180.000	 10.88516	  2.19181	  7.00950	  4.60206	  4.22893	  0.01514	 11.07268	708.81000	 17.90	
  6.796	-166.229	 10.89658	  2.28029	  6.93470	  4.06118	  4.79680	  0.00643	 11.06958	709.58002	 17.90	
  6.808	-152.311	 10.90912	  2.47964	  6.71817	  3.54991	  5.36439	  0.01333	 11.07194	709.25000	 17.90	
  6.795	-138.383	 10.92150	  2.78865	  6.36644	  3.12041	  5.87078	  0.01862	 11.07290	709.58002	 17.90	
  6.792	-124.591	 10.92813	  3.19060	  5.90618	  2.79618	  6.27522	  0.02017	 11.07411	708.81000	 17.90	
  6.787	-110.754	 10.93274	  3.67858	  5.36883	  2.57377	  6.57311	  0.03105	 11.07214	709.09998	 17.90	
  6.800	-96.985	 10.93882	  4.21686	  4.80843	  2.47208	  6.71855	  0.03920	 11.07203	709.50000	 17.90	
  6.800	-83.015	 10.94615	  4.79610	  4.23703	  2.48391	  6.71978	  0.04973	 11.07486	709.35999	 17.90	
  6.787	-69.246	 10.95288	  5.35705	  3.71461	  2.61323	  6.56156	  0.06345	 11.07576	708.85999	 17.90	
  6.792	-55.409	 10.94685	  5.87836	  3.23619	  2.84115	  6.26802	  0.08125	 11.07324	709.28003	 17.90	
  6.795	-41.617	 10.94445	  6.32624	  2.84414	  3.17615	  5.86042	  0.10022	 11.07212	708.84003	 17.90	
  6.808	-27.689	 10.94262	  6.66787	  2.54958	  3.61739	  5.34852	  0.11628	 11.07301	708.84003	 17.90	
  6.796	-13.771	 10.93663	  6.87255	  2.37380	  4.13819	  4.77574	  0.13710	 11.07337	708.79999	 17.90	
  6.800	  0.000	 10.92804	  6.91954	  2.31882	  4.69220	  4.21737	  0.14686	 11.07563	708.77002	 17.90	
  6.796	 13.771	 10.91626	  6.81835	  2.37667	  5.26582	  3.65654	  0.14524	 11.07233	708.76001	 18.00	
  6.808	 27.689	 10.90913	  6.57328	  2.54170	  5.82110	  3.14794	  0.14985	 11.07256	708.65997	 18.00	
  6.795	 41.617	 10.89895	  6.19244	  2.82947	  6.31737	  2.71191	  0.13655	 11.07500	708.69000	 18.00	
  6.792	 55.409	 10.89441	  5.71831	  3.22142	  6.70962	  2.37517	  0.11887	 11.07649	709.54999	 18.00	
  6.787	 69.246	 10.88405	  5.16478	  3.70049	  6.98585	  2.13985	  0.11179	 11.07180	709.42999	 18.00	
  6.800	 83.015	 10.87340	  4.59368	  4.22973	  7.11963	  2.02163	  0.10147	 11.06999	709.40002	 18.00	
  6.800	 96.985	 10.87141	  4.01986	  4.80508	  7.11487	  2.01297	  0.06951	 11.07618	708.66998	 18.00	
  6.787	110.754	 10.85928	  3.49040	  5.36804	  6.94975	  2.13401	  0.05421	 11.07468	708.75000	 18.00	
  6.792	124.591	 10.85877	  3.02677	  5.90177	  6.65361	  2.37095	  0.05462	 11.07546	708.76001	 18.00	
  6.795	138.383	 10.85699	  2.65571	  6.35396	  6.24870	  2.69668	  0.03275	 11.07501	708.71997	 18.00	
  6.808	152.311	 10.86231	  2.38096	  6.71297	  5.74133	  3.14025	  0.01308	 11.07486	708.76001	 18.00	
  6.796	166.229	 10.87546	  2.22598	  6.93604	  5.17490	  3.66502	  0.01397	 11.07680	708.76001	 18.00	
  8.491	168.704	 10.73012	  1.53572	  7.48334	  5.04644	  3.50941	 -0.08446	 11.07420	709.19000	 18.00	
  8.502	157.493	 10.71266	  1.65429	  7.29023	  5.63140	  2.96342	 -0.08604	 11.07390	709.46997	 18.00	
  8.494	146.194	 10.70684	  1.87956	  6.98256	  6.17686	  2.48140	 -0.07593	 11.07209	708.96002	 18.00	
  8.495	135.039	 10.70427	  2.18839	  6.57704	  6.66107	  2.08376	 -0.05854	 11.07539	708.71997	 18.00	
  8.487	123.723	 10.69558	  2.58139	  6.08269	  7.07210	  1.74936	 -0.04303	 11.06413	708.77002	 18.00	
  8.492	112.575	 10.70514	  3.04295	  5.54529	  7.38633	  1.51180	 -0.04839	 11.07255	708.92999	 18.00	
  8.510	101.220	 10.70783	  3.57635	  4.95512	  7.59013	  1.35593	 -0.04523	 11.06902	709.29999	 18.00	
  8.500	 90.000	 10.71582	  4.14490	  4.36824	  7.66274	  1.31015	 -0.02119	 11.06863	708.82001	 18.00	
  8.510	 78.780	 10.73507	  4.73433	  3.80246	  7.62274	  1.36033	  0.00610	 11.07877	708.90002	 18.10	
  8.492	 67.425	 10.74040	  5.33872	  3.26189	  7.44044	  1.51215	  0.01083	 11.07400	708.87000	 18.10	
  8.487	 56.277	 10.75527	  5.89398	  2.79488	  7.15115	  1.75527	  0.02343	 11.08179	708.98999	 18.10	
  8.495	 44.961	 10.75569	  6.39925	  2.38096	  6.75585	  2.08151	  0.03976	 11.07367	708.78998	 18.10	
  8.494	 33.806	 10.76293	  6.82040	  2.05728	  6.28192	  2.48200	  0.06164	 11.07304	708.88000	 18.10	
  8.502	 22.507	 10.77555	  7.15422	  1.82187	  5.74560	  2.95750	  0.06216	 11.07701	708.65997	 18.10	
  8.491	 11.296	 10.79330	  7.37071	  1.68628	  5.16808	  3.49343	  0.05162	 11.07785	709.54999	 18.10	
