FileType=PCF
NHL=14
Date=08/31/17	08:30:35
Facility=APL
Serial=16328-20
Customer=NASA
NP=6
Mach=0.250000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 30.26725	 16.98853	 16.46845	 16.35680	 17.08707	  0.25997	 30.23993	705.21503	 23.80	
  1.691	128.401	 30.25873	 16.04685	 17.38907	 17.45384	 15.86185	  0.23424	 30.23558	705.18201	 23.80	
  1.692	 77.194	 30.29741	 17.26241	 16.12742	 17.81938	 15.53796	  0.23882	 30.28308	705.34198	 23.80	
  1.699	 26.182	 30.23550	 18.21103	 15.07735	 16.99250	 16.30167	  0.23576	 30.21806	705.35400	 23.80	
  1.699	-26.182	 30.26925	 18.24402	 15.05981	 15.67570	 17.66932	  0.22887	 30.25562	705.31097	 23.80	
  1.692	-77.194	 30.27996	 17.26778	 16.02266	 14.82383	 18.50781	  0.22195	 30.26115	705.39301	 23.80	
  1.691	-128.401	 30.26699	 16.05108	 17.36703	 15.14238	 18.24367	  0.22356	 30.25583	705.36700	 23.80	
  1.700	180.000	 30.29337	 15.51613	 18.01350	 16.30512	 17.10019	  0.23712	 30.27354	705.32202	 23.80	
  3.400	180.000	 30.23893	 13.79358	 19.39262	 16.15720	 17.03800	  0.17870	 30.27144	705.34399	 23.80	
  3.388	-152.325	 30.20460	 14.13025	 19.02862	 14.66419	 18.41152	  0.18101	 30.24170	705.38202	 23.80	
  3.397	-124.529	 30.20572	 15.11570	 17.98937	 13.59921	 19.41718	  0.15315	 30.25224	705.29102	 23.80	
  3.399	-96.763	 30.22816	 16.44487	 16.54446	 13.17455	 19.85831	  0.14403	 30.26087	705.35400	 23.80	
