FileType=PCF
NHL=14
Date=08/31/17	07:16:58
Facility=APL
Serial=16328-20
Customer=NASA
NP=6
Mach=0.150000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 11.33750	  6.25320	  6.10104	  6.03527	  6.34185	  0.08913	 11.32857	705.60101	 23.90	
  1.691	128.401	 11.34771	  5.90769	  6.44175	  6.45978	  5.92695	  0.08942	 11.33672	705.57599	 24.00	
  1.692	 77.194	 11.32367	  6.35421	  5.96744	  6.56746	  5.78942	  0.08993	 11.31637	705.57800	 24.00	
  1.699	 26.182	 11.36189	  6.74561	  5.61290	  6.28673	  6.08655	  0.08489	 11.34970	705.59497	 24.00	
  1.699	-26.182	 11.34044	  6.73344	  5.59390	  5.78506	  6.55254	  0.07933	 11.33307	705.62097	 23.90	
  1.692	-77.194	 11.33999	  6.35470	  5.95916	  5.48815	  6.85559	  0.08033	 11.33183	705.52197	 23.90	
  1.691	-128.401	 11.32979	  5.90291	  6.41502	  5.57821	  6.76408	  0.08338	 11.32078	705.65997	 23.90	
  1.700	180.000	 11.35324	  5.70000	  6.65608	  6.01609	  6.36191	  0.08800	 11.34222	705.55402	 23.90	
  3.400	180.000	 11.32474	  5.13199	  7.16414	  5.93982	  6.33315	  0.05927	 11.33031	705.62097	 23.90	
  3.388	-152.325	 11.32591	  5.24207	  7.02671	  5.44657	  6.82695	  0.05399	 11.33611	705.74103	 23.90	
  3.397	-124.529	 11.33318	  5.56965	  6.65847	  5.07731	  7.21519	  0.04686	 11.34327	705.63202	 23.90	
  3.399	-96.763	 11.30898	  6.04533	  6.12145	  4.88751	  7.37288	  0.03342	 11.32015	705.55103	 23.90	
  3.394	-69.283	 11.34163	  6.57260	  5.63675	  4.96817	  7.31012	  0.03278	 11.35263	705.56201	 23.90	
  3.400	-41.398	 11.34184	  7.03625	  5.21113	  5.26030	  6.97916	  0.03395	 11.34980	705.60901	 23.90	
  3.401	-14.021	 11.31491	  7.25632	  4.99616	  5.68647	  6.50925	  0.03838	 11.32731	705.63800	 23.90	
  3.401	 14.021	 11.33408	  7.27916	  5.01360	  6.25815	  5.97380	  0.04611	 11.33892	705.46100	 23.90	
  3.400	 41.398	 11.32282	  7.01362	  5.24907	  6.72438	  5.54472	  0.05659	 11.32675	705.51599	 23.90	
  3.394	 69.283	 11.33751	  6.58238	  5.67660	  7.03924	  5.29741	  0.06370	 11.34427	705.58698	 23.90	
  3.399	 96.763	 11.32240	  6.06044	  6.17832	  7.09800	  5.24578	  0.06340	 11.32664	705.62903	 23.90	
  3.397	124.529	 11.32995	  5.58669	  6.68465	  6.90622	  5.43166	  0.07253	 11.33319	705.59198	 23.90	
  3.388	152.325	 11.33866	  5.25892	  7.04822	  6.48885	  5.82194	  0.06189	 11.33946	705.53601	 23.90	
  5.099	161.165	 11.27950	  4.59333	  7.60283	  6.41257	  5.71545	  0.01771	 11.32586	705.57300	 23.90	
  5.109	142.013	 11.28006	  4.82426	  7.34075	  6.92975	  5.24922	  0.02017	 11.32684	705.58398	 23.80	
  5.095	123.033	 11.26568	  5.21120	  6.89091	  7.32718	  4.88858	  0.02447	 11.31435	705.49902	 23.80	
  5.105	104.191	 11.27435	  5.68267	  6.37842	  7.57643	  4.67711	  0.01362	 11.32366	705.70599	 23.80	
  5.093	 85.207	 11.28860	  6.23878	  5.83362	  7.63060	  4.62849	  0.00965	 11.33889	705.62598	 23.80	
  5.104	 66.290	 11.26105	  6.76427	  5.29391	  7.47811	  4.71454	  0.01242	 11.31738	705.62903	 23.80	
  5.094	 47.331	 11.28854	  7.26034	  4.86961	  7.17216	  4.98391	  0.00954	 11.34886	705.59302	 23.80	
  5.089	 28.397	 11.26948	  7.61196	  4.53759	  6.70896	  5.35849	  0.00536	 11.33041	705.44897	 23.80	
  5.096	  9.576	 11.27711	  7.80592	  4.37182	  6.16796	  5.85919	 -0.00034	 11.34068	705.58600	 23.80	
  5.096	 -9.576	 11.25751	  7.80104	  4.34225	  5.59562	  6.39927	 -0.00721	 11.32604	705.56097	 23.80	
  5.089	-28.397	 11.26523	  7.61245	  4.49597	  5.09131	  6.93330	 -0.01307	 11.33579	705.47198	 23.80	
  5.094	-47.331	 11.27056	  7.26041	  4.79749	  4.66682	  7.40629	 -0.02200	 11.34587	705.59198	 23.80	
  5.104	-66.290	 11.26390	  6.77203	  5.22961	  4.36897	  7.74543	 -0.02862	 11.33471	705.59198	 23.80	
  5.093	-85.207	 11.25824	  6.22056	  5.74369	  4.24495	  7.89684	 -0.02589	 11.33089	705.60901	 23.80	
  5.105	-104.191	 11.27115	  5.68490	  6.30947	  4.27719	  7.88053	 -0.01579	 11.33800	705.59302	 23.80	
  5.095	-123.033	 11.26431	  5.20080	  6.83445	  4.48792	  7.65486	 -0.00875	 11.33428	705.50800	 23.80	
  5.109	-142.013	 11.27145	  4.81776	  7.28604	  4.85052	  7.27696	  0.00472	 11.33668	705.48798	 23.80	
  5.099	-161.165	 11.26461	  4.58612	  7.57356	  5.30385	  6.78750	  0.00706	 11.32873	705.61798	 23.80	
  5.100	180.000	 11.25875	  4.50389	  7.67891	  5.84109	  6.24434	  0.01677	 11.31608	705.59302	 23.80	
  6.800	180.000	 11.19338	  3.86988	  8.20281	  5.74276	  6.16147	 -0.04893	 11.34589	705.62097	 23.80	
  6.796	-166.229	 11.16875	  3.91337	  8.11301	  5.19117	  6.68581	 -0.06476	 11.32469	705.41998	 23.80	
  6.808	-152.311	 11.17283	  4.08273	  7.89551	  4.71316	  7.19978	 -0.06384	 11.33875	705.51898	 23.70	
  6.795	-138.383	 11.15632	  4.35522	  7.53637	  4.27508	  7.65469	 -0.06260	 11.32350	705.43701	 23.70	
  6.792	-124.591	 11.17400	  4.74724	  7.09655	  3.94029	  8.03569	 -0.07636	 11.34513	705.49597	 23.70	
  6.787	-110.754	 11.14390	  5.18985	  6.56547	  3.70800	  8.25955	 -0.09364	 11.31357	705.51898	 23.70	
  6.800	-96.985	 11.16178	  5.69949	  6.03745	  3.59117	  8.39925	 -0.10275	 11.33239	705.58698	 23.70	
  6.800	-83.015	 11.16747	  6.25627	  5.48460	  3.60636	  8.38250	 -0.11140	 11.34585	705.47198	 23.70	
  6.787	-69.246	 11.15640	  6.77908	  4.97827	  3.72972	  8.21467	 -0.11636	 11.33487	705.48297	 23.70	
  6.792	-55.409	 11.16051	  7.29203	  4.52340	  3.96876	  7.93246	 -0.11437	 11.33980	705.49701	 23.70	
  6.795	-41.617	 11.16055	  7.71164	  4.16361	  4.30286	  7.54166	 -0.09350	 11.33713	705.52002	 23.70	
  6.808	-27.689	 11.16778	  8.05916	  3.88733	  4.73845	  7.06841	 -0.08673	 11.34183	705.38098	 23.70	
  6.796	-13.771	 11.15362	  8.25433	  3.72399	  5.22977	  6.53333	 -0.08427	 11.32625	705.34198	 23.70	
  6.800	  0.000	 11.16211	  8.32506	  3.68402	  5.77127	  5.99785	 -0.07663	 11.33289	705.52802	 23.70	
  6.796	 13.771	 11.17444	  8.25584	  3.75764	  6.33936	  5.47450	 -0.07379	 11.34428	705.49597	 23.70	
  6.808	 27.689	 11.16561	  8.04777	  3.92311	  6.86651	  4.99330	 -0.06768	 11.32812	705.58600	 23.70	
  6.795	 41.617	 11.18614	  7.72681	  4.22492	  7.34208	  4.60301	 -0.05630	 11.34489	705.54401	 23.70	
  6.792	 55.409	 11.18207	  7.28616	  4.61432	  7.72459	  4.29022	 -0.05296	 11.33358	705.54401	 23.70	
  6.787	 69.246	 11.17863	  6.78943	  5.07091	  7.98975	  4.08281	 -0.05570	 11.32197	705.64001	 23.70	
  6.800	 83.015	 11.19250	  6.26428	  5.58342	  8.14747	  3.97676	 -0.05808	 11.34285	705.47699	 23.70	
  6.800	 96.985	 11.19863	  5.72248	  6.14007	  8.14202	  4.00012	 -0.05662	 11.34260	705.51300	 23.70	
  6.787	110.754	 11.20393	  5.21318	  6.68498	  7.98468	  4.14700	 -0.05674	 11.33982	705.47498	 23.70	
  6.792	124.591	 11.21637	  4.75868	  7.20118	  7.71902	  4.38553	 -0.04885	 11.35630	705.49701	 23.70	
  6.795	138.383	 11.18346	  4.37532	  7.59655	  7.30226	  4.70735	 -0.04247	 11.31923	705.50598	 23.70	
  6.808	152.311	 11.18955	  4.09662	  7.92955	  6.82869	  5.13111	 -0.04701	 11.32641	705.49902	 23.70	
  6.796	166.229	 11.20646	  3.92757	  8.14829	  6.30583	  5.63141	 -0.05020	 11.35353	705.55298	 23.70	
  8.491	168.704	 11.06878	  3.26136	  8.63226	  6.17349	  5.49416	 -0.13118	 11.34745	705.60101	 23.70	
  8.502	157.493	 11.05709	  3.39039	  8.45641	  6.72151	  4.97449	 -0.13224	 11.32784	705.56500	 23.60	
  8.494	146.194	 11.06959	  3.62611	  8.18751	  7.24188	  4.52534	 -0.12603	 11.33129	705.46899	 23.60	
  8.495	135.039	 11.07234	  3.94528	  7.81746	  7.71693	  4.11577	 -0.12432	 11.33974	705.43701	 23.60	
  8.487	123.723	 11.06522	  4.33966	  7.35388	  8.10263	  3.78951	 -0.13911	 11.33525	705.51599	 23.60	
  8.492	112.575	 11.06036	  4.78740	  6.84878	  8.38405	  3.55384	 -0.15518	 11.33091	705.45801	 23.60	
  8.510	101.220	 11.05290	  5.29680	  6.29864	  8.56507	  3.38836	 -0.15519	 11.32592	705.57599	 23.60	
  8.500	 90.000	 11.06728	  5.84668	  5.74049	  8.63892	  3.33760	 -0.14689	 11.34573	705.54999	 23.60	
  8.510	 78.780	 11.06354	  6.40378	  5.18372	  8.58941	  3.35865	 -0.14121	 11.34622	705.55103	 23.60	
  8.492	 67.425	 11.04432	  6.94116	  4.65602	  8.40489	  3.47100	 -0.13451	 11.33136	705.54199	 23.60	
  8.487	 56.277	 11.04648	  7.44598	  4.19917	  8.13057	  3.68207	 -0.12978	 11.33810	705.53900	 23.60	
  8.495	 44.961	 11.03590	  7.90051	  3.79158	  7.73467	  3.98715	 -0.12779	 11.33032	705.53101	 23.60	
  8.494	 33.806	 11.04609	  8.28305	  3.46992	  7.28981	  4.36509	 -0.14450	 11.34574	705.63800	 23.60	
  8.502	 22.507	 11.02021	  8.55460	  3.22229	  6.75133	  4.80022	 -0.15624	 11.32395	705.45801	 23.60	
  8.491	 11.296	 11.01001	  8.71911	  3.08046	  6.19762	  5.28976	 -0.15653	 11.31714	705.52802	 23.60	
  8.500	  0.000	 11.01285	  8.78750	  3.01151	  5.64258	  5.82567	 -0.16024	 11.32800	705.52301	 23.60	
  8.491	-11.296	 11.02862	  8.74743	  3.05408	  5.09131	  6.39188	 -0.16677	 11.34722	705.51599	 23.60	
  8.502	-22.507	 11.01722	  8.57252	  3.16983	  4.57897	  6.92026	 -0.16911	 11.33734	705.46503	 23.60	
  8.494	-33.806	 11.00315	  8.27357	  3.39618	  4.09145	  7.43706	 -0.17264	 11.32605	705.59198	 23.60	
  8.495	-44.961	 11.00509	  7.90476	  3.69477	  3.68157	  7.90754	 -0.19178	 11.33263	705.37097	 23.60	
  8.487	-56.277	 10.99370	  7.43592	  4.08390	  3.34939	  8.28674	 -0.20803	 11.31653	705.46503	 23.60	
  8.492	-67.425	 11.01090	  6.94679	  4.52904	  3.12672	  8.58201	 -0.21933	 11.33389	705.52002	 23.60	
  8.510	-78.780	 11.00009	  6.38651	  5.03616	  2.96353	  8.77090	 -0.21940	 11.32416	705.54700	 23.60	
  8.500	-90.000	 11.00357	  5.83236	  5.58618	  2.91240	  8.84245	 -0.20591	 11.32426	705.53400	 23.60	
  8.510	-101.220	 11.00752	  5.28578	  6.14465	  2.95428	  8.81275	 -0.19170	 11.32339	705.47498	 23.60	
  8.492	-112.575	 11.02664	  4.78212	  6.71325	  3.10355	  8.67002	 -0.17814	 11.34068	705.34003	 23.60	
  8.487	-123.723	 11.01839	  4.32515	  7.22696	  3.32878	  8.41187	 -0.15911	 11.33284	705.48499	 23.60	
  8.495	-135.039	 11.03374	  3.93674	  7.71040	  3.65293	  8.06762	 -0.14495	 11.34542	705.56097	 23.70	
  8.494	-146.194	 11.02664	  3.62281	  8.10168	  4.05010	  7.61920	 -0.14449	 11.33539	705.43701	 23.60	
  8.502	-157.493	 11.03154	  3.38788	  8.40261	  4.52352	  7.11830	 -0.15139	 11.33366	705.51599	 23.60	
  8.491	-168.704	 11.02999	  3.24592	  8.58682	  5.03595	  6.58317	 -0.14033	 11.32356	705.52301	 23.60	
  8.500	180.000	 11.04099	  3.20496	  8.66205	  5.59213	  6.02970	 -0.12690	 11.32337	705.46802	 23.60	
 10.200	180.000	 10.87282	  2.53372	  9.11070	  5.41961	  5.88377	 -0.22212	 11.33443	705.44397	 23.60	
 10.191	-170.497	 10.84885	  2.56269	  9.04226	  4.84066	  6.43495	 -0.23904	 11.32250	705.53699	 23.60	
 10.210	-161.034	 10.84536	  2.68141	  8.87622	  4.32896	  6.97272	 -0.25003	 11.32747	705.36200	 23.60	
 10.194	-151.526	 10.82098	  2.87511	  8.59128	  3.82563	  7.49584	 -0.23995	 11.31282	705.45203	 23.60	
 10.190	-142.105	 10.82180	  3.13586	  8.25165	  3.38597	  7.98281	 -0.22605	 11.31989	705.52698	 23.60	
 10.215	-132.646	 10.84166	  3.48524	  7.84011	  3.02007	  8.41539	 -0.22845	 11.33978	705.51599	 23.60	
 10.203	-123.092	 10.82893	  3.87817	  7.34371	  2.70713	  8.75628	 -0.24401	 11.33168	705.53601	 23.60	
 10.192	-113.678	 10.82576	  4.33148	  6.81033	  2.46434	  9.02782	 -0.26562	 11.33105	705.55902	 23.60	
 10.208	-104.249	 10.81729	  4.83985	  6.24039	  2.30771	  9.19556	 -0.28809	 11.32211	705.54498	 23.60	
 10.210	-94.801	 10.81457	  5.36966	  5.67872	  2.22003	  9.28543	 -0.30308	 11.32613	705.50598	 23.60	
 10.210	-85.199	 10.81025	  5.94190	  5.10179	  2.22429	  9.26501	 -0.31407	 11.32233	705.54401	 23.60	
 10.208	-75.751	 10.81707	  6.50263	  4.56963	  2.32019	  9.15004	 -0.31936	 11.33263	705.50500	 23.60	
 10.192	-66.322	 10.81251	  7.04655	  4.08208	  2.49154	  8.92495	 -0.31541	 11.32405	705.48901	 23.60	
 10.203	-56.908	 10.81823	  7.56735	  3.63053	  2.72505	  8.64220	 -0.30538	 11.33594	705.54401	 23.60	
 10.215	-47.354	 10.82164	  8.05281	  3.22761	  3.04769	  8.25715	 -0.28211	 11.33825	705.57300	 23.60	
 10.190	-37.895	 10.81744	  8.44664	  2.91057	  3.42715	  7.80457	 -0.25958	 11.32817	705.68500	 23.60	
 10.194	-28.474	 10.80342	  8.76685	  2.64923	  3.86941	  7.28917	 -0.25561	 11.31531	705.77197	 23.60	
 10.210	-18.966	 10.82580	  9.02830	  2.47500	  4.36715	  6.76481	 -0.25492	 11.33381	705.59302	 23.60	
 10.191	 -9.503	 10.84008	  9.18150	  2.37883	  4.90336	  6.21719	 -0.25264	 11.34163	705.47699	 23.60	
 10.200	  0.000	 10.83573	  9.23590	  2.33803	  5.47439	  5.64619	 -0.24932	 11.33912	705.59198	 23.60	
 10.191	  9.503	 10.82815	  9.16861	  2.38595	  6.04336	  5.09543	 -0.25363	 11.32778	705.70203	 23.60	
 10.210	 18.966	 10.83452	  9.02831	  2.50521	  6.60666	  4.58595	 -0.25471	 11.33301	705.66901	 23.60	
 10.194	 28.474	 10.84233	  8.77441	  2.71607	  7.16096	  4.12041	 -0.24683	 11.33170	705.57599	 23.60	
 10.190	 37.895	 10.85047	  8.45410	  2.98731	  7.67004	  3.69699	 -0.22706	 11.33603	705.69299	 23.60	
 10.215	 47.354	 10.83849	  8.04541	  3.32225	  8.10416	  3.32918	 -0.21694	 11.31670	705.50000	 23.60	
 10.203	 56.908	 10.84133	  7.56004	  3.75040	  8.46871	  3.05517	 -0.21570	 11.30984	705.47699	 23.60	
 10.192	 66.322	 10.85790	  7.05283	  4.22257	  8.75964	  2.85646	 -0.21873	 11.31936	705.54999	 23.60	
