FileType=PCF
NHL=14
Date=03/18/19	11:55:40
Facility=APL
Serial=16071-8
Customer=NASA
NP=6
Mach=0.230000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 25.57465	 11.02531	 10.61824	 11.00463	 10.23027	  0.63429	 25.61258	710.01001	 29.60	
  1.691	128.401	 25.55798	 10.11871	 11.46060	 12.03316	  9.15590	  0.60392	 25.61172	709.97998	 29.50	
  1.692	 77.194	 25.55713	 11.21176	 10.31955	 12.35159	  8.86309	  0.64799	 25.60530	709.90002	 29.50	
  1.699	 26.182	 25.57277	 12.16831	  9.41004	 11.62731	  9.55480	  0.67306	 25.62367	709.90997	 29.50	
  1.699	-26.182	 25.58090	 12.22100	  9.38797	 10.44122	 10.75307	  0.64789	 25.61116	710.70001	 29.50	
  1.692	-77.194	 25.57114	 11.33023	 10.26590	  9.71371	 11.51407	  0.61672	 25.61969	710.58002	 29.50	
  1.691	-128.401	 25.56546	 10.20796	 11.41664	  9.93077	 11.28032	  0.58381	 25.60447	710.75000	 29.40	
  1.700	180.000	 25.56113	  9.65407	 11.99361	 10.94267	 10.24001	  0.57792	 25.60827	710.16998	 29.40	
  3.400	180.000	 25.50994	  8.26797	 13.36426	 10.78411	 10.20369	  0.47503	 25.59733	710.00000	 29.40	
  3.388	-152.325	 25.53502	  8.64315	 12.98831	  9.58667	 11.45036	  0.47317	 25.61295	709.98999	 29.40	
  3.397	-124.529	 25.53624	  9.50608	 12.01846	  8.67832	 12.45677	  0.48423	 25.60819	710.70001	 29.40	
  3.399	-96.763	 25.53303	 10.69719	 10.74144	  8.28750	 12.92649	  0.51405	 25.59955	709.91998	 29.40	
  3.394	-69.283	 25.52718	 11.92264	  9.48216	  8.48154	 12.72062	  0.55171	 25.59112	709.96997	 29.30	
  3.400	-41.398	 25.54161	 13.03853	  8.47745	  9.23852	 11.88097	  0.60011	 25.60586	710.15002	 29.30	
  3.401	-14.021	 25.50886	 13.62763	  7.91103	 10.32978	 10.65331	  0.63364	 25.58918	710.72998	 29.30	
  3.401	 14.021	 25.50098	 13.57243	  7.94921	 11.61505	  9.35114	  0.65117	 25.58504	710.07001	 29.30	
  3.400	 41.398	 25.48921	 12.87568	  8.55044	 12.78551	  8.24914	  0.65310	 25.59596	709.96002	 29.30	
  3.394	 69.283	 25.47803	 11.67700	  9.60397	 13.56966	  7.55247	  0.61946	 25.60045	710.08002	 29.20	
  3.399	 96.763	 25.46489	 10.42399	 10.85112	 13.69249	  7.44121	  0.57539	 25.58483	710.10999	 29.20	
  3.397	124.529	 25.46881	  9.28320	 12.10097	 13.15113	  7.91534	  0.53681	 25.58305	710.02002	 29.20	
