FileType=PCF
NHL=14
Date=08/25/17	15:55:46
Facility=APL
Serial=16328-6
Customer=NASA
NP=6
Mach=0.050000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  1.26472	  0.68518	  0.68163	  0.67652	  0.69486	  0.00421	  1.25617	706.38397	 23.10	
  1.691	128.401	  1.26227	  0.64990	  0.70548	  0.70326	  0.65663	  0.00536	  1.25339	706.53497	 23.10	
  1.692	 77.194	  1.26770	  0.69328	  0.66594	  0.71685	  0.65130	  0.00604	  1.25972	706.54999	 23.10	
  1.699	 26.182	  1.26310	  0.72685	  0.62854	  0.68301	  0.67287	  0.00178	  1.25490	706.53601	 23.10	
  1.699	-26.182	  1.26427	  0.73073	  0.62633	  0.63909	  0.72183	  0.00444	  1.25573	706.52399	 23.10	
  1.692	-77.194	  1.26496	  0.69130	  0.66050	  0.61170	  0.75255	  0.00488	  1.25746	706.44299	 23.10	
  1.691	-128.401	  1.26210	  0.64392	  0.70659	  0.61786	  0.74011	  0.00508	  1.25372	706.59100	 23.10	
  1.700	180.000	  1.26200	  0.62760	  0.72837	  0.66181	  0.69326	  0.00497	  1.25435	706.45599	 23.10	
  3.400	180.000	  1.26025	  0.55818	  0.79105	  0.65445	  0.68724	  0.00202	  1.25391	708.16699	 23.10	
  3.388	-152.325	  1.26017	  0.56841	  0.77661	  0.59878	  0.74484	  0.00216	  1.25472	706.55200	 23.10	
  3.397	-124.529	  1.25849	  0.60278	  0.73424	  0.55770	  0.79013	  0.00138	  1.25272	706.62299	 23.10	
  3.399	-96.763	  1.26145	  0.65582	  0.68132	  0.53969	  0.81573	  0.00147	  1.25661	707.98999	 23.10	
  3.394	-69.283	  1.26356	  0.71519	  0.62501	  0.54830	  0.80879	 -0.00094	  1.25852	707.55701	 23.10	
  3.400	-41.398	  1.26239	  0.76470	  0.58031	  0.57852	  0.77383	  0.00136	  1.25702	708.06097	 23.10	
  3.401	-14.021	  1.26197	  0.79311	  0.55692	  0.62482	  0.72157	  0.00210	  1.25567	706.50403	 23.10	
  3.401	 14.021	  1.26301	  0.79643	  0.55558	  0.68311	  0.66371	  0.00193	  1.25614	706.39801	 23.10	
  3.400	 41.398	  1.26076	  0.76534	  0.58050	  0.73465	  0.61384	  0.00224	  1.25334	706.58398	 23.10	
  3.394	 69.283	  1.26237	  0.71805	  0.62658	  0.77116	  0.58593	  0.00318	  1.25554	706.51202	 23.10	
  3.399	 96.763	  1.26107	  0.65829	  0.68212	  0.77720	  0.57922	  0.00206	  1.25399	708.09698	 23.10	
  3.397	124.529	  1.26196	  0.61082	  0.73677	  0.75657	  0.59747	  0.00416	  1.25527	708.01001	 23.10	
  3.388	152.325	  1.25667	  0.57295	  0.77262	  0.70876	  0.63258	  0.00256	  1.25018	706.55798	 23.10	
  5.099	161.165	  1.25413	  0.49917	  0.83996	  0.70609	  0.62034	 -0.00245	  1.25374	706.43903	 23.10	
  5.109	142.013	  1.25711	  0.52831	  0.81000	  0.76408	  0.57194	 -0.00213	  1.25517	708.17798	 23.10	
  5.095	123.033	  1.25448	  0.56973	  0.76107	  0.80558	  0.53460	 -0.00203	  1.25290	706.58002	 23.10	
  5.105	104.191	  1.25753	  0.62330	  0.70480	  0.83363	  0.51415	 -0.00192	  1.25558	708.13599	 23.10	
  5.093	 85.207	  1.26271	  0.68584	  0.64592	  0.84153	  0.51185	 -0.00175	  1.25994	706.96100	 23.10	
  5.104	 66.290	  1.25696	  0.74194	  0.58547	  0.82268	  0.52085	 -0.00342	  1.25378	707.70001	 23.10	
  5.094	 47.331	  1.26059	  0.79840	  0.53993	  0.78866	  0.55479	 -0.00171	  1.25931	708.05200	 23.10	
  5.089	 28.397	  1.25771	  0.83555	  0.50374	  0.73666	  0.59814	 -0.00219	  1.25561	708.08899	 23.10	
  5.096	  9.576	  1.26000	  0.85681	  0.48668	  0.67796	  0.65487	 -0.00284	  1.25802	708.04102	 23.10	
  5.096	 -9.576	  1.25876	  0.85684	  0.48678	  0.61604	  0.71756	 -0.00304	  1.25772	707.74902	 23.10	
  5.089	-28.397	  1.25768	  0.83320	  0.50377	  0.56064	  0.77368	 -0.00466	  1.25794	707.98499	 23.10	
  5.094	-47.331	  1.25572	  0.79070	  0.53582	  0.51308	  0.82353	 -0.00566	  1.25745	706.47302	 23.10	
  5.104	-66.290	  1.25640	  0.73746	  0.58551	  0.48373	  0.86024	 -0.00647	  1.25763	707.96997	 23.10	
  5.093	-85.207	  1.25601	  0.67695	  0.64320	  0.47033	  0.87582	 -0.00630	  1.25829	706.47400	 23.00	
  5.105	-104.191	  1.25493	  0.61748	  0.70421	  0.47332	  0.87019	 -0.00466	  1.25690	708.08899	 23.10	
  5.095	-123.033	  1.25507	  0.56430	  0.76239	  0.49640	  0.84329	 -0.00326	  1.25670	708.07397	 23.00	
  5.109	-142.013	  1.25485	  0.52047	  0.81105	  0.53396	  0.79831	 -0.00258	  1.25679	708.09802	 23.00	
  5.099	-161.165	  1.25432	  0.49672	  0.84173	  0.58671	  0.74171	 -0.00184	  1.25486	706.30701	 23.00	
  5.100	180.000	  1.25880	  0.49119	  0.85458	  0.64754	  0.68286	 -0.00158	  1.25952	706.33197	 23.10	
  6.800	180.000	  1.24517	  0.41665	  0.91079	  0.63456	  0.66903	 -0.00777	  1.25695	706.38397	 23.10	
  6.796	-166.229	  1.24453	  0.41782	  0.90455	  0.57365	  0.72797	 -0.01005	  1.25717	708.06897	 23.00	
  6.808	-152.311	  1.24439	  0.43921	  0.88082	  0.52104	  0.78778	 -0.00764	  1.25756	706.31799	 23.00	
  6.795	-138.383	  1.24137	  0.46739	  0.84020	  0.47052	  0.83850	 -0.01033	  1.25476	707.84900	 23.00	
  6.792	-124.591	  1.23937	  0.50507	  0.79258	  0.43063	  0.88072	 -0.01332	  1.25400	708.13000	 23.00	
  6.787	-110.754	  1.24075	  0.56020	  0.73534	  0.40842	  0.91284	 -0.01151	  1.25636	706.33002	 23.00	
  6.800	-96.985	  1.23879	  0.61699	  0.67327	  0.39525	  0.92757	 -0.01356	  1.25317	708.08002	 23.00	
  6.800	-83.015	  1.24407	  0.67947	  0.61555	  0.39718	  0.93133	 -0.01399	  1.25776	706.30103	 23.00	
  6.787	-69.246	  1.24381	  0.74048	  0.55832	  0.41053	  0.91634	 -0.01257	  1.25729	707.20801	 23.00	
  6.792	-55.409	  1.24179	  0.79429	  0.50638	  0.43406	  0.88508	 -0.01446	  1.25446	706.27002	 23.00	
  6.795	-41.617	  1.24405	  0.84397	  0.46533	  0.47093	  0.84440	 -0.01294	  1.25618	706.36401	 23.00	
  6.808	-27.689	  1.24379	  0.88186	  0.43395	  0.51930	  0.79076	 -0.01103	  1.25476	707.89099	 23.00	
  6.796	-13.771	  1.24540	  0.90656	  0.41682	  0.57505	  0.73242	 -0.01079	  1.25507	707.79303	 23.00	
  6.800	  0.000	  1.24633	  0.91611	  0.41023	  0.63317	  0.67311	 -0.01094	  1.25570	707.09900	 23.00	
  6.796	 13.771	  1.24215	  0.90428	  0.41513	  0.69043	  0.61130	 -0.01017	  1.25040	706.33002	 23.00	
  6.808	 27.689	  1.25140	  0.88781	  0.43824	  0.75557	  0.55978	 -0.01033	  1.25823	707.77301	 23.00	
  6.795	 41.617	  1.24559	  0.84858	  0.46741	  0.80432	  0.51236	 -0.00839	  1.25211	706.37701	 23.00	
  6.792	 55.409	  1.25115	  0.80382	  0.51182	  0.85010	  0.47835	 -0.00796	  1.25750	707.86902	 23.00	
  6.787	 69.246	  1.24488	  0.74575	  0.55917	  0.87818	  0.44984	 -0.00823	  1.25094	707.83899	 23.00	
  6.800	 83.015	  1.24629	  0.68653	  0.61516	  0.89410	  0.43658	 -0.00986	  1.25332	707.98102	 23.00	
  6.800	 96.985	  1.24652	  0.62652	  0.67759	  0.89553	  0.43720	 -0.00927	  1.25243	707.57397	 23.00	
  6.787	110.754	  1.24377	  0.56796	  0.73540	  0.87692	  0.44878	 -0.00913	  1.25052	707.74902	 23.00	
  6.792	124.591	  1.24786	  0.51907	  0.79368	  0.84868	  0.47482	 -0.01165	  1.25561	707.82098	 23.00	
  6.795	138.383	  1.24811	  0.47811	  0.84314	  0.80710	  0.51096	 -0.00769	  1.25579	706.52100	 23.00	
  6.808	152.311	  1.24646	  0.44469	  0.87985	  0.75441	  0.55571	 -0.00950	  1.25543	707.03601	 23.00	
  6.796	166.229	  1.24602	  0.42526	  0.90360	  0.69585	  0.61012	 -0.00940	  1.25617	707.94299	 23.00	
  8.491	168.704	  1.22673	  0.34964	  0.95482	  0.68187	  0.59058	 -0.01639	  1.25330	707.91699	 22.90	
  8.502	157.493	  1.22691	  0.36555	  0.93493	  0.74072	  0.53423	 -0.01674	  1.25233	708.09100	 22.90	
  8.494	146.194	  1.23564	  0.39612	  0.90883	  0.80271	  0.48820	 -0.01541	  1.25923	708.05200	 22.90	
  8.495	135.039	  1.23343	  0.43182	  0.86409	  0.85253	  0.44447	 -0.01599	  1.25539	707.93903	 22.90	
  8.487	123.723	  1.23337	  0.47270	  0.81306	  0.89314	  0.40717	 -0.02024	  1.25540	707.92798	 22.90	
  8.492	112.575	  1.23601	  0.52605	  0.75662	  0.92598	  0.38419	 -0.01831	  1.25743	707.92297	 22.90	
  8.510	101.220	  1.23195	  0.58237	  0.69412	  0.94517	  0.36611	 -0.01674	  1.25378	707.89801	 22.90	
