FileType=PCF
NHL=14
Date=08/29/17	10:28:51
Facility=APL
Serial=16328-14
Customer=NASA
NP=6
Mach=0.050000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  1.28096	  0.69727	  0.69887	  0.68367	  0.70692	  0.00996	  1.27269	706.00299	 24.40	
  1.691	128.401	  1.27603	  0.65298	  0.71683	  0.71296	  0.65431	  0.00947	  1.26683	705.89899	 24.40	
  1.692	 77.194	  1.27705	  0.69789	  0.67193	  0.72475	  0.64348	  0.00888	  1.26732	705.99200	 24.40	
  1.699	 26.182	  1.27697	  0.73626	  0.63681	  0.69422	  0.66793	  0.00702	  1.26745	705.92999	 24.40	
  1.699	-26.182	  1.27445	  0.73317	  0.63510	  0.64222	  0.71521	  0.00693	  1.26664	705.93103	 24.40	
  1.692	-77.194	  1.27084	  0.69048	  0.66736	  0.61440	  0.74250	  0.00580	  1.26327	705.91302	 24.40	
  1.691	-128.401	  1.27368	  0.64754	  0.71595	  0.62621	  0.73325	  0.00596	  1.26561	705.97803	 24.40	
  1.700	180.000	  1.27756	  0.63458	  0.73931	  0.67086	  0.69161	  0.00736	  1.26821	705.89001	 24.40	
  3.400	180.000	  1.27370	  0.56306	  0.80140	  0.66308	  0.68343	  0.00478	  1.26657	706.00702	 24.40	
  3.388	-152.325	  1.27488	  0.57312	  0.78743	  0.60718	  0.74038	  0.00335	  1.26983	706.05402	 24.30	
  3.397	-124.529	  1.26892	  0.60509	  0.74318	  0.56320	  0.78299	  0.00246	  1.26507	705.83398	 24.30	
  3.399	-96.763	  1.26999	  0.65741	  0.68824	  0.54477	  0.80628	  0.00259	  1.26699	705.85901	 24.30	
  3.394	-69.283	  1.26964	  0.71513	  0.63270	  0.55026	  0.79976	  0.00361	  1.26564	706.08698	 24.30	
  3.400	-41.398	  1.26861	  0.76681	  0.58607	  0.58094	  0.76414	  0.00218	  1.26430	705.96198	 24.30	
  3.401	-14.021	  1.26889	  0.79743	  0.56250	  0.62935	  0.71365	  0.00147	  1.26349	705.96198	 24.30	
  3.401	 14.021	  1.27298	  0.80065	  0.56417	  0.69105	  0.65639	  0.00214	  1.26569	705.91302	 24.30	
  3.400	 41.398	  1.27390	  0.77458	  0.58884	  0.74534	  0.60896	  0.00451	  1.26534	705.89697	 24.30	
  3.394	 69.283	  1.27154	  0.72309	  0.63327	  0.77904	  0.57886	  0.00516	  1.26274	706.00098	 24.30	
  3.399	 96.763	  1.27316	  0.66691	  0.68946	  0.78832	  0.57361	  0.00697	  1.26399	706.02301	 24.30	
  3.397	124.529	  1.27461	  0.61454	  0.74468	  0.76780	  0.59061	  0.00866	  1.26502	706.06201	 24.30	
  3.388	152.325	  1.27456	  0.57928	  0.78584	  0.72242	  0.62908	  0.00646	  1.26657	705.95203	 24.30	
  5.099	161.165	  1.26763	  0.50210	  0.85045	  0.71773	  0.61503	  0.00259	  1.26477	706.10797	 24.30	
  5.109	142.013	  1.26902	  0.53179	  0.81888	  0.77546	  0.56486	  0.00497	  1.26422	705.84100	 24.30	
  5.095	123.033	  1.27128	  0.57619	  0.77187	  0.82047	  0.52965	  0.00445	  1.26629	706.05200	 24.30	
  5.105	104.191	  1.27012	  0.63026	  0.71357	  0.84688	  0.50761	  0.00369	  1.26513	705.88300	 24.30	
  5.093	 85.207	  1.27426	  0.69349	  0.65434	  0.85412	  0.50602	  0.00265	  1.26868	705.99500	 24.30	
  5.104	 66.290	  1.27329	  0.75469	  0.59515	  0.83642	  0.51814	 -0.00053	  1.26789	705.81403	 24.30	
  5.094	 47.331	  1.27367	  0.80796	  0.54651	  0.79963	  0.54938	 -0.00199	  1.26929	705.95203	 24.30	
  5.089	 28.397	  1.26971	  0.84455	  0.51063	  0.74591	  0.59196	 -0.00341	  1.26681	705.82098	 24.30	
  5.096	  9.576	  1.26924	  0.86409	  0.49234	  0.68487	  0.64767	 -0.00472	  1.26813	705.98401	 24.30	
  5.096	 -9.576	  1.26335	  0.85870	  0.49054	  0.61769	  0.70802	 -0.00436	  1.26454	706.02600	 24.30	
