FileType=PCF
NHL=14
Date=10/23/18	10:33:28
Facility=APL
Serial=16328-1
Customer=NASA
NP=6
Mach=0.050000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	  1.21906	  0.65218	  0.64749	  0.64376	  0.65765	  0.00603	  1.21148	709.90002	 15.00	
  1.691	128.401	  1.21756	  0.62722	  0.66460	  0.67244	  0.62189	  0.00570	  1.20889	709.89301	 15.00	
  1.692	 77.194	  1.21857	  0.66495	  0.62785	  0.68458	  0.60920	  0.00546	  1.21045	709.96997	 15.00	
  1.699	 26.182	  1.21955	  0.70494	  0.58827	  0.65314	  0.63559	  0.00537	  1.21272	709.92401	 15.00	
  1.699	-26.182	  1.21939	  0.70297	  0.58833	  0.60695	  0.68113	  0.00336	  1.21290	709.95398	 15.00	
  1.692	-77.194	  1.21655	  0.66288	  0.61945	  0.58156	  0.70852	  0.00349	  1.20965	709.87000	 15.00	
  1.691	-128.401	  1.21755	  0.62097	  0.66442	  0.59032	  0.69910	  0.00377	  1.21013	709.95502	 15.00	
  1.700	180.000	  1.21932	  0.60578	  0.68836	  0.63404	  0.65743	  0.00386	  1.21106	709.92999	 15.00	
  3.400	180.000	  1.22194	  0.54008	  0.75236	  0.62908	  0.65370	  0.00150	  1.21519	709.94897	 15.00	
  3.388	-152.325	  1.21985	  0.54977	  0.73541	  0.57395	  0.70905	  0.00067	  1.21368	709.85498	 15.00	
  3.397	-124.529	  1.21587	  0.58148	  0.69289	  0.53216	  0.75105	 -0.00027	  1.21169	709.86200	 15.00	
  3.399	-96.763	  1.21351	  0.63005	  0.63692	  0.51135	  0.77115	 -0.00079	  1.20962	709.89203	 15.00	
  3.394	-69.283	  1.21452	  0.68502	  0.58476	  0.51677	  0.76444	 -0.00140	  1.21122	709.84302	 15.00	
  3.400	-41.398	  1.21138	  0.73414	  0.53933	  0.54453	  0.72872	 -0.00072	  1.20859	709.91602	 15.00	
  3.401	-14.021	  1.21713	  0.76639	  0.51869	  0.59241	  0.68085	  0.00018	  1.21269	709.86298	 15.00	
  3.401	 14.021	  1.21452	  0.76788	  0.51710	  0.64944	  0.62298	  0.00206	  1.20908	709.87097	 15.00	
