FileType=PCF
NHL=14
Date=10/23/18	12:56:52
Facility=APL
Serial=16328-1
Customer=NASA
NP=6
Mach=0.200000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
  0.000	  0.000	 19.44108	 10.21649	  9.81798	  9.85855	 10.15314	  0.14983	 19.41745	709.04303	 37.80	
  1.691	128.401	 19.44946	  9.61152	 10.41426	 10.61477	  9.38772	  0.13811	 19.44392	709.08899	 38.00	
  1.692	 77.194	 19.45512	 10.42889	  9.58134	 10.80599	  9.20493	  0.14449	 19.44663	709.00500	 38.10	
  1.699	 26.182	 19.48633	 11.11292	  8.94299	 10.27474	  9.73547	  0.14000	 19.47942	709.10602	 38.20	
  1.699	-26.182	 19.47068	 11.08881	  8.93646	  9.39803	 10.58287	  0.13379	 19.46412	709.00098	 38.30	
  1.692	-77.194	 19.44450	 10.39648	  9.57664	  8.86003	 11.12929	  0.13268	 19.44275	708.94897	 38.40	
  1.691	-128.401	 19.46178	  9.59577	 10.42104	  9.07063	 10.94169	  0.14077	 19.45264	708.98901	 38.40	
  1.700	180.000	 19.50625	  9.26087	 10.82539	  9.85719	 10.21555	  0.14377	 19.49866	708.94098	 38.50	
  3.400	180.000	 19.49879	  8.20798	 11.80293	  9.79719	 10.15401	  0.10937	 19.51516	708.94098	 38.50	
  3.388	-152.325	 19.46863	  8.40474	 11.55368	  8.86979	 11.04780	  0.09815	 19.48758	708.90601	 38.50	
  3.397	-124.529	 19.45862	  8.98004	 10.89459	  8.16263	 11.78078	  0.09351	 19.47847	708.94299	 38.50	
  3.399	-96.763	 19.43522	  9.84502	  9.96173	  7.81817	 12.11634	  0.08767	 19.46314	709.03302	 38.50	
  3.394	-69.283	 19.41730	 10.76765	  9.02954	  7.91516	 11.96928	  0.08151	 19.44936	709.01599	 38.50	
  3.400	-41.398	 19.45738	 11.64333	  8.25145	  8.44345	 11.42275	  0.08686	 19.49321	709.00500	 38.50	
  3.401	-14.021	 19.44550	 12.10580	  7.81669	  9.21371	 10.58671	  0.09104	 19.47542	708.90399	 38.60	
  3.401	 14.021	 19.45440	 12.12341	  7.83185	 10.23151	  9.58513	  0.10246	 19.48236	708.89301	 38.60	
  3.400	 41.398	 19.44977	 11.69830	  8.23734	 11.09501	  8.77583	  0.09424	 19.48121	708.96503	 38.70	
  3.394	 69.283	 19.43477	 10.87369	  9.01501	 11.65106	  8.27358	  0.10452	 19.45192	708.97803	 38.70	
  3.399	 96.763	 19.40548	  9.91589	  9.93728	 11.77617	  8.15840	  0.10427	 19.41691	709.03302	 38.70	
  3.397	124.529	 19.44973	  9.05965	 10.87780	 11.46127	  8.50392	  0.10361	 19.46526	708.95099	 38.80	
  3.388	152.325	 19.42863	  8.42331	 11.52574	 10.70722	  9.20353	  0.10820	 19.43439	709.05103	 38.90	
